population,event_id,parent_event_id,matched_case,fold,signal_time,decision_time,direction,ma,signal_close,signal_atr,initial_stop,entry_open,raw_entry_segment_id,entry_distance_atr,entry_side,previous_hour_close_distance_atr,previous_hour_close_side,initial_R,entry_distance_r,geometry_bin
case,2023-11-06T04:00:00+00:00_S,,False,2023H2,2023-11-06 04:00:00+00:00,2023-11-06 05:00:00+00:00,-1.0,34963.50875,34880.3,215.18719098264287,35031.5,34880.3,1.0,0.3866807760258817,1,0.3866807760258817,1,151.1999999999971,0.5503224206349178,inside
case,2023-11-07T18:00:00+00:00_L,,False,2023H2,2023-11-07 18:00:00+00:00,2023-11-07 19:00:00+00:00,1.0,34923.175,35397.9,212.21679346948912,34850.4,35397.9,1.0,2.2369813068929005,1,2.2369813068929005,1,547.5,0.8670776255707736,inside
case,2023-11-13T03:00:00+00:00_S,,False,2023H2,2023-11-13 03:00:00+00:00,2023-11-13 04:00:00+00:00,-1.0,37082.68875,36928.0,168.71299865525057,37173.0,36928.1,1.0,0.9162823921818286,1,0.9168751147390447,1,244.90000000000146,0.6312321355655439,inside
case,2023-11-15T11:00:00+00:00_L,,True,2023H2,2023-11-15 11:00:00+00:00,2023-11-15 12:00:00+00:00,1.0,36067.11,36238.6,247.67962101833228,35865.0,36238.6,1.0,0.6923863953558979,1,0.6923863953558979,1,373.59999999999854,0.45902034261241603,inside
case,2023-11-21T11:00:00+00:00_S,,False,2023H2,2023-11-21 11:00:00+00:00,2023-11-21 12:00:00+00:00,-1.0,37294.439999999995,37171.6,208.0789554164564,37366.0,37171.6,1.0,0.5903528290698129,1,0.5903528290698129,1,194.40000000000146,0.6318930041152037,inside
case,2023-11-22T18:00:00+00:00_L,,False,2023H2,2023-11-22 18:00:00+00:00,2023-11-22 19:00:00+00:00,1.0,36773.1625,37207.8,303.0264657979008,36568.0,37207.9,1.0,1.4346519168063192,1,1.4343219126275248,1,639.9000000000015,0.6793834974214751,inside
case,2023-11-26T10:00:00+00:00_S,,True,2023H2,2023-11-26 10:00:00+00:00,2023-11-26 11:00:00+00:00,-1.0,37752.0425,37703.6,82.29799772543076,37768.8,37703.6,1.0,0.5886230690766311,1,0.5886230690766311,1,65.20000000000437,0.7429831288343774,inside
case,2023-12-01T01:00:00+00:00_L,,True,2023H2,2023-12-01 01:00:00+00:00,2023-12-01 02:00:00+00:00,1.0,37809.44,37949.0,181.53198509453173,37642.8,37949.1,1.0,0.7693410058137637,1,0.7687901387037805,1,306.29999999999563,0.4559582109043363,inside
case,2023-12-07T08:00:00+00:00_S,,False,2023H2,2023-12-07 08:00:00+00:00,2023-12-07 09:00:00+00:00,-1.0,43866.39375,43595.9,257.2720130962411,43905.6,43595.9,1.0,1.0513920528884513,1,1.0513920528884513,1,309.6999999999971,0.8734057152082789,inside
case,2023-12-08T11:00:00+00:00_L,,True,2023H2,2023-12-08 11:00:00+00:00,2023-12-08 12:00:00+00:00,1.0,43526.197499999995,43668.8,251.3882719292805,43374.9,43668.9,1.0,0.5676577467390809,1,0.5672599557075777,1,294.0,0.4853826530612473,inside
case,2023-12-16T15:00:00+00:00_L,,True,2023H2,2023-12-16 15:00:00+00:00,2023-12-16 16:00:00+00:00,1.0,42374.380000000005,42606.7,226.8434107800707,42302.9,42606.8,1.0,1.024583430485156,1,1.0241425977553802,1,303.90000000000146,0.7647910496873878,inside
case,2023-12-20T04:00:00+00:00_L,,True,2023H2,2023-12-20 04:00:00+00:00,2023-12-20 05:00:00+00:00,1.0,42431.35,42809.1,313.1598311595327,42374.2,42807.2,1.0,1.2001858559201026,1,1.2062530452941878,1,433.0,0.8680138568129296,inside
case,2023-12-22T18:00:00+00:00_L,,True,2023H2,2023-12-22 18:00:00+00:00,2023-12-22 19:00:00+00:00,1.0,43796.68125,43972.0,287.3114615179247,43666.7,43972.1,1.0,0.6105525657529437,1,0.6102045114168229,1,305.40000000000146,0.5743901440733342,inside
case,2023-12-22T19:00:00+00:00_S,,True,2023H2,2023-12-22 19:00:00+00:00,2023-12-22 20:00:00+00:00,-1.0,43802.8425,43655.8,292.6249285523585,43975.0,43655.8,1.0,0.5024947830912022,1,0.5024947830912022,1,319.1999999999971,0.46065946115287365,inside
case,2023-12-23T01:00:00+00:00_S,,False,2023H2,2023-12-23 01:00:00+00:00,2023-12-23 02:00:00+00:00,-1.0,43816.27375,43635.7,259.49024695026066,43915.5,43635.7,1.0,0.6958787550678764,1,0.6958787550678764,1,279.8000000000029,0.6453672265904264,inside
case,2023-12-24T05:00:00+00:00_S,,False,2023H2,2023-12-24 05:00:00+00:00,2023-12-24 06:00:00+00:00,-1.0,43702.965,43504.9,170.78666184769554,43816.5,43504.9,1.0,1.159721712791751,1,1.159721712791751,1,311.59999999999854,0.6356386392811167,inside
case,2023-12-24T13:00:00+00:00_L,,True,2023H2,2023-12-24 13:00:00+00:00,2023-12-24 14:00:00+00:00,1.0,43687.38875,43778.1,160.5411732773434,43635.5,43778.1,1.0,0.5650341787604342,1,0.5650341787604342,1,142.59999999999854,0.6361237727910324,inside
case,2023-12-25T21:00:00+00:00_L,,True,2023H2,2023-12-25 21:00:00+00:00,2023-12-25 22:00:00+00:00,1.0,43429.29375,43531.3,220.46461026905564,43336.0,43531.2,1.0,0.4622340514227355,1,0.46268763896172316,1,195.1999999999971,0.5220607069672208,inside
case,2023-12-26T05:00:00+00:00_S,,True,2023H2,2023-12-26 05:00:00+00:00,2023-12-26 06:00:00+00:00,-1.0,43399.2925,42779.8,238.87402894886424,43462.9,42778.2,1.0,2.6000838296781246,1,2.5933857386087587,1,684.7000000000044,0.9071016503578241,inside
case,2024-01-03T11:00:00+00:00_S,,False,2024H1,2024-01-03 11:00:00+00:00,2024-01-03 12:00:00+00:00,-1.0,45060.939999999995,43703.4,440.7957732405344,45175.2,43705.2,1.0,3.0756647007597206,1,3.079748224489458,1,1470.0,0.922272108843536,inside
case,2024-01-10T22:00:00+00:00_L,,True,2024H1,2024-01-10 22:00:00+00:00,2024-01-10 23:00:00+00:00,1.0,46084.59625,46898.0,807.4638977352241,45754.9,46898.0,1.0,1.0073561830831492,1,1.0073561830831492,1,1143.0999999999985,0.7115770711223853,inside
case,2024-01-14T13:00:00+00:00_L,,False,2024H1,2024-01-14 13:00:00+00:00,2024-01-14 14:00:00+00:00,1.0,42832.39875,42889.9,241.16818313414865,42736.0,42889.8,1.0,0.238013361688235,1,0.23842801008297337,1,153.8000000000029,0.3732200910273182,inside
