event_id,mother_decision_time,fold,event_net_return,assigned_controls,control_mean_return,excess
2023-10-08T15:00:00+00:00_S,2023-10-08 16:00:00+00:00,2023H2,-0.0023655913978495296,0,,
2023-10-15T11:00:00+00:00_S,2023-10-15 12:00:00+00:00,2023H2,-0.003548984781969409,0,,
2023-10-18T09:00:00+00:00_S,2023-10-18 10:00:00+00:00,2023H2,-0.007120583187359529,3,-0.002799659889468544,-0.004320923297890985
2023-10-30T08:00:00+00:00_L,2023-10-30 09:00:00+00:00,2023H2,-0.0020145393638737446,3,-0.006395395094160611,0.004380855730286866
2023-10-31T12:00:00+00:00_S,2023-10-31 13:00:00+00:00,2023H2,-0.00679231829855209,3,-0.00026549822532798893,-0.0065268200732241
2023-10-31T18:00:00+00:00_L,2023-10-31 19:00:00+00:00,2023H2,-0.0012805984956385501,0,,
2023-11-01T05:00:00+00:00_S,2023-11-01 06:00:00+00:00,2023H2,-0.004852593677138859,3,-0.004049721237981528,-0.0008028724391573316
2023-11-01T14:00:00+00:00_S,2023-11-01 15:00:00+00:00,2023H2,-0.008974117041077976,0,,
2023-11-02T15:00:00+00:00_S,2023-11-02 16:00:00+00:00,2023H2,-0.010580964809959735,0,,
2023-11-06T04:00:00+00:00_S,2023-11-06 05:00:00+00:00,2023H2,-0.006334825101848239,0,,
2023-11-07T18:00:00+00:00_L,2023-11-07 19:00:00+00:00,2023H2,-0.004737450526726248,0,,
2023-11-13T03:00:00+00:00_S,2023-11-13 04:00:00+00:00,2023H2,-0.004613186164465597,0,,
2023-11-15T11:00:00+00:00_L,2023-11-15 12:00:00+00:00,2023H2,0.030258420579161394,3,0.01830069154598561,0.011957729033175785
2023-11-21T11:00:00+00:00_S,2023-11-21 12:00:00+00:00,2023H2,-0.0059922951931044004,0,,
2023-11-22T18:00:00+00:00_L,2023-11-22 19:00:00+00:00,2023H2,0.0001178298157109587,0,,
2023-11-26T10:00:00+00:00_S,2023-11-26 11:00:00+00:00,2023H2,0.004193042574183849,3,-0.004523555406712526,0.008716597980896374
2023-12-01T01:00:00+00:00_L,2023-12-01 02:00:00+00:00,2023H2,0.0089831326698131,3,0.001629470528097108,0.007353662141715993
2023-12-07T08:00:00+00:00_S,2023-12-07 09:00:00+00:00,2023H2,-0.0013508563878712448,0,,
2023-12-08T11:00:00+00:00_L,2023-12-08 12:00:00+00:00,2023H2,0.010642864830577416,3,0.008544999061396536,0.0020978657691808796
2023-12-16T15:00:00+00:00_L,2023-12-16 16:00:00+00:00,2023H2,-0.008029553967911272,3,0.00352412297381862,-0.011553676941729893
2023-12-20T04:00:00+00:00_L,2023-12-20 05:00:00+00:00,2023H2,0.01538959801154949,3,0.0068439486685686335,0.008545649342980856
2023-12-22T18:00:00+00:00_L,2023-12-22 19:00:00+00:00,2023H2,-0.008945313050775392,3,-0.006705426965634473,-0.0022398860851409194
2023-12-22T19:00:00+00:00_S,2023-12-22 20:00:00+00:00,2023H2,-0.004036384627013943,3,-0.007571769973890342,0.0035353853468763994
2023-12-23T01:00:00+00:00_S,2023-12-23 02:00:00+00:00,2023H2,-0.0020527091349515896,0,,
2023-12-24T05:00:00+00:00_S,2023-12-24 06:00:00+00:00,2023H2,-0.006123673425292296,0,,
2023-12-24T13:00:00+00:00_L,2023-12-24 14:00:00+00:00,2023H2,-0.005257336430772417,3,-0.005927544403212154,0.0006702079724397363
2023-12-25T21:00:00+00:00_L,2023-12-25 22:00:00+00:00,2023H2,-0.0026386224133494434,3,-0.004718299901980951,0.002079677488631508
2023-12-26T05:00:00+00:00_S,2023-12-26 06:00:00+00:00,2023H2,0.005487458565343941,3,-0.003851877883745893,0.009339336449089833
