fold,variant,timeframe_min,side,seed,seed_pairs,seed_matched_pairs,seed_mean_net_r_difference,seed_mean_net_return_difference,seed_match_rate
development,A,30,-1,61,480,478,0.2613419290902707,0.004851318150749543,0.9958333333333333
development,A,30,-1,62,480,478,0.17890154894263557,0.0037012937699440075,0.9958333333333333
development,A,30,-1,63,480,476,0.14708947590689095,0.0016677276663503767,0.9916666666666667
development,A,30,-1,64,480,477,0.31835350400424367,0.0044423008619452024,0.99375
development,A,30,-1,65,480,477,0.30349491717937865,0.003604216596817019,0.99375
development,A,30,-1,66,480,479,0.2852212727093358,0.0032217837462371157,0.9979166666666667
development,A,30,-1,67,480,480,0.043546291093723745,-0.0005429388145255987,1.0
development,A,30,-1,68,480,479,0.09469402388541871,0.0018231389203352377,0.9979166666666667
development,A,30,-1,69,480,476,0.1285352522358308,0.0014475271103607504,0.9916666666666667
development,A,30,-1,70,480,476,0.2536518030679939,0.004101840957765473,0.9916666666666667
development,A,30,-1,71,480,477,0.2753479460802201,0.003617035757186191,0.99375
development,A,30,-1,72,480,479,0.27979135341428085,0.0030665024106610603,0.9979166666666667
development,A,30,-1,73,480,476,0.046632300167635525,-0.0003400443404478696,0.9916666666666667
development,A,30,-1,74,480,479,0.13792104871491515,0.0016355781915507901,0.9979166666666667
development,A,30,-1,75,480,477,0.3142465632485865,0.004864963573374054,0.99375
development,A,30,-1,76,480,479,0.23730451665754154,0.0036903173394536026,0.9979166666666667
development,A,30,-1,77,480,480,0.2991304509019192,0.004018749967794828,1.0
development,A,30,-1,78,480,480,0.2637720244959205,0.004129202721540455,1.0
development,A,30,-1,79,480,480,0.17477107992270027,0.0028342905407820066,1.0
development,A,30,-1,80,480,479,0.1482458270188975,0.001358596668850772,0.9979166666666667
development,A,30,-1,81,480,480,0.16479482171912038,0.0012083537384644841,1.0
development,A,30,-1,82,480,478,0.2090686988875715,0.004518812329539338,0.9958333333333333
development,A,30,-1,83,480,480,0.22288630962390607,0.0032518075394996847,1.0
development,A,30,-1,84,480,478,0.26173005637758856,0.004452925067927142,0.9958333333333333
development,A,30,-1,85,480,476,0.24273113526406623,0.0038700489615754044,0.9916666666666667
