fold,variant,timeframe_min,side,seed,seed_pairs,seed_matched_pairs,seed_mean_net_r_difference,seed_mean_net_return_difference,seed_match_rate
development,A,30,-1,19,480,478,0.08814186782833745,0.0016850310099537557,0.9958333333333333
development,A,30,-1,20,480,479,0.18444641752945226,0.0018901404589021628,0.9979166666666667
development,A,30,-1,21,480,479,0.1240636998005772,0.0010682464257635719,0.9979166666666667
development,A,30,-1,22,480,476,0.2597200965887143,0.0037113117052974156,0.9916666666666667
development,A,30,-1,23,480,479,0.2160665151507456,0.0026196182436926505,0.9979166666666667
development,A,30,-1,24,480,477,0.115977308981124,0.0008561853943132734,0.99375
development,A,30,-1,25,480,477,0.055928919878868104,-0.0006022898824538971,0.99375
development,A,30,-1,26,480,476,0.22227772028208295,0.0038020012357987878,0.9916666666666667
development,A,30,-1,27,480,478,0.20885434182732995,0.0027763814462010068,0.9958333333333333
development,A,30,-1,28,480,477,0.13550571254393814,0.002995524215313215,0.99375
development,A,30,-1,29,480,480,0.2768596601034731,0.00302841211585559,1.0
development,A,30,-1,30,480,477,0.15608659745345824,0.0012460689553220638,0.99375
development,A,30,-1,31,480,477,0.11988033998973967,0.00254918605540862,0.99375
development,A,30,-1,32,480,477,0.29415166632045114,0.0034654785140985794,0.99375
development,A,30,-1,33,480,478,0.19445410042670305,0.0020890690706821353,0.9958333333333333
development,A,30,-1,34,480,479,0.219787814793379,0.0017944830784884635,0.9979166666666667
development,A,30,-1,35,480,480,0.1525535653191451,0.003077116734756883,1.0
development,A,30,-1,36,480,478,0.17209178493187224,0.0025011574291568255,0.9958333333333333
development,A,30,-1,37,480,479,0.009766420608051057,-0.0006668137605551171,0.9979166666666667
development,A,30,-1,38,480,477,0.05802655609182644,0.0012135282429394454,0.99375
development,A,30,-1,39,480,480,0.31116648110528006,0.005417220253059175,1.0
development,A,30,-1,40,480,480,0.1966276365452945,0.003107005874651017,1.0
development,A,30,-1,41,480,479,0.020591613810293598,-0.0005421634931297793,0.9979166666666667
development,A,30,-1,42,480,475,0.1849016419134919,0.002756669908080414,0.9895833333333334
development,A,30,-1,43,480,475,0.33344703054201397,0.0037668504203637065,0.9895833333333334
development,A,30,-1,44,480,478,0.4163915619504476,0.0058602069098920035,0.9958333333333333
development,A,30,-1,45,480,480,0.21317603986082018,0.002844537449650913,1.0
development,A,30,-1,46,480,478,0.1265139462745018,0.0020929426167686613,0.9958333333333333
development,A,30,-1,47,480,476,0.08876432669630727,0.0017771308385540938,0.9916666666666667
development,A,30,-1,48,480,480,0.17873953405094695,0.0014393383017958304,1.0
development,A,30,-1,49,480,479,0.17162710516205903,0.0030360132213395827,0.9979166666666667
development,A,30,-1,50,480,479,0.26782722333818837,0.004724165227666651,0.9979166666666667
development,A,30,-1,51,480,480,0.17886402747205463,0.0026703686208746774,1.0
development,A,30,-1,52,480,479,0.24461627687395432,0.003288491395291806,0.9979166666666667
development,A,30,-1,53,480,480,0.24982462114360043,0.004225026507277474,1.0
development,A,30,-1,54,480,478,0.23039842034605099,0.004036390926210335,0.9958333333333333
development,A,30,-1,55,480,478,0.20888407513246246,0.004172158473724027,0.9958333333333333
development,A,30,-1,56,480,478,0.09738076838825492,0.00030602384662879414,0.9958333333333333
development,A,30,-1,57,480,478,0.15887775859718498,0.0021080900048889603,0.9958333333333333
development,A,30,-1,58,480,478,0.24741536373256492,0.0037719155152682567,0.9958333333333333
development,A,30,-1,59,480,480,0.30446206866448444,0.004115154231003329,1.0
development,A,30,-1,60,480,479,0.06054845474214114,-0.00029759698389214155,0.9979166666666667
