fold,variant_id,kind,feature_count,train_events,test_events,threshold,events,mean_gross_bp,mean_net_bp,median_net_bp,win_rate,profit_factor,equal_risk_1pct_return,max_drawdown,median_hold_bars,p90_net_bp,max_net_bp,mean_capture_of_horizon_mfe,pool_events,selection_rate,auc_profit,evaluation_top_decile_events,evaluation_top_decile_net_bp
2023Q3,legacy_plus_participation,lightgbm,34,1680,930,0.0011593220597015143,66,2.1220030172835975,-17.877996982716276,-35.272803746490496,0.15151515151515152,0.5016994350569037,-0.4351671511799755,-0.4467575857602055,26.0,56.35489832424351,212.431047089239,0.2578287877499654,930,0.07096774193548387,0.4588385792913657,93,-14.521476546261235
2023Q3,legacy_plus_structure,lightgbm,36,1680,930,0.0013722046022739637,54,0.02388542833020201,-19.976114571669704,-44.688636824491006,0.1111111111111111,0.5375597780051439,-0.35721333903139507,-0.3710622626325437,15.5,110.58960281103529,264.541650157541,0.4228872240164863,930,0.05806451612903226,0.4831011351909185,93,-27.3769109998844
2023Q3,legacy_plus_market,lightgbm,37,1680,930,0.0012844187876735593,62,1.167894691346855,-18.832105308653084,-42.324344900681,0.16129032258064516,0.5240848324274638,-0.407210908599006,-0.4085360954160516,23.5,64.61885407389899,212.431047089239,0.38451430400934694,930,0.06666666666666667,0.45763458892328857,93,-27.20927886139547
2023Q3,legacy_plus_sequence,lightgbm,37,1680,930,0.001292514882453554,81,-10.437116048700188,-30.437116048700098,-41.570870762605,0.07407407407407407,0.2627306593646072,-0.617989583707977,-0.6188435723777884,19.0,-10.20089808604,209.773658050941,0.2503457246462285,930,0.08709677419354839,0.5208333333333334,93,-26.205913555980878
2023Q3,legacy_plus_calendar,lightgbm,31,1680,930,0.001052554997962303,62,-5.199011729408518,-25.199011729408422,-46.015772137287996,0.11290322580645161,0.3988051037089917,-0.44826743683460757,-0.45420987176877436,17.0,49.030943437622305,212.431047089239,0.2815391000671173,930,0.06666666666666667,0.47682318541451674,93,-32.19270348892946
2023Q3,physics_only,lightgbm,72,1680,930,0.0011782229398919401,69,-9.896564366472695,-29.896564366472592,-45.151051590887995,0.10144927536231885,0.2862641493790837,-0.5258468312900708,-0.5258468312900708,17.0,-0.33489202894138453,212.431047089239,0.33418148030072653,930,0.07419354838709677,0.45968782249742,93,-31.445146013567264
2023Q3,full_all,lightgbm,103,1680,930,0.0012503337142190142,78,-2.543423707811382,-22.54342370781126,-41.7802036888165,0.11538461538461539,0.42364332502252033,-0.523990232781989,-0.523990232781989,20.0,17.22691767167367,264.541650157541,0.3163627393086092,930,0.08387096774193549,0.45189413484692126,93,-23.77817283579568
2023Q4,signal_score,single_score,0,2608,911,0.7981344985946545,91,16.474967327036623,-3.525032672963373,-55.948353739443,0.17582417582417584,0.9311384388142884,-0.25097308611095004,-0.35603887810784807,16.0,73.527425884454,1163.163632486605,0.4147870433560153,911,0.09989023051591657,0.4990683229813664,92,-4.00877447395339
2023Q4,rule_confluence_vote,single_score,0,2608,911,5.0,156,8.274287480059314,-11.725712519940672,-57.142106779653496,0.20512820512820512,0.7665456696487959,-0.11797128751166452,-0.4575185419895792,18.0,101.71925758366298,1163.163632486605,0.3692016759920221,911,0.1712403951701427,0.5180357142857143,156,-11.725712519940672
2023Q4,legacy_28,lightgbm,28,2608,911,-0.0005370552265972385,86,0.14033251305915373,-19.859667486940804,-66.4500108242915,0.22093023255813954,0.6731934101282635,-0.04172648904491172,-0.26075816316987743,16.0,137.6166841419265,539.068708829573,0.3654178189905705,911,0.09440175631174534,0.5385326086956522,92,-18.794955234136083
2023Q4,legacy_plus_k1k2,lightgbm,43,2608,911,-0.0005499334787933868,82,-15.50500642824151,-35.505006428241465,-67.769661394213,0.2073170731707317,0.4500714072228884,-0.1800720304297272,-0.331591298758946,20.0,119.94079931936002,539.068708829573,0.38114037408713636,911,0.09001097694840834,0.5367391304347827,92,-19.433414777851468
2023Q4,legacy_plus_trend,lightgbm,38,2608,911,-0.0004852962232491446,75,7.20004169447191,-12.79995830552804,-63.692396511239004,0.2,0.7898200197531234,-0.03790817291619608,-0.22975848586380954,16.0,104.14204833304703,1129.335367111064,0.322890249695693,911,0.08232711306256861,0.5397670807453416,92,-8.561657765360184
2023Q4,legacy_plus_1h,lightgbm,36,2608,911,-0.00045367341218709753,75,7.894468111430322,-12.105531888569624,-63.692396511239004,0.21333333333333335,0.7942768267951329,0.07349940201086635,-0.24753352827997221,18.0,174.38964625050824,536.341944289975,0.44289864820862473,911,0.08232711306256861,0.5140760869565216,92,-14.486848673286813
2023Q4,legacy_plus_volatility,lightgbm,35,2608,911,-0.0005820824399768119,82,-5.641460794749202,-25.641460794749158,-69.18683264554001,0.1951219512195122,0.5944733349629868,-0.09232603884639468,-0.23874966165017286,16.5,118.95157571071489,539.068708829573,0.33823175388659993,911,0.09001097694840834,0.5561878881987576,92,-23.891314774323256
2023Q4,legacy_plus_participation,lightgbm,34,2608,911,-0.00034504467188360883,76,6.888637337912545,-13.111362662087405,-66.82695045549251,0.2236842105263158,0.7735318083560206,0.09255900056140187,-0.23552372513837405,20.0,166.23234051795,539.068708829573,0.3897989027480566,911,0.08342480790340286,0.5129114906832298,92,-6.994723459981726
2023Q4,legacy_plus_structure,lightgbm,36,2608,911,-0.0003953575543940246,80,2.012870252831197,-17.98712974716878,-63.081939837164505,0.2125,0.7002726031749409,-0.12485010950447761,-0.2193050544351166,20.0,100.94965151166674,1249.295955292932,0.3467404664007877,911,0.08781558726673985,0.5196506211180124,92,-17.454755852926496
2023Q4,legacy_plus_market,lightgbm,37,2608,911,-0.00047880541962239066,103,8.289600045020633,-11.71039995497934,-64.67273941801,0.23300970873786409,0.7990136965101374,-0.057105607953827575,-0.2560205860449718,21.0,150.36392531153692,1129.335367111064,0.38012600843999067,911,0.11306256860592755,0.5381055900621118,92,-9.03402542172663
2023Q4,legacy_plus_sequence,lightgbm,37,2608,911,-0.00041725867725349964,75,-2.4056493718656764,-22.405649371865636,-68.584288226143,0.21333333333333335,0.64031942547555,-0.006048830308768238,-0.25543334254901096,16.0,181.6174747964339,539.068708829573,0.39025159310360885,911,0.08232711306256861,0.5190605590062112,92,-20.67842588315931
2023Q4,legacy_plus_calendar,lightgbm,31,2608,911,-0.000555291718353096,86,1.595851191626991,-18.404148808372966,-66.563461017661,0.23255813953488372,0.6915484578451232,-0.012572023939812604,-0.24452176324447594,19.5,137.6166841419265,539.068708829573,0.3669783164402791,911,0.09440175631174534,0.5337810559006211,92,-17.28460876044175
2023Q4,physics_only,lightgbm,72,2608,911,-0.0005637736569611919,85,18.625423135378778,-1.3745768646211758,-58.45691336338201,0.2823529411764706,0.9752628739607694,0.5061484809080379,-0.20493669718094487,28.0,199.37671067861604,536.341944289975,0.38640044308843635,911,0.09330406147091108,0.5107841614906832,92,-3.1951800468253135
2023Q4,full_all,lightgbm,103,2608,911,-0.0004985695608157691,85,4.038078579896258,-15.961921420103694,-58.861835499078005,0.2235294117647059,0.7344261342094488,-0.18437175405957118,-0.2821755812613821,21.0,160.4371827241832,1249.295955292932,0.33450365406605337,911,0.09330406147091108,0.5298680124223603,92,-10.486762242077555
