symbol,n,net_r_sum,net_bp_sum
TUTUSDT,4,-1.3490429094714806,374.284653509118
TWTUSDT,9,-8.155159118801727,-1863.871318424483
UAIUSDT,1,1.02505527638191,1353.589913735899
UBUSDT,3,-3.0665865038995905,-1516.6811758755891
UMAUSDT,7,-0.9538617307208921,43.634827932186
UNIUSDT,5,-3.196972446267181,-945.7394335094068
USELESSUSDT,3,-3.0933538124162947,-2049.3916611891364
USTCUSDT,9,-2.1123110489696932,-2071.235193453881
USUALUSDT,5,5.013185683250134,1693.5509643942805
UXLINKUSDT,1,-1.0174542635658914,-1165.851838692484
VANAUSDT,5,-2.0633146096842943,-1360.687612163921
VANRYUSDT,6,-1.660431568110458,-770.3132078494559
VELODROMEUSDT,5,-1.6918968834026962,-1434.2999991337588
VELVETUSDT,3,1.1626959928011344,1059.4661499268502
VETUSDT,5,2.5355479717013485,734.4109620710469
VFYUSDT,1,-1.0414861111111104,-502.089052561096
VICUSDT,2,8.048953179594772,1738.392507855639
VIDTUSDT,4,-4.185491645019342,-2281.560013391326
VINEUSDT,8,-3.540210786049842,-1792.1235330506727
VIRTUALUSDT,3,-3.183341621828011,-1707.642661852955
VOXELUSDT,3,-1.631740366324812,-700.0790560148571
VTHOUSDT,4,-4.324041926124956,-1163.748256247003
VVVUSDT,3,-1.3626167243337255,-897.159640015483
WALUSDT,5,-4.405342133926952,-1997.7345121337353
WAXPUSDT,5,2.712855046666501,897.359030330791
WCTUSDT,5,1.5324843502979568,-227.8005300478589
WETUSDT,1,0.3845345247766045,482.08778898054703
WIFUSDT,7,1.1657700294940023,32.581944215962125
WLDUSDT,4,-2.341127956886054,-973.8546353050281
WLFIUSDT,1,0.9900416666666716,342.131029517638
WOOUSDT,5,-1.5904530043650187,-473.8794046339449
WUSDT,1,0.869114694250079,398.93590280687096
XAIUSDT,8,-3.0366135578316875,659.6029817291753
XANUSDT,3,-3.1484724422838815,-1615.67838009833
XCNUSDT,3,-1.4524085656512993,-410.885805173536
XLMUSDT,6,-0.7198208615866997,-635.4449403701458
XMRUSDT,5,-5.455149188104354,-1296.3454416222032
XPINUSDT,1,5.500281249999968,1768.0462079357071
XRPUSDT,7,-3.5046973072007623,-1175.4953478781079
XTZUSDT,4,-0.020956447012916435,-177.7262009803399
XVGUSDT,7,2.313716846061015,867.587461946075
XVSUSDT,4,-4.020396327677317,-1016.604151988465
YALAUSDT,1,-0.1295823095823073,-59.458850056368
YBUSDT,4,-1.2626726965495954,-257.49110383076004
YFIUSDT,6,1.055576482339609,1108.3572875298648
YGGUSDT,9,3.6086677224482666,688.707527167052
ZAMAUSDT,2,-1.7422575080160771,-1312.9195442312762
ZBTUSDT,1,-1.0412939001848418,-504.333034914948
ZECUSDT,3,-0.918014888742944,-866.438504664527
ZENUSDT,6,0.3558774786745633,-325.17180252554795
ZEREBROUSDT,7,-4.193268935592467,-3185.1105535416705
ZETAUSDT,5,-4.014104588972695,-1605.62578033198
ZILUSDT,6,-1.802187149528392,-726.0701529919229
ZKCUSDT,3,-2.6816925798755546,-1347.0327961358607
ZKJUSDT,3,-0.10728849349366887,-1134.4866766513483
ZKPUSDT,1,-1.0810186915887854,-266.856615526589
ZKUSDT,6,0.7746752194766189,895.0129657540809
ZORAUSDT,2,-2.0879738173778,-2161.278941142719
ZRCUSDT,1,-0.6331320754716966,-165.463510848126
ZROUSDT,6,-2.297964950340056,-730.153411312793
ZRXUSDT,4,-4.286427210884355,-1323.5105997448409
币安人生USDT,1,-0.2399607843137251,-149.426129426128
我踏马来了USDT,1,-1.0597462686567158,-354.748938296277
