币种,信号K时间(北京),入场时间(北京),退出时间(北京),突破来源,距V9根数,入场价,初始止损,初始风险距离(%),退出价,退出原因,持仓小时,最大记录浮盈R,净R,净价格收益(%),较原V9入场追价(%),原V9净R(事后关联),交易标识
TIAUSDT,2024-11-23 08:00:00+08:00,2024-11-23 09:00:00+08:00,2024-12-02 04:00:00+08:00,本周期1h,34,5.8949,5.3452,9.325009754194289,7.94,追踪止损,211.0,5.551937420411137,3.698945242859745,34.49270046989772,10.002052660060823,5.094910208126857,binance_um:TIAUSDT:1h:box_any:3276
UMAUSDT,2024-11-23 08:00:00+08:00,2024-11-23 09:00:00+08:00,2024-11-26 20:00:00+08:00,本周期1h,0,2.718,2.539,6.58572479764532,2.75,反向确认,83.0,2.0111731843575433,0.1484022346368714,0.97733627667402,0.0,0.1484022346368714,binance_um:UMAUSDT:1h:box_any:3276
COMBOUSDT,2024-11-23 09:00:00+08:00,2024-11-23 10:00:00+08:00,2024-11-24 20:00:00+08:00,本周期1h,1,0.454,0.43,5.2863436123348,0.4614,追踪止损,34.0,2.104166666666662,0.2705000000000017,1.42995594713657,0.799289520426294,0.4072258064516142,binance_um:COMBOUSDT:1h:box_any:3277
STGUSDT,2024-11-23 09:00:00+08:00,2024-11-23 10:00:00+08:00,2024-11-26 19:00:00+08:00,本周期1h,1,0.3296,0.3133,4.94538834951455,0.3426,追踪止损,81.0,3.2085889570552193,0.7571042944785276,3.74417475728154,1.1974209395148927,0.4476209150326824,binance_um:STGUSDT:1h:box_any:3277
BLZUSDT,2024-11-23 12:00:00+08:00,2024-11-23 13:00:00+08:00,2024-11-24 23:00:00+08:00,上级4h,35,0.12772,0.12169,4.72126526777324,0.12829,追踪止损,34.0,2.4394693200663378,0.0521658374792738,0.24628875665519,8.966811705485878,2.1307622789784006,binance_um:BLZUSDT:1h:box_any:3280
DIAUSDT,2024-11-23 12:00:00+08:00,2024-11-23 13:00:00+08:00,2024-11-26 23:00:00+08:00,本周期1h,3,0.7758,0.7317,5.68445475638051,0.7317,初始止损,82.0,1.6757369614512454,-1.0351836734693889,-5.88445475638051,2.2269073659243688,1.592116981132078,binance_um:DIAUSDT:1h:box_any:1240
GMXUSDT,2024-11-23 12:00:00+08:00,2024-11-23 13:00:00+08:00,2024-11-24 20:00:00+08:00,上级4h,38,30.663,29.652,3.29713335290088,29.652,初始止损,31.0,1.937685459940654,-1.0606587537091974,-3.4971333529008803,2.3123123123123257,0.3921383341451533,binance_um:GMXUSDT:1h:box_any:3280
ARKUSDT,2024-11-23 14:00:00+08:00,2024-11-23 15:00:00+08:00,2024-11-24 20:00:00+08:00,本周期1h,3,0.6059,0.5840000000000001,3.6144578313252804,0.6101,追踪止损,29.0,3.33789954337901,0.1364474885844717,0.49318369367881004,1.1688094840540897,0.4348782608695652,binance_um:ARKUSDT:1h:box_any:3282
PENDLEUSDT,2024-11-23 15:00:00+08:00,2024-11-23 16:00:00+08:00,2024-11-24 20:00:00+08:00,本周期1h,0,5.3508,5.1115,4.4722284518202695,5.1115,初始止损,28.0,1.048892603426666,-1.044720434600919,-4.67222845182027,0.0,-1.044720434600919,binance_um:PENDLEUSDT:1h:box_any:3283
VOXELUSDT,2024-11-23 15:00:00+08:00,2024-11-23 16:00:00+08:00,2024-11-24 20:00:00+08:00,本周期1h,6,0.1787,0.16774,6.13318410744264,0.18404,追踪止损,28.0,2.271897810218979,0.4546167883211695,2.78824846110801,3.774680603948899,1.1962122788761758,binance_um:VOXELUSDT:1h:box_any:2277
ZROUSDT,2024-11-23 20:00:00+08:00,2024-11-23 21:00:00+08:00,2024-11-24 00:00:00+08:00,上级4h,43,3.9333,3.7976,3.4500292375359,3.7976,初始止损,3.0,0.8599852616064839,-1.0579705232129706,-3.65002923753591,7.060616783254847,0.0771251372118547,binance_um:ZROUSDT:1h:box_any:3288
GHSTUSDT,2024-11-23 21:00:00+08:00,2024-11-23 22:00:00+08:00,2024-11-24 00:00:00+08:00,本周期1h,5,0.9997,0.9666,3.3109932979893895,0.9666,初始止损,2.0,0.501510574018125,-1.060404833836857,-3.5109932979893896,1.000202061022426,-1.0657674418604643,binance_um:GHSTUSDT:1h:box_any:1464
PYTHUSDT,2024-11-23 22:00:00+08:00,2024-11-23 23:00:00+08:00,2024-11-24 04:00:00+08:00,本周期1h,13,0.4315,0.40587,5.939745075318649,0.40587,初始止损,5.0,0.2848224736636766,-1.0336714787358556,-6.13974507531864,3.6512130674994037,-0.3794331601322629,binance_um:PYTHUSDT:1h:box_any:3290
CYBERUSDT,2024-11-24 04:00:00+08:00,2024-11-24 05:00:00+08:00,2024-11-26 19:00:00+08:00,上级4h,55,4.071,3.8046,6.54384672070743,3.8046,初始止损,62.0,1.0585585585585606,-1.0305630630630638,-6.74384672070743,8.098778544875195,0.5251496259351639,binance_um:CYBERUSDT:1h:box_any:3296
NOTUSDT,2024-11-24 04:00:00+08:00,2024-11-24 05:00:00+08:00,2024-11-25 02:00:00+08:00,上级4h,14,0.007957,0.0074681999999999,6.14301872565038,0.0084195,追踪止损,21.0,5.075695581014717,0.913637479541732,5.6124921452808705,5.628567635736115,0.6065266903914599,binance_um:NOTUSDT:1h:box_any:3296
MASKUSDT,2024-11-24 10:00:00+08:00,2024-11-24 11:00:00+08:00,2024-11-24 20:00:00+08:00,本周期1h,60,3.2831,3.1335,4.5566690018579905,3.1335,初始止损,9.0,0.9685828877005338,-1.0438917112299455,-4.756669001857991,10.560700454621985,0.742880733944954,binance_um:MASKUSDT:1h:box_any:3302
GUSDT,2024-11-24 16:00:00+08:00,2024-11-24 17:00:00+08:00,2024-11-24 19:00:00+08:00,上级4h,25,0.0328,0.031465,4.07012195121952,0.031465,初始止损,2.0,0.2172284644194741,-1.0491385767790256,-4.27012195121951,5.432336869173904,-0.0886848072562333,binance_um:GUSDT:1h:box_any:2420
RUNEUSDT,2024-11-25 18:00:00+08:00,2024-11-25 19:00:00+08:00,2024-11-25 21:00:00+08:00,本周期1h,57,5.871,5.5902,4.78283086356668,5.5902,初始止损,2.0,0.1602564102564099,-1.04181623931624,-4.98283086356668,3.8196286472148566,-1.0272136669874876,binance_um:RUNEUSDT:1h:box_any:3334
SSVUSDT,2024-11-26 00:00:00+08:00,2024-11-26 01:00:00+08:00,2024-12-09 12:00:00+08:00,上级4h,98,27.952,23.595,15.587435603892391,32.027,反向确认,323.0,1.886160201973834,0.9224457195317874,14.37856325128792,40.15242679502609,3.3879847592656738,binance_um:SSVUSDT:1h:box_any:3340
OMUSDT,2024-11-29 11:00:00+08:00,2024-11-29 12:00:00+08:00,2024-11-30 07:00:00+08:00,本周期1h,0,3.62898,3.44917,4.9548357940798695,3.44917,初始止损,19.0,0.1447083032089425,-1.040364607085256,-5.15483579407987,0.0,-1.040364607085256,binance_um:OMUSDT:1h:box_any:3423
TOKENUSDT,2024-11-29 19:00:00+08:00,2024-11-29 20:00:00+08:00,2024-12-02 11:00:00+08:00,本周期1h,42,0.06304,0.058154,7.7506345177665,0.069545,追踪止损,63.0,2.955382726156363,1.3055505525992623,10.11884517766497,8.465244322092214,2.1668442230312306,binance_um:TOKENUSDT:1h:box_any:3431
OMUSDT,2024-11-30 21:00:00+08:00,2024-11-30 22:00:00+08:00,2024-12-01 09:00:00+08:00,本周期1h,2,3.65331,3.4737000000000005,4.91636351692025,3.4737000000000005,初始止损,11.0,1.0950949278993427,-1.040680474361115,-5.1163635169202495,2.538403029018732,-1.0438453113462969,binance_um:OMUSDT:1h:box_any:3457
ORDIUSDT,2024-12-01 01:00:00+08:00,2024-12-01 02:00:00+08:00,2024-12-02 04:00:00+08:00,本周期1h,0,44.049,40.564,7.911643851165739,40.564,初始止损,26.0,0.1569583931133421,-1.025279196556672,-8.111643851165748,0.0,-1.025279196556672,binance_um:ORDIUSDT:1h:box_any:3461
OMUSDT,2024-12-03 21:00:00+08:00,2024-12-03 22:00:00+08:00,2024-12-10 05:00:00+08:00,本周期1h,0,3.7934,3.56409,6.04497284757736,3.56409,初始止损,151.0,2.191749160525053,-1.033085342985478,-6.24497284757736,0.0,-1.033085342985478,binance_um:OMUSDT:1h:box_any:3529
WIFUSDT,2024-12-04 16:00:00+08:00,2024-12-04 17:00:00+08:00,2024-12-05 00:00:00+08:00,本周期1h,6,3.3616,3.2156,4.34316991908614,3.2156,初始止损,7.0,0.4979452054794507,-1.0460493150684924,-4.54316991908614,1.9408054342552106,-1.0394922155688615,binance_um:WIFUSDT:1h:box_any:3548
