arm,stage,period,signals,alerts_per_day,distinct_labels,label_drop,labels_per_100_asset_days,baseline_signals,same_time_kept,same_time_removed,new_times,positive_events,hits_1,recall_1,recall_6,baseline_hit_events,retained_hit_events,retention,newly_caught,large_positive_events,large_hits_1,large_recall_1,large_baseline_hits,large_retained_hits,matched,unmatched,duplicates,unknown
density_rearm,early,week_2026-08-17,578,82.57142857142857,713,0.6141774891774892,37.58566157090142,1611,535,1076,43,549,203,0.3697632058287796,0.4007285974499089,424,200,0.4716981132075472,3,398,136,0.3417085427135678,294,133,220,358,0,0
density_rearm,early,week_2026-08-24,662,94.57142857142857,783,0.3623778501628665,41.13925436196064,1063,632,431,30,94,59,0.6276595744680851,0.648936170212766,86,59,0.686046511627907,0,70,40,0.5714285714285714,62,40,61,601,0,0
density_rearm,early,week_2026-08-31,773,110.42857142857143,925,0.4293645897594077,48.581932773109244,1390,704,686,69,261,159,0.6091954022988506,0.6590038314176245,247,157,0.6356275303643725,2,138,72,0.5217391304347826,131,71,172,601,0,0
density_rearm,early,week_2026-09-07,193,96.5,236,0.4229828850855746,43.38235294117647,356,187,169,6,19,11,0.5789473684210527,0.5789473684210527,19,11,0.5789473684210527,0,8,6,0.75,8,6,11,73,0,109
v3,confirmed,full,3809,62.442622950819676,12042,0.0,73.137327347542,3809,3809,0,0,1660,488,0.29397590361445786,0.3963855421686747,488,488,1.0,0,947,290,0.30623020063357975,290,290,658,3078,0,73
v3,confirmed,first31,1943,62.67741935483871,5814,0.0,69.8451789227096,1943,1943,0,0,630,210,0.3333333333333333,0.4507936507936508,210,210,1.0,0,280,110,0.39285714285714285,110,110,284,1659,0,0
v3,confirmed,last30,1866,62.2,6228,0.0,76.5036160488077,1866,1866,0,0,1030,278,0.26990291262135924,0.36310679611650487,278,278,1.0,0,667,180,0.2698650674662669,180,180,374,1419,0,73
v3,confirmed,case_night,130,260.0,273,0.0,201.4760147601476,130,130,0,0,144,71,0.4930555555555556,0.6041666666666666,71,71,1.0,0,91,45,0.4945054945054945,45,45,82,48,0,0
v3,confirmed,week_2026-07-06,207,69.0,583,0.0,72.84844067267142,207,207,0,0,51,16,0.3137254901960784,0.5294117647058824,16,16,1.0,0,30,11,0.36666666666666664,11,11,27,180,0,0
v3,confirmed,week_2026-07-13,446,63.714285714285715,1150,0.0,61.33878566983732,446,446,0,0,111,42,0.3783783783783784,0.4594594594594595,42,42,1.0,0,44,21,0.4772727272727273,21,21,51,395,0,0
v3,confirmed,week_2026-07-20,419,59.857142857142854,1409,0.0,74.82740308019119,419,419,0,0,172,50,0.29069767441860467,0.36627906976744184,50,50,1.0,0,78,26,0.3333333333333333,26,26,61,358,0,0
v3,confirmed,week_2026-07-27,331,47.285714285714285,1189,0.0,63.143919277748275,331,331,0,0,98,30,0.30612244897959184,0.4897959183673469,30,30,1.0,0,49,20,0.40816326530612246,20,20,50,281,0,0
