i,stem,symbol,tip_idx,tip_time,max_conf,n_boxes,tip_spread,right_p50,cv60,ret12,pos24,bear_stack,bull_stack,filter_reason,owner_keep,owner_note,image
119,XTZ_USDT_SWAP_028839,XTZ_USDT_SWAP,28839,2026-03-31 03:45:00+00:00,0.7635,1,0.004691,0.9967,-0.009122,-0.018286,0.086,0,0,pass,,,images/train/XTZ_USDT_SWAP_028839.png
120,BICO_USDT_SWAP_031059,BICO_USDT_SWAP,31059,2026-04-23 03:00:00+00:00,0.7369,1,0.004694,0.998,-0.017093,-0.005657,0.0571,1,0,pass,,,images/train/BICO_USDT_SWAP_031059.png
121,PENGU_USDT_SWAP_016019,PENGU_USDT_SWAP,16019,2025-11-16 12:15:00+00:00,0.8098,1,0.004708,0.9962,-0.012785,-0.013934,0.2443,1,0,pass,,,images/train/PENGU_USDT_SWAP_016019.png
122,UMA_USDT_SWAP_031779,UMA_USDT_SWAP,31779,2026-04-30 18:30:00+00:00,0.3722,2,0.004713,0.9974,-0.002128,-0.000887,0.3095,1,0,pass,,,images/train/UMA_USDT_SWAP_031779.png
123,A_USDT_SWAP_024159,A_USDT_SWAP,24159,2026-02-10 05:00:00+00:00,0.7542,1,0.004741,0.9964,-0.00432,-0.007761,0.4648,1,0,pass,,,images/train/A_USDT_SWAP_024159.png
124,DOOD_USDT_SWAP_001559,DOOD_USDT_SWAP,1559,2025-06-19 20:45:00+00:00,0.5144,1,0.00479,0.9963,-0.007757,-0.00358,0.3902,1,0,pass,,,images/train/DOOD_USDT_SWAP_001559.png
125,ORDI_USDT_SWAP_010959,ORDI_USDT_SWAP,10959,2025-09-24 19:15:00+00:00,0.4691,1,0.004812,0.9974,-0.00422,-0.001774,0.1381,1,0,pass,,,images/train/ORDI_USDT_SWAP_010959.png
126,XTZ_USDT_SWAP_028279,XTZ_USDT_SWAP,28279,2026-03-25 07:45:00+00:00,0.7934,1,0.004815,0.9968,-0.00703,-0.00758,0.1928,0,0,pass,,,images/train/XTZ_USDT_SWAP_028279.png
127,PIEVERSE_USDT_SWAP_012659,PIEVERSE_USDT_SWAP,12659,2026-03-28 00:15:00+00:00,0.8119,1,0.004826,0.9963,-0.014179,-0.027941,0.2376,0,0,pass,,,images/train/PIEVERSE_USDT_SWAP_012659.png
128,ETH_USDT_SWAP_017239,ETH_USDT_SWAP,17239,2025-11-28 02:30:00+00:00,0.6354,1,0.00484,0.9972,-0.004151,-0.004082,0.2154,0,0,pass,,,images/train/ETH_USDT_SWAP_017239.png
129,NIGHT_USDT_SWAP_013519,NIGHT_USDT_SWAP,13519,2026-04-29 07:15:00+00:00,0.703,1,0.004842,0.9972,-0.005067,-0.008182,0.1224,1,0,pass,,,images/train/NIGHT_USDT_SWAP_013519.png
130,CRV_USDT_SWAP_028779,CRV_USDT_SWAP,28779,2026-03-29 09:45:00+00:00,0.5271,1,0.004844,0.9975,-0.002764,-0.001419,0.4,1,0,pass,,,images/train/CRV_USDT_SWAP_028779.png
131,ZORA_USDT_SWAP_014439,ZORA_USDT_SWAP,14439,2026-03-09 21:15:00+00:00,0.677,1,0.004876,0.998,-0.000219,-0.001128,0.6842,1,0,pass,,,images/train/ZORA_USDT_SWAP_014439.png
132,MMT_USDT_SWAP_006399,MMT_USDT_SWAP,6399,2026-01-10 04:15:00+00:00,0.6857,1,0.004908,0.9969,-0.020024,-0.020742,0.0247,1,0,pass,,,images/train/MMT_USDT_SWAP_006399.png
133,BARD_USDT_SWAP_019879,BARD_USDT_SWAP,19879,2026-04-13 13:45:00+00:00,0.6771,1,0.00491,0.9984,-0.002066,-0.004529,0.5278,0,0,pass,,,images/train/BARD_USDT_SWAP_019879.png
134,BRETT_USDT_SWAP_019779,BRETT_USDT_SWAP,19779,2025-12-26 15:15:00+00:00,0.7103,1,0.004911,0.9982,-0.023731,-0.022039,0.1692,0,0,pass,,,images/train/BRETT_USDT_SWAP_019779.png
135,BARD_USDT_SWAP_017299,BARD_USDT_SWAP,17299,2026-03-17 16:45:00+00:00,0.3717,1,0.004915,0.9969,-0.003366,-0.001487,0.3619,1,0,pass,,,images/train/BARD_USDT_SWAP_017299.png
136,TRB_USDT_SWAP_016859,TRB_USDT_SWAP,16859,2025-11-26 08:15:00+00:00,0.5174,1,0.004922,0.9992,-0.00496,-0.002869,0.2581,0,0,pass,,,images/train/TRB_USDT_SWAP_016859.png
137,DYDX_USDT_SWAP_029799,DYDX_USDT_SWAP,29799,2026-04-10 00:45:00+00:00,0.7628,1,0.004926,0.9966,-0.020935,-0.022743,0.1881,1,0,pass,,,images/train/DYDX_USDT_SWAP_029799.png
138,PENGU_USDT_SWAP_024979,PENGU_USDT_SWAP,24979,2026-02-17 20:15:00+00:00,0.4761,1,0.004946,0.9974,-0.005746,-0.008793,0.357,1,0,pass,,,images/train/PENGU_USDT_SWAP_024979.png
139,ADA_USDT_SWAP_014139,ADA_USDT_SWAP,14139,2025-10-27 21:30:00+00:00,0.8636,1,0.00497,0.9966,-0.009889,-0.018616,0.267,0,0,pass,,,images/train/ADA_USDT_SWAP_014139.png
140,MUBARAK_USDT_SWAP_026899,MUBARAK_USDT_SWAP,26899,2026-03-10 21:15:00+00:00,0.4606,1,0.004974,0.9979,-0.003198,-0.011463,0.3488,0,0,pass,,,images/train/MUBARAK_USDT_SWAP_026899.png
141,XLM_USDT_SWAP_006559,XLM_USDT_SWAP,6559,2025-08-09 23:45:00+00:00,0.6526,1,0.004977,0.9967,-0.008812,-0.009799,0.2394,0,0,pass,,,images/train/XLM_USDT_SWAP_006559.png
142,TURBO_USDT_SWAP_023599,TURBO_USDT_SWAP,23599,2026-02-04 13:30:00+00:00,0.5422,1,0.004981,0.9982,-0.015325,-0.014563,0.0588,1,0,pass,,,images/train/TURBO_USDT_SWAP_023599.png
143,FLOKI_USDT_SWAP_018719,FLOKI_USDT_SWAP,18719,2025-12-15 15:15:00+00:00,0.7322,1,0.004998,0.9976,-0.040987,-0.042101,0.0598,1,0,pass,,,images/train/FLOKI_USDT_SWAP_018719.png
144,METIS_USDT_SWAP_016639,METIS_USDT_SWAP,16639,2025-11-24 00:15:00+00:00,0.7838,1,0.005027,0.9968,-0.012186,-0.016174,0.2596,1,0,pass,,,images/train/METIS_USDT_SWAP_016639.png
145,CRWV_USDT_SWAP_000859,CRWV_USDT_SWAP,859,2026-04-19 10:45:00+00:00,0.5727,1,0.00503,0.997,-0.001639,-0.005293,0.2462,1,0,pass,,,images/train/CRWV_USDT_SWAP_000859.png
146,2Z_USDT_SWAP_011959,2Z_USDT_SWAP,11959,2026-02-04 02:45:00+00:00,0.8634,1,0.005056,0.9962,-0.013264,-0.0092,0.0408,1,0,pass,,,images/train/2Z_USDT_SWAP_011959.png
147,ONT_USDT_SWAP_024139,ONT_USDT_SWAP,24139,2026-02-10 03:30:00+00:00,0.8202,1,0.00507,0.9965,-0.018592,-0.020587,0.1646,1,0,pass,,,images/train/ONT_USDT_SWAP_024139.png
148,BICO_USDT_SWAP_003939,BICO_USDT_SWAP,3939,2025-07-14 15:00:00+00:00,0.5599,2,0.005075,0.997,-0.011959,-0.012781,0.1587,0,0,pass,,,images/train/BICO_USDT_SWAP_003939.png
149,BARD_USDT_SWAP_006019,BARD_USDT_SWAP,6019,2025-11-20 04:45:00+00:00,0.5899,1,0.005082,0.997,-0.002319,-0.003885,0.4124,1,0,pass,,,images/train/BARD_USDT_SWAP_006019.png
150,GMX_USDT_SWAP_008579,GMX_USDT_SWAP,8579,2025-09-01 00:30:00+00:00,0.7581,1,0.005083,0.9968,-0.016665,-0.020107,0.28,1,0,pass,,,images/train/GMX_USDT_SWAP_008579.png
151,SUSHI_USDT_SWAP_024139,SUSHI_USDT_SWAP,24139,2026-02-10 04:15:00+00:00,0.7959,1,0.005098,0.996,-0.005247,-0.012677,0.5246,1,0,pass,,,images/train/SUSHI_USDT_SWAP_024139.png
152,SPX_USDT_SWAP_027039,SPX_USDT_SWAP,27039,2026-04-24 20:45:00+00:00,0.6201,1,0.005109,0.9977,-0.002528,-0.002076,0.4409,0,0,pass,,,images/train/SPX_USDT_SWAP_027039.png
153,STABLE_USDT_SWAP_000599,STABLE_USDT_SWAP,599,2025-12-14 19:15:00+00:00,0.6915,1,0.005111,0.9975,-0.012086,-0.051282,0.2,1,0,pass,,,images/train/STABLE_USDT_SWAP_000599.png
154,PEPE_USDT_SWAP_021419,PEPE_USDT_SWAP,21419,2026-01-11 18:30:00+00:00,0.8491,1,0.00515,0.9975,-0.013876,-0.008945,0.2289,1,0,pass,,,images/train/PEPE_USDT_SWAP_021419.png
155,STRK_USDT_SWAP_024819,STRK_USDT_SWAP,24819,2026-02-17 06:15:00+00:00,0.5239,1,0.005153,0.9966,-0.005858,-0.006962,0.3282,1,0,pass,,,images/train/STRK_USDT_SWAP_024819.png
156,COMP_USDT_SWAP_026799,COMP_USDT_SWAP,26799,2026-03-09 18:30:00+00:00,0.7947,1,0.005168,0.9972,-0.002822,-0.003595,0.3429,1,0,pass,,,images/train/COMP_USDT_SWAP_026799.png
157,AT_USDT_SWAP_007319,AT_USDT_SWAP,7319,2026-01-14 15:45:00+00:00,0.6019,1,0.005171,0.9979,-0.002464,-0.002381,0.426,1,0,pass,,,images/train/AT_USDT_SWAP_007319.png
158,ONE_USDT_SWAP_024239,ONE_USDT_SWAP,24239,2026-02-11 04:30:00+00:00,0.4632,1,0.005177,0.9973,-0.012158,-0.016097,0.0833,0,0,pass,,,images/train/ONE_USDT_SWAP_024239.png
159,HBAR_USDT_SWAP_019919,HBAR_USDT_SWAP,19919,2025-12-27 03:00:00+00:00,0.703,1,0.005185,0.9969,-0.00122,-0.000179,0.541,1,0,pass,,,images/train/HBAR_USDT_SWAP_019919.png
160,NEO_USDT_SWAP_018519,NEO_USDT_SWAP,18519,2025-12-13 14:15:00+00:00,0.6758,1,0.00519,0.9971,-0.004732,-0.005654,0.0,1,0,pass,,,images/train/NEO_USDT_SWAP_018519.png
161,ACH_USDT_SWAP_019279,ACH_USDT_SWAP,19279,2025-12-21 09:00:00+00:00,0.663,1,0.005204,0.9975,-0.005084,-0.001919,0.2222,0,0,pass,,,images/train/ACH_USDT_SWAP_019279.png
162,XPT_USDT_SWAP_005159,XPT_USDT_SWAP,5159,2026-03-28 00:15:00+00:00,0.3543,1,0.005208,0.997,-0.002939,-0.003531,0.0857,1,0,pass,,,images/train/XPT_USDT_SWAP_005159.png
163,METIS_USDT_SWAP_018579,METIS_USDT_SWAP,18579,2025-12-14 05:15:00+00:00,0.7622,1,0.005223,0.997,-0.017667,-0.019804,0.1034,1,0,pass,,,images/train/METIS_USDT_SWAP_018579.png
164,CRV_USDT_SWAP_015959,CRV_USDT_SWAP,15959,2025-11-15 20:45:00+00:00,0.7902,1,0.005224,0.9976,-0.015837,-0.022322,0.0661,1,0,pass,,,images/train/CRV_USDT_SWAP_015959.png
165,USAR_USDT_SWAP_000579,USAR_USDT_SWAP,579,2026-05-03 14:45:00+00:00,0.5109,1,0.005233,0.9978,-0.004474,-0.004891,0.3017,0,0,pass,,,images/train/USAR_USDT_SWAP_000579.png
166,BLEND_USDT_SWAP_000419,BLEND_USDT_SWAP,419,2026-05-03 18:45:00+00:00,0.4347,1,0.005234,0.9976,-0.008547,-0.019279,0.1786,0,0,pass,,,images/train/BLEND_USDT_SWAP_000419.png
167,CELO_USDT_SWAP_022839,CELO_USDT_SWAP,22839,2026-01-27 12:30:00+00:00,0.5187,1,0.005251,0.9975,-0.009664,-0.014493,0.125,0,0,pass,,,images/train/CELO_USDT_SWAP_022839.png
168,WET_USDT_SWAP_013219,WET_USDT_SWAP,13219,2026-04-26 08:45:00+00:00,0.6676,1,0.005253,0.9972,-0.003591,-0.008348,0.35,0,0,pass,,,images/train/WET_USDT_SWAP_013219.png
169,MUBARAK_USDT_SWAP_029219,MUBARAK_USDT_SWAP,29219,2026-04-04 01:15:00+00:00,0.5405,2,0.005264,0.9971,-0.00314,-0.004496,0.2667,1,0,pass,,,images/train/MUBARAK_USDT_SWAP_029219.png
170,TRB_USDT_SWAP_003079,TRB_USDT_SWAP,3079,2025-07-05 19:15:00+00:00,0.7457,1,0.005266,0.9966,-0.009234,-0.010703,0.3021,1,0,pass,,,images/train/TRB_USDT_SWAP_003079.png
171,STRK_USDT_SWAP_026259,STRK_USDT_SWAP,26259,2026-03-04 06:15:00+00:00,0.7946,1,0.005271,0.997,-0.00407,-0.003507,0.2703,1,0,pass,,,images/train/STRK_USDT_SWAP_026259.png
172,ETC_USDT_SWAP_016019,ETC_USDT_SWAP,16019,2025-11-16 12:00:00+00:00,0.7112,1,0.005289,0.9968,-0.009501,-0.008536,0.2424,0,0,pass,,,images/train/ETC_USDT_SWAP_016019.png
173,SIGN_USDT_SWAP_007399,SIGN_USDT_SWAP,7399,2025-08-19 19:00:00+00:00,0.6625,1,0.005292,0.9975,-0.01765,-0.019027,0.0661,1,0,pass,,,images/train/SIGN_USDT_SWAP_007399.png
174,AVAX_USDT_SWAP_027659,AVAX_USDT_SWAP,27659,2026-03-17 17:30:00+00:00,0.6765,1,0.005299,0.9967,-0.000968,-0.000292,0.5532,0,0,pass,,,images/train/AVAX_USDT_SWAP_027659.png
175,ONT_USDT_SWAP_025859,ONT_USDT_SWAP,25859,2026-02-28 01:30:00+00:00,0.6806,2,0.005302,0.9983,-0.01265,-0.007163,0.1835,0,0,pass,,,images/train/ONT_USDT_SWAP_025859.png
176,ENA_USDT_SWAP_006999,ENA_USDT_SWAP,6999,2025-11-29 05:15:00+00:00,0.7921,1,0.005307,0.9979,-0.008262,-0.010244,0.2143,1,0,pass,,,images/train/ENA_USDT_SWAP_006999.png
177,GAS_USDT_SWAP_021799,GAS_USDT_SWAP,21799,2026-01-16 17:15:00+00:00,0.6257,1,0.005309,0.9967,-0.003688,-0.003839,0.5682,1,0,pass,,,images/train/GAS_USDT_SWAP_021799.png
178,BOME_USDT_SWAP_023999,BOME_USDT_SWAP,23999,2026-02-08 14:15:00+00:00,0.6453,2,0.005315,0.9971,-0.002839,-0.001432,0.4722,1,0,pass,,,images/train/BOME_USDT_SWAP_023999.png
179,ENSO_USDT_SWAP_015719,ENSO_USDT_SWAP,15719,2026-04-11 03:45:00+00:00,0.6616,1,0.005332,0.9967,-0.0102,-0.01022,0.0053,1,0,pass,,,images/train/ENSO_USDT_SWAP_015719.png
180,WCT_USDT_SWAP_006599,WCT_USDT_SWAP,6599,2025-08-11 11:30:00+00:00,0.7425,1,0.005343,0.997,-0.026493,-0.025633,0.0927,1,0,pass,,,images/train/WCT_USDT_SWAP_006599.png
181,ZKP_USDT_SWAP_005659,ZKP_USDT_SWAP,5659,2026-03-07 12:30:00+00:00,0.7125,2,0.005344,0.9979,-0.009219,-0.008823,0.216,1,0,pass,,,images/train/ZKP_USDT_SWAP_005659.png
182,RSR_USDT_SWAP_016599,RSR_USDT_SWAP,16599,2025-11-23 15:00:00+00:00,0.4257,1,0.005392,0.9973,-0.004776,-0.00981,0.3235,1,0,pass,,,images/train/RSR_USDT_SWAP_016599.png
183,GRT_USDT_SWAP_008679,GRT_USDT_SWAP,8679,2025-09-01 01:00:00+00:00,0.725,1,0.005401,0.9972,-0.018395,-0.024922,0.2243,1,0,pass,,,images/train/GRT_USDT_SWAP_008679.png
184,GRT_USDT_SWAP_001679,GRT_USDT_SWAP,1679,2025-06-20 03:00:00+00:00,0.4766,2,0.005423,0.997,-0.00304,-0.006447,0.3154,0,0,pass,,,images/train/GRT_USDT_SWAP_001679.png
185,PIPPIN_USDT_SWAP_004139,PIPPIN_USDT_SWAP,4139,2026-01-14 17:45:00+00:00,0.5879,1,0.00543,0.997,-0.01473,-0.021814,0.1421,1,0,pass,,,images/train/PIPPIN_USDT_SWAP_004139.png
186,DOOD_USDT_SWAP_027919,DOOD_USDT_SWAP,27919,2026-03-21 10:45:00+00:00,0.8106,1,0.005438,0.9982,-0.010803,-0.006989,0.0833,0,0,pass,,,images/train/DOOD_USDT_SWAP_027919.png
187,MEME_USDT_SWAP_016039,MEME_USDT_SWAP,16039,2025-11-17 18:15:00+00:00,0.5974,1,0.005453,0.9962,-0.029076,-0.040446,0.011,1,0,pass,,,images/train/MEME_USDT_SWAP_016039.png
188,SEI_USDT_SWAP_012119,SEI_USDT_SWAP,12119,2026-03-20 13:15:00+00:00,0.4911,2,0.005461,0.9973,-0.005374,-0.004384,0.1064,1,0,pass,,,images/train/SEI_USDT_SWAP_012119.png
189,ATOM_USDT_SWAP_014559,ATOM_USDT_SWAP,14559,2025-11-01 06:30:00+00:00,0.5215,2,0.005463,0.9971,-0.003678,-0.007054,0.381,1,0,pass,,,images/train/ATOM_USDT_SWAP_014559.png
190,ME_USDT_SWAP_005179,ME_USDT_SWAP,5179,2025-07-27 15:00:00+00:00,0.6651,1,0.005471,0.9978,-0.006975,-0.00802,0.0732,0,0,pass,,,images/train/ME_USDT_SWAP_005179.png
191,LRC_USDT_SWAP_020919,LRC_USDT_SWAP,20919,2026-01-07 14:00:00+00:00,0.762,1,0.005473,0.9967,-0.015426,-0.014947,0.1105,1,0,pass,,,images/train/LRC_USDT_SWAP_020919.png
192,TAO_USDT_SWAP_003119,TAO_USDT_SWAP,3119,2025-07-06 05:15:00+00:00,0.6304,2,0.005477,0.9973,-0.00379,-0.003432,0.1875,1,0,pass,,,images/train/TAO_USDT_SWAP_003119.png
193,HOME_USDT_SWAP_023119,HOME_USDT_SWAP,23119,2026-02-09 06:00:00+00:00,0.6698,1,0.005479,0.9982,-0.000983,-0.001047,0.2051,0,0,pass,,,images/train/HOME_USDT_SWAP_023119.png
194,JUP_USDT_SWAP_018579,JUP_USDT_SWAP,18579,2025-12-14 04:45:00+00:00,0.5989,1,0.005482,0.9975,-0.002692,-0.002947,0.2381,1,0,pass,,,images/train/JUP_USDT_SWAP_018579.png
195,SUSHI_USDT_SWAP_023999,SUSHI_USDT_SWAP,23999,2026-02-08 17:15:00+00:00,0.7707,1,0.005486,0.9967,-0.022072,-0.025286,0.233,1,0,pass,,,images/train/SUSHI_USDT_SWAP_023999.png
196,XTZ_USDT_SWAP_021219,XTZ_USDT_SWAP,21219,2026-01-10 18:45:00+00:00,0.6522,1,0.005487,0.9971,-0.005569,-0.000857,0.2206,0,0,pass,,,images/train/XTZ_USDT_SWAP_021219.png
197,AERO_USDT_SWAP_006359,AERO_USDT_SWAP,6359,2025-09-07 12:00:00+00:00,0.5288,1,0.005532,0.9969,-0.005108,-0.006767,0.324,1,0,pass,,,images/train/AERO_USDT_SWAP_006359.png
198,ENS_USDT_SWAP_020159,ENS_USDT_SWAP,20159,2025-12-30 15:00:00+00:00,0.4239,1,0.005542,0.9996,-0.004281,-0.008079,0.3101,1,0,pass,,,images/train/ENS_USDT_SWAP_020159.png
199,BAND_USDT_SWAP_010459,BAND_USDT_SWAP,10459,2025-09-20 13:00:00+00:00,0.332,2,0.005549,0.9974,-0.000575,-0.001373,0.4404,1,0,pass,,,images/train/BAND_USDT_SWAP_010459.png
200,BZ_USDT_SWAP_002159,BZ_USDT_SWAP,2159,2026-04-15 21:45:00+00:00,0.4482,1,0.00555,0.9974,-0.003485,-0.000331,0.1721,1,0,pass,,,images/train/BZ_USDT_SWAP_002159.png
201,ETC_USDT_SWAP_002739,ETC_USDT_SWAP,2739,2025-07-01 04:00:00+00:00,0.8032,1,0.005563,0.9976,-0.00718,-0.008434,0.0556,0,0,pass,,,images/train/ETC_USDT_SWAP_002739.png
202,ZKP_USDT_SWAP_008019,ZKP_USDT_SWAP,8019,2026-04-01 02:30:00+00:00,0.7303,1,0.005565,0.9968,-0.009168,-0.010709,0.0952,1,0,pass,,,images/train/ZKP_USDT_SWAP_008019.png
203,NG_USDT_SWAP_001199,NG_USDT_SWAP,1199,2026-03-22 20:45:00+00:00,0.664,2,0.005581,0.9978,-0.003645,-0.001976,0.2853,0,0,pass,,,images/train/NG_USDT_SWAP_001199.png
204,ATOM_USDT_SWAP_022999,ATOM_USDT_SWAP,22999,2026-01-28 04:30:00+00:00,0.6323,1,0.005594,0.9988,-0.004837,-0.004039,0.0556,1,0,pass,,,images/train/ATOM_USDT_SWAP_022999.png
205,AERO_USDT_SWAP_008379,AERO_USDT_SWAP,8379,2025-09-28 13:00:00+00:00,0.7647,1,0.005607,0.9967,-0.006549,-0.00169,0.3786,1,0,pass,,,images/train/AERO_USDT_SWAP_008379.png
206,GALA_USDT_SWAP_022919,GALA_USDT_SWAP,22919,2026-01-27 09:00:00+00:00,0.6561,1,0.005613,0.9974,-0.008574,-0.00515,0.0824,1,0,pass,,,images/train/GALA_USDT_SWAP_022919.png
207,ENS_USDT_SWAP_014259,ENS_USDT_SWAP,14259,2025-10-30 04:00:00+00:00,0.4996,1,0.005616,0.9974,-0.018139,-0.011013,0.0648,1,0,pass,,,images/train/ENS_USDT_SWAP_014259.png
208,BOME_USDT_SWAP_024959,BOME_USDT_SWAP,24959,2026-02-18 14:15:00+00:00,0.8081,1,0.005625,0.9962,-0.017774,-0.01827,0.1275,1,0,pass,,,images/train/BOME_USDT_SWAP_024959.png
209,W_USDT_SWAP_028199,W_USDT_SWAP,28199,2026-03-24 11:30:00+00:00,0.6745,1,0.005627,0.9979,-0.006099,-0.013723,0.1892,0,0,pass,,,images/train/W_USDT_SWAP_028199.png
210,CFX_USDT_SWAP_016719,CFX_USDT_SWAP,16719,2025-11-23 18:45:00+00:00,0.5739,1,0.005647,0.9972,-0.006142,-0.006768,0.3231,1,0,pass,,,images/train/CFX_USDT_SWAP_016719.png
211,OPN_USDT_SWAP_004099,OPN_USDT_SWAP,4099,2026-04-07 04:45:00+00:00,0.4679,1,0.00565,0.998,-0.002091,-0.001067,0.5714,0,0,pass,,,images/train/OPN_USDT_SWAP_004099.png
212,PENGU_USDT_SWAP_022699,PENGU_USDT_SWAP,22699,2026-01-25 02:15:00+00:00,0.7812,1,0.005663,0.9966,-0.006219,-0.008768,0.2246,1,0,pass,,,images/train/PENGU_USDT_SWAP_022699.png
213,SEI_USDT_SWAP_008299,SEI_USDT_SWAP,8299,2026-02-08 18:15:00+00:00,0.6562,1,0.00567,0.9974,-0.004931,-0.005989,0.3975,1,0,pass,,,images/train/SEI_USDT_SWAP_008299.png
214,ENA_USDT_SWAP_000719,ENA_USDT_SWAP,719,2025-09-24 19:15:00+00:00,0.7886,1,0.005695,0.998,-0.006757,-0.002832,0.1529,1,0,pass,,,images/train/ENA_USDT_SWAP_000719.png
215,MANA_USDT_SWAP_027219,MANA_USDT_SWAP,27219,2026-03-15 06:00:00+00:00,0.8227,1,0.005696,0.9974,-0.004764,-0.012089,0.2083,1,0,pass,,,images/train/MANA_USDT_SWAP_027219.png
216,ASTER_USDT_SWAP_021159,ASTER_USDT_SWAP,21159,2026-04-30 14:45:00+00:00,0.7042,1,0.005699,0.997,-0.006262,-0.005937,0.2386,1,0,pass,,,images/train/ASTER_USDT_SWAP_021159.png
217,BEAT_USDT_SWAP_015839,BEAT_USDT_SWAP,15839,2026-04-26 16:00:00+00:00,0.3727,1,0.005701,0.9978,-0.00212,-0.009871,0.4057,0,0,pass,,,images/train/BEAT_USDT_SWAP_015839.png
218,PNUT_USDT_SWAP_022499,PNUT_USDT_SWAP,22499,2026-01-24 01:45:00+00:00,0.5898,1,0.005713,0.9975,-0.001971,-0.001787,0.746,1,0,pass,,,images/train/PNUT_USDT_SWAP_022499.png
219,0G_USDT_SWAP_017599,0G_USDT_SWAP,17599,2026-03-24 18:15:00+00:00,0.7014,1,0.005724,0.9972,-0.007072,-0.009202,0.2051,1,0,pass,,,images/train/0G_USDT_SWAP_017599.png
220,ETC_USDT_SWAP_026199,ETC_USDT_SWAP,26199,2026-03-02 13:00:00+00:00,0.4207,2,0.005724,0.9976,-0.005864,-0.003288,0.3584,1,0,pass,,,images/train/ETC_USDT_SWAP_026199.png
221,AVAX_USDT_SWAP_027119,AVAX_USDT_SWAP,27119,2026-03-12 02:30:00+00:00,0.7415,1,0.005743,0.998,-0.010649,-0.006493,0.1221,0,0,pass,,,images/train/AVAX_USDT_SWAP_027119.png
222,ASTER_USDT_SWAP_017199,ASTER_USDT_SWAP,17199,2026-03-20 08:45:00+00:00,0.3705,1,0.005777,0.9979,-0.000683,-0.000146,0.5591,1,0,pass,,,images/train/ASTER_USDT_SWAP_017199.png
223,BICO_USDT_SWAP_028039,BICO_USDT_SWAP,28039,2026-03-22 16:00:00+00:00,0.7022,2,0.005781,0.9982,-0.006687,-0.01082,0.2264,1,0,pass,,,images/train/BICO_USDT_SWAP_028039.png
224,IOST_USDT_SWAP_003119,IOST_USDT_SWAP,3119,2025-07-06 03:45:00+00:00,0.7975,1,0.005781,0.9971,-0.003508,-0.00496,0.1714,1,0,pass,,,images/train/IOST_USDT_SWAP_003119.png
225,ZEN_USDT_SWAP_007899,ZEN_USDT_SWAP,7899,2026-01-24 12:45:00+00:00,0.7774,1,0.005783,0.9974,-0.011133,-0.009407,0.0431,1,0,pass,,,images/train/ZEN_USDT_SWAP_007899.png
226,TRUTH_USDT_SWAP_009739,TRUTH_USDT_SWAP,9739,2026-03-09 22:15:00+00:00,0.6786,1,0.005785,0.9977,-0.00294,-0.008253,0.1829,1,0,pass,,,images/train/TRUTH_USDT_SWAP_009739.png
227,NMR_USDT_SWAP_020039,NMR_USDT_SWAP,20039,2025-12-29 10:30:00+00:00,0.8261,1,0.005786,0.9964,-0.005423,-0.009054,0.3167,0,0,pass,,,images/train/NMR_USDT_SWAP_020039.png
228,TRB_USDT_SWAP_025139,TRB_USDT_SWAP,25139,2026-02-20 14:15:00+00:00,0.7463,1,0.005788,0.9975,-0.007733,-0.008027,0.5152,1,0,pass,,,images/train/TRB_USDT_SWAP_025139.png
229,ONT_USDT_SWAP_022339,ONT_USDT_SWAP,22339,2026-01-22 09:30:00+00:00,0.6805,1,0.005799,0.9973,-0.005387,-0.007538,0.25,1,0,pass,,,images/train/ONT_USDT_SWAP_022339.png
230,SHELL_USDT_SWAP_023979,SHELL_USDT_SWAP,23979,2026-02-08 12:00:00+00:00,0.5831,2,0.0058,0.9961,-0.011729,-0.014822,0.0875,1,0,pass,,,images/train/SHELL_USDT_SWAP_023979.png
231,LINEA_USDT_SWAP_011599,LINEA_USDT_SWAP,11599,2025-12-31 09:45:00+00:00,0.7436,1,0.00581,0.9969,-0.002262,-0.003415,0.5096,1,0,pass,,,images/train/LINEA_USDT_SWAP_011599.png
232,AIXBT_USDT_SWAP_028279,AIXBT_USDT_SWAP,28279,2026-03-25 03:15:00+00:00,0.745,1,0.005822,0.9962,-0.012151,-0.025271,0.1348,1,0,pass,,,images/train/AIXBT_USDT_SWAP_028279.png
233,IOTA_USDT_SWAP_016799,IOTA_USDT_SWAP,16799,2025-11-25 15:45:00+00:00,0.7214,1,0.005823,0.9982,-0.000631,0.0,0.5862,0,0,pass,,,images/train/IOTA_USDT_SWAP_016799.png
234,NOT_USDT_SWAP_019539,NOT_USDT_SWAP,19539,2025-12-24 05:30:00+00:00,0.7378,1,0.005841,0.9976,-0.015841,-0.007501,0.0688,1,0,pass,,,images/train/NOT_USDT_SWAP_019539.png
235,ONE_USDT_SWAP_010879,ONE_USDT_SWAP,10879,2025-09-25 00:30:00+00:00,0.8215,1,0.005845,0.9977,-0.012486,-0.007763,0.1303,1,0,pass,,,images/train/ONE_USDT_SWAP_010879.png
236,COMP_USDT_SWAP_025119,COMP_USDT_SWAP,25119,2026-02-20 06:30:00+00:00,0.4671,1,0.005846,0.997,-0.005333,-0.00946,0.14,1,0,pass,,,images/train/COMP_USDT_SWAP_025119.png
237,ONDO_USDT_SWAP_020279,ONDO_USDT_SWAP,20279,2025-12-30 21:15:00+00:00,0.6403,1,0.005848,0.9975,-0.00873,-0.006913,0.1188,1,0,pass,,,images/train/ONDO_USDT_SWAP_020279.png
