i,stem,symbol,tip_idx,tip_time,max_conf,n_boxes,tip_spread,right_p50,owner_keep,owner_note,image,keep_shortish,reason,cv20,cv60,cv120,ret4,ret12,pos24,slope60,bull_stack,bear_stack
221,JUP_USDT_SWAP_022359,JUP_USDT_SWAP,22359,2026-01-22 13:45:00+00:00,0.6395,1,0.004518,0.9979,,,images/train/JUP_USDT_SWAP_022359.png,1,pass,-0.006654,-0.007576,-0.007331,-0.005139,-0.013252,0.1463,-0.001178,0,0
222,UNI_USDT_SWAP_028339,UNI_USDT_SWAP,28339,2026-03-24 20:30:00+00:00,0.5824,1,0.004518,0.997,,,images/train/UNI_USDT_SWAP_028339.png,0,ret12_pos,0.009044,0.007645,0.008745,0.01269,0.017569,0.7647,-0.001251,0,0
223,PIEVERSE_USDT_SWAP_009499,PIEVERSE_USDT_SWAP,9499,2026-02-23 02:15:00+00:00,0.6112,1,0.004521,0.9953,,,images/train/PIEVERSE_USDT_SWAP_009499.png,0,ret12_pos,0.010843,0.010229,0.008196,0.031297,0.006106,0.776,-0.001711,0,1
224,DYDX_USDT_SWAP_009159,DYDX_USDT_SWAP,9159,2025-09-07 00:45:00+00:00,0.4804,1,0.004525,0.9969,,,images/train/DYDX_USDT_SWAP_009159.png,0,bull_stack,0.002628,0.004148,0.005175,0.003526,-0.000335,0.8426,0.00148,1,0
225,SAPIEN_USDT_SWAP_006899,SAPIEN_USDT_SWAP,6899,2026-01-17 08:30:00+00:00,0.697,1,0.004529,0.9967,,,images/train/SAPIEN_USDT_SWAP_006899.png,1,pass,-0.011341,-0.013184,-0.012941,-0.012346,-0.015919,0.0303,-0.001725,0,0
226,HUMA_USDT_SWAP_018099,HUMA_USDT_SWAP,18099,2025-12-09 04:45:00+00:00,0.5942,1,0.004529,0.9972,,,images/train/HUMA_USDT_SWAP_018099.png,0,bull_stack,-0.003612,-0.002541,-0.00059,-0.004243,0.000355,0.1579,0.001108,1,0
227,ICP_USDT_SWAP_026279,ICP_USDT_SWAP,26279,2026-03-03 09:00:00+00:00,0.5263,1,0.004537,0.9985,,,images/train/ICP_USDT_SWAP_026279.png,0,ret12_pos,-0.001023,-0.001903,-0.002835,-0.003745,0.002513,0.4898,0.000123,0,1
228,MOVE_USDT_SWAP_013759,MOVE_USDT_SWAP,13759,2025-10-25 00:15:00+00:00,0.3706,2,0.004552,0.9985,,,images/train/MOVE_USDT_SWAP_013759.png,0,bull_stack,0.000322,0.004129,0.005212,-0.003256,-0.001223,0.6776,0.00342,1,0
229,DOOD_USDT_SWAP_030899,DOOD_USDT_SWAP,30899,2026-04-21 11:45:00+00:00,0.4151,1,0.004552,0.9968,,,images/train/DOOD_USDT_SWAP_030899.png,0,bull_stack,-0.000894,0.000634,0.0017,-0.003521,-0.000321,0.4318,0.001325,1,0
230,W_USDT_SWAP_027159,W_USDT_SWAP,27159,2026-03-13 15:30:00+00:00,0.6255,2,0.004557,0.997,,,images/train/W_USDT_SWAP_027159.png,1,pass,-0.011127,-0.012042,-0.009827,-0.008729,-0.009809,0.0943,-2.7e-05,0,0
231,GAS_USDT_SWAP_015399,GAS_USDT_SWAP,15399,2025-11-11 01:15:00+00:00,0.5215,1,0.004558,0.9979,,,images/train/GAS_USDT_SWAP_015399.png,0,ret12_pos,0.009405,0.009288,0.008811,0.01536,0.011679,0.6353,0.000757,0,1
232,VANA_USDT_SWAP_007379,VANA_USDT_SWAP,7379,2025-08-19 14:30:00+00:00,0.5656,2,0.004562,0.997,,,images/train/VANA_USDT_SWAP_007379.png,1,pass,-0.014367,-0.015942,-0.019564,-0.010906,-0.019933,0.1765,-0.000506,0,1
233,LINEA_USDT_SWAP_022519,LINEA_USDT_SWAP,22519,2026-04-24 03:45:00+00:00,0.6395,1,0.004563,0.998,,,images/train/LINEA_USDT_SWAP_022519.png,1,pass,-0.002748,-0.002773,-0.00452,-0.002095,-0.009212,0.28,-0.000449,0,1
234,GAS_USDT_SWAP_016659,GAS_USDT_SWAP,16659,2025-11-24 04:15:00+00:00,0.5728,1,0.004577,0.9986,,,images/train/GAS_USDT_SWAP_016659.png,0,bull_stack,-0.00741,-0.006754,-0.003892,-0.011726,0.0,0.1915,0.001002,1,0
235,GAS_USDT_SWAP_006599,GAS_USDT_SWAP,6599,2025-08-11 09:15:00+00:00,0.6454,1,0.004582,0.997,,,images/train/GAS_USDT_SWAP_006599.png,1,pass,-0.002266,-0.00367,-0.00445,0.001188,-0.008527,0.284,-0.001692,0,1
236,KAT_USDT_SWAP_003759,KAT_USDT_SWAP,3759,2026-04-10 15:15:00+00:00,0.6228,1,0.004589,0.9974,,,images/train/KAT_USDT_SWAP_003759.png,1,pass,-0.003664,-0.006514,-0.008744,0.00117,-0.009259,0.4074,-0.002275,0,1
237,APE_USDT_SWAP_019339,APE_USDT_SWAP,19339,2025-12-21 01:30:00+00:00,0.5201,1,0.004591,0.9981,,,images/train/APE_USDT_SWAP_019339.png,1,pass,-0.007652,-0.007838,-0.004908,-0.006317,-0.011122,0.0345,-6.5e-05,0,0
238,NOT_USDT_SWAP_012359,NOT_USDT_SWAP,12359,2025-10-10 10:30:00+00:00,0.5772,1,0.004603,0.9971,,,images/train/NOT_USDT_SWAP_012359.png,0,ret12_pos,0.003798,0.003949,0.001843,0.004484,0.010961,0.5,-0.000939,0,0
239,LA_USDT_SWAP_025439,LA_USDT_SWAP,25439,2026-03-05 09:45:00+00:00,0.5386,1,0.004614,0.9971,,,images/train/LA_USDT_SWAP_025439.png,0,ret12_pos,0.006854,0.007339,0.006984,0.006123,0.015209,0.8113,0.000656,0,0
240,IOST_USDT_SWAP_008739,IOST_USDT_SWAP,8739,2025-09-02 16:45:00+00:00,0.567,1,0.004615,0.9982,,,images/train/IOST_USDT_SWAP_008739.png,1,pass,-0.000559,-0.002002,-0.004819,0.008254,-0.009975,0.5155,-0.000273,0,1
241,WLFI_USDT_SWAP_008459,WLFI_USDT_SWAP,8459,2025-11-19 15:45:00+00:00,0.7177,1,0.004626,0.998,,,images/train/WLFI_USDT_SWAP_008459.png,1,pass,-0.026671,-0.032042,-0.03392,-0.030108,-0.035638,0.0156,-0.003853,0,1
242,COMP_USDT_SWAP_017039,COMP_USDT_SWAP,17039,2025-11-28 02:30:00+00:00,0.814,1,0.004629,0.9978,,,images/train/COMP_USDT_SWAP_017039.png,1,pass,-0.006695,-0.010944,-0.010778,-0.003324,-0.007285,0.0694,-0.003066,0,0
243,LIGHT_USDT_SWAP_007979,LIGHT_USDT_SWAP,7979,2026-03-09 10:45:00+00:00,0.3349,1,0.004635,0.9973,,,images/train/LIGHT_USDT_SWAP_007979.png,0,ret12_pos,0.005755,0.007169,0.004447,0.008666,0.007501,0.7333,0.00078,0,0
244,PI_USDT_SWAP_012959,PI_USDT_SWAP,12959,2025-10-15 15:30:00+00:00,0.7859,1,0.004645,0.9968,,,images/train/PI_USDT_SWAP_012959.png,1,pass,-0.014533,-0.020292,-0.022093,-0.009461,-0.01644,0.0946,-0.004202,0,1
245,ORDER_USDT_SWAP_008919,ORDER_USDT_SWAP,8919,2026-01-01 13:00:00+00:00,0.4381,1,0.004646,0.9975,,,images/train/ORDER_USDT_SWAP_008919.png,1,pass,-0.003334,-0.001619,-0.003529,-0.0045,-0.003515,0.0889,0.001218,0,0
246,BZ_USDT_SWAP_000699,BZ_USDT_SWAP,699,2026-03-31 16:45:00+00:00,0.5511,1,0.004646,0.9976,,,images/train/BZ_USDT_SWAP_000699.png,1,pass,-0.019511,-0.023076,-0.025313,-0.024215,-0.018198,0.3757,-0.0021,0,1
247,ZIL_USDT_SWAP_018559,ZIL_USDT_SWAP,18559,2025-12-14 01:45:00+00:00,0.6519,1,0.004649,0.9975,,,images/train/ZIL_USDT_SWAP_018559.png,0,ret12_pos,0.000363,-0.000446,-0.001014,0.001515,0.002085,0.7719,-0.000308,0,1
248,ASTER_USDT_SWAP_014899,ASTER_USDT_SWAP,14899,2026-02-24 09:45:00+00:00,0.5809,2,0.004653,0.9973,,,images/train/ASTER_USDT_SWAP_014899.png,1,pass,-0.001278,-0.002574,-0.004591,-0.000433,-0.00216,0.5804,-0.000664,0,1
249,CFX_USDT_SWAP_022959,CFX_USDT_SWAP,22959,2026-01-27 18:45:00+00:00,0.3126,1,0.004676,0.9995,,,images/train/CFX_USDT_SWAP_022959.png,0,ret12_pos,0.008837,0.007859,0.005308,0.016797,0.005935,0.7083,0.000465,0,1
250,BRETT_USDT_SWAP_008179,BRETT_USDT_SWAP,8179,2025-08-27 19:15:00+00:00,0.3832,2,0.004683,0.9972,,,images/train/BRETT_USDT_SWAP_008179.png,0,bull_stack,-0.008807,-0.007584,-0.006668,-0.015339,-0.008711,0.3098,0.000808,1,0
251,LRC_USDT_SWAP_005139,LRC_USDT_SWAP,5139,2025-07-27 05:00:00+00:00,0.7241,1,0.004683,0.9971,,,images/train/LRC_USDT_SWAP_005139.png,0,bull_stack,0.004022,0.005912,0.006327,0.005983,0.004781,0.8032,0.001763,1,0
252,KITE_USDT_SWAP_002359,KITE_USDT_SWAP,2359,2026-05-03 16:45:00+00:00,0.5679,1,0.004688,0.9981,,,images/train/KITE_USDT_SWAP_002359.png,0,ret12_pos,0.00194,-5.5e-05,0.001018,0.007388,0.000667,0.4615,-0.00171,0,0
253,XTZ_USDT_SWAP_028839,XTZ_USDT_SWAP,28839,2026-03-31 03:45:00+00:00,0.7635,1,0.004691,0.9967,,,images/train/XTZ_USDT_SWAP_028839.png,1,pass,-0.008257,-0.009122,-0.00809,-0.008656,-0.018286,0.086,-7.5e-05,0,0
254,BICO_USDT_SWAP_031059,BICO_USDT_SWAP,31059,2026-04-23 03:00:00+00:00,0.7369,1,0.004694,0.998,,,images/train/BICO_USDT_SWAP_031059.png,1,pass,-0.011669,-0.017093,-0.017437,-0.007261,-0.005657,0.0571,-0.004615,0,1
255,ARB_USDT_SWAP_019959,ARB_USDT_SWAP,19959,2025-12-27 12:30:00+00:00,0.5903,2,0.004708,0.9973,,,images/train/ARB_USDT_SWAP_019959.png,0,bull_stack,0.003318,0.003691,0.006563,0.003644,0.004167,0.931,-0.000374,1,0
256,PENGU_USDT_SWAP_016019,PENGU_USDT_SWAP,16019,2025-11-16 12:15:00+00:00,0.8098,1,0.004708,0.9962,,,images/train/PENGU_USDT_SWAP_016019.png,1,pass,-0.009066,-0.012785,-0.015961,0.000309,-0.013934,0.2443,-0.001776,0,1
257,UMA_USDT_SWAP_031779,UMA_USDT_SWAP,31779,2026-04-30 18:30:00+00:00,0.3722,2,0.004713,0.9974,,,images/train/UMA_USDT_SWAP_031779.png,1,pass,-0.001458,-0.002128,-0.004944,-0.001108,-0.000887,0.3095,-0.000391,0,1
258,ENA_USDT_SWAP_015079,ENA_USDT_SWAP,15079,2026-02-21 09:15:00+00:00,0.3067,1,0.004714,0.9977,,,images/train/ENA_USDT_SWAP_015079.png,0,ret12_pos,0.014329,0.01405,0.011787,0.020018,0.017241,0.875,-0.001113,0,1
259,ZKP_USDT_SWAP_001579,ZKP_USDT_SWAP,1579,2026-01-24 00:30:00+00:00,0.4219,1,0.004723,0.9987,,,images/train/ZKP_USDT_SWAP_001579.png,0,ret12_pos,-0.007136,-0.009316,-0.009793,-0.014382,0.006045,0.3,-0.001091,0,1
260,RSR_USDT_SWAP_000479,RSR_USDT_SWAP,479,2025-06-08 17:00:00+00:00,0.3553,1,0.004735,0.9972,,,images/train/RSR_USDT_SWAP_000479.png,0,bull_stack,0.008222,0.009246,0.010037,0.006317,0.011817,0.8041,0.00089,1,0
261,A_USDT_SWAP_024159,A_USDT_SWAP,24159,2026-02-10 05:00:00+00:00,0.7542,1,0.004741,0.9964,,,images/train/A_USDT_SWAP_024159.png,1,pass,-0.001933,-0.00432,-0.006538,0.001469,-0.007761,0.4648,-0.002829,0,1
262,FIL_USDT_SWAP_030419,FIL_USDT_SWAP,30419,2026-04-15 12:00:00+00:00,0.3337,1,0.004745,0.9972,,,images/train/FIL_USDT_SWAP_030419.png,0,bull_stack,0.006757,0.010153,0.012028,0.003103,0.009817,0.6786,0.001891,1,0
263,TRUTH_USDT_SWAP_009719,TRUTH_USDT_SWAP,9719,2026-03-09 17:15:00+00:00,0.6572,1,0.004747,0.9966,,,images/train/TRUTH_USDT_SWAP_009719.png,0,ret12_pos,0.002285,0.004061,0.002445,-0.006193,0.005293,0.6583,0.001707,0,0
264,APT_USDT_SWAP_002719,APT_USDT_SWAP,2719,2025-06-30 22:30:00+00:00,0.3312,1,0.004748,0.9983,,,images/train/APT_USDT_SWAP_002719.png,0,bull_stack,0.005425,0.010219,0.011831,0.00204,0.009244,0.8345,0.004685,1,0
265,LINK_USDT_SWAP_021179,LINK_USDT_SWAP,21179,2026-01-09 06:15:00+00:00,0.416,1,0.004759,0.9969,,,images/train/LINK_USDT_SWAP_021179.png,0,ret12_pos,0.000482,0.000206,-0.003245,0.003561,0.001512,0.4387,-0.000199,0,1
266,AEVO_USDT_SWAP_022539,AEVO_USDT_SWAP,22539,2026-01-24 08:15:00+00:00,0.6653,1,0.004767,0.9968,,,images/train/AEVO_USDT_SWAP_022539.png,0,ret12_pos,0.004195,0.007075,0.005355,-0.000267,0.011609,0.8305,0.002103,0,0
267,GAS_USDT_SWAP_016039,GAS_USDT_SWAP,16039,2025-11-17 17:15:00+00:00,0.488,1,0.004773,0.998,,,images/train/GAS_USDT_SWAP_016039.png,0,ret12_pos,-0.005137,-0.007461,-0.010276,-0.002164,0.002609,0.3301,-0.001348,0,1
268,TIA_USDT_SWAP_008839,TIA_USDT_SWAP,8839,2025-09-02 17:30:00+00:00,0.51,1,0.004776,0.9968,,,images/train/TIA_USDT_SWAP_008839.png,0,above_ema60,0.003154,0.003049,0.001398,0.006365,-0.00566,0.5469,-0.000979,0,1
269,ARB_USDT_SWAP_026499,ARB_USDT_SWAP,26499,2026-03-05 15:30:00+00:00,0.3741,1,0.00478,0.9997,,,images/train/ARB_USDT_SWAP_026499.png,0,bull_stack,-0.002861,-0.001346,0.000482,-0.006887,-0.006792,0.2923,0.001189,1,0
270,APE_USDT_SWAP_027419,APE_USDT_SWAP,27419,2026-03-15 05:30:00+00:00,0.4927,1,0.004787,0.9977,,,images/train/APE_USDT_SWAP_027419.png,0,above_ema60,0.001244,0.002483,-0.000382,0.00177,-0.006813,0.4976,0.001474,0,0
271,SOON_USDT_SWAP_009059,SOON_USDT_SWAP,9059,2025-09-06 02:00:00+00:00,0.4927,1,0.004788,0.997,,,images/train/SOON_USDT_SWAP_009059.png,0,bull_stack,0.010852,0.013217,0.015668,-0.001948,0.028162,0.8192,0.002517,1,0
272,DOOD_USDT_SWAP_001559,DOOD_USDT_SWAP,1559,2025-06-19 20:45:00+00:00,0.5144,1,0.00479,0.9963,,,images/train/DOOD_USDT_SWAP_001559.png,1,pass,-0.005807,-0.007757,-0.008841,-0.007489,-0.00358,0.3902,-0.000672,0,1
273,TAO_USDT_SWAP_005159,TAO_USDT_SWAP,5159,2025-07-27 11:15:00+00:00,0.5098,1,0.004794,0.9995,,,images/train/TAO_USDT_SWAP_005159.png,0,ret12_pos,0.004029,0.000969,0.002348,0.009896,0.003042,0.6273,-0.003121,0,0
274,ATOM_USDT_SWAP_029339,ATOM_USDT_SWAP,29339,2026-04-04 05:30:00+00:00,0.7134,1,0.004796,0.997,,,images/train/ATOM_USDT_SWAP_029339.png,0,ret12_pos,0.000652,-0.000126,0.001695,-0.001769,0.002368,0.7368,-0.000143,0,0
275,SPX_USDT_SWAP_024719,SPX_USDT_SWAP,24719,2026-03-31 16:45:00+00:00,0.6219,1,0.004802,0.9969,,,images/train/SPX_USDT_SWAP_024719.png,0,ret12_pos,0.013272,0.014125,0.011655,0.02711,0.002983,0.7885,0.001283,0,0
276,NEO_USDT_SWAP_014219,NEO_USDT_SWAP,14219,2025-10-29 19:15:00+00:00,0.4416,2,0.004803,0.9985,,,images/train/NEO_USDT_SWAP_014219.png,0,ret12_pos,0.011952,0.014775,0.01316,0.005563,0.018062,0.9095,0.001434,0,0
277,ORDI_USDT_SWAP_010959,ORDI_USDT_SWAP,10959,2025-09-24 19:15:00+00:00,0.4691,1,0.004812,0.9974,,,images/train/ORDI_USDT_SWAP_010959.png,1,pass,-0.002881,-0.00422,-0.007232,-0.002482,-0.001774,0.1381,-0.001385,0,1
278,APT_USDT_SWAP_004339,APT_USDT_SWAP,4339,2025-07-17 19:30:00+00:00,0.3973,1,0.004813,0.9967,,,images/train/APT_USDT_SWAP_004339.png,0,bull_stack,0.003802,0.006025,0.009627,0.002677,0.012358,0.7857,0.001175,1,0
279,XTZ_USDT_SWAP_028279,XTZ_USDT_SWAP,28279,2026-03-25 07:45:00+00:00,0.7934,1,0.004815,0.9968,,,images/train/XTZ_USDT_SWAP_028279.png,1,pass,-0.003203,-0.00703,-0.005126,0.002808,-0.00758,0.1928,-0.003183,0,0
280,LIGHT_USDT_SWAP_010619,LIGHT_USDT_SWAP,10619,2026-04-05 22:45:00+00:00,0.7024,1,0.004821,0.9989,,,images/train/LIGHT_USDT_SWAP_010619.png,0,above_ema60,0.001636,0.001515,0.003642,0.010468,-0.004851,0.4894,0.000248,0,0
281,PIEVERSE_USDT_SWAP_012659,PIEVERSE_USDT_SWAP,12659,2026-03-28 00:15:00+00:00,0.8119,1,0.004826,0.9963,,,images/train/PIEVERSE_USDT_SWAP_012659.png,1,pass,-0.010005,-0.014179,-0.013193,-0.004518,-0.027941,0.2376,-0.003055,0,0
282,DOGE_USDT_SWAP_002439,DOGE_USDT_SWAP,2439,2025-06-28 00:45:00+00:00,0.6083,1,0.004826,0.9968,,,images/train/DOGE_USDT_SWAP_002439.png,0,ret12_pos,0.001319,0.002967,0.000901,-0.000559,0.000498,0.8364,0.001784,0,0
283,ETH_USDT_SWAP_017239,ETH_USDT_SWAP,17239,2025-11-28 02:30:00+00:00,0.6354,1,0.00484,0.9972,,,images/train/ETH_USDT_SWAP_017239.png,1,pass,-0.002174,-0.004151,-0.001971,0.000203,-0.004082,0.2154,-0.00175,0,0
284,NIGHT_USDT_SWAP_013519,NIGHT_USDT_SWAP,13519,2026-04-29 07:15:00+00:00,0.703,1,0.004842,0.9972,,,images/train/NIGHT_USDT_SWAP_013519.png,1,pass,-0.004991,-0.005067,-0.007374,-0.004108,-0.008182,0.1224,-5e-05,0,1
285,CRV_USDT_SWAP_028779,CRV_USDT_SWAP,28779,2026-03-29 09:45:00+00:00,0.5271,1,0.004844,0.9975,,,images/train/CRV_USDT_SWAP_028779.png,1,pass,-0.001245,-0.002764,-0.006104,-0.000473,-0.001419,0.4,-0.000765,0,1
286,IOST_USDT_SWAP_018899,IOST_USDT_SWAP,18899,2025-12-17 12:45:00+00:00,0.3756,1,0.00485,0.9965,,,images/train/IOST_USDT_SWAP_018899.png,0,ret12_pos,4.6e-05,-0.001683,-0.004196,-0.000649,0.001953,0.5,-0.000949,0,1
287,XPT_USDT_SWAP_005819,XPT_USDT_SWAP,5819,2026-04-03 21:15:00+00:00,0.5958,1,0.004864,0.997,,,images/train/XPT_USDT_SWAP_005819.png,0,bull_stack,-7.4e-05,0.000716,0.004187,0.000311,-0.000456,0.43,0.00038,1,0
288,RESOLV_USDT_SWAP_024979,RESOLV_USDT_SWAP,24979,2026-02-25 19:15:00+00:00,0.4546,1,0.004867,0.9977,,,images/train/RESOLV_USDT_SWAP_024979.png,0,bull_stack,0.004837,0.005499,0.008043,0.004004,0.011202,0.7118,0.000818,1,0
289,ZORA_USDT_SWAP_014439,ZORA_USDT_SWAP,14439,2026-03-09 21:15:00+00:00,0.677,1,0.004876,0.998,,,images/train/ZORA_USDT_SWAP_014439.png,1,pass,0.002099,-0.000219,-0.001119,0.013158,-0.001128,0.6842,-0.001908,0,1
290,MMT_USDT_SWAP_006399,MMT_USDT_SWAP,6399,2026-01-10 04:15:00+00:00,0.6857,1,0.004908,0.9969,,,images/train/MMT_USDT_SWAP_006399.png,1,pass,-0.015588,-0.020024,-0.020504,-0.013264,-0.020742,0.0247,-0.002831,0,1
291,ATOM_USDT_SWAP_018239,ATOM_USDT_SWAP,18239,2025-12-09 14:30:00+00:00,0.5144,2,0.004908,0.9974,,,images/train/ATOM_USDT_SWAP_018239.png,0,bull_stack,0.001494,0.004665,0.005278,-0.000892,0.006745,0.6607,0.003283,1,0
292,BARD_USDT_SWAP_019879,BARD_USDT_SWAP,19879,2026-04-13 13:45:00+00:00,0.6771,1,0.00491,0.9984,,,images/train/BARD_USDT_SWAP_019879.png,1,pass,-0.000758,-0.002066,-0.00158,0.000303,-0.004529,0.5278,-0.001345,0,0
293,BRETT_USDT_SWAP_019779,BRETT_USDT_SWAP,19779,2025-12-26 15:15:00+00:00,0.7103,1,0.004911,0.9982,,,images/train/BRETT_USDT_SWAP_019779.png,1,pass,-0.021275,-0.023731,-0.02198,-0.030717,-0.022039,0.1692,-0.0009,0,0
294,BARD_USDT_SWAP_017299,BARD_USDT_SWAP,17299,2026-03-17 16:45:00+00:00,0.3717,1,0.004915,0.9969,,,images/train/BARD_USDT_SWAP_017299.png,1,pass,-0.00143,-0.003366,-0.004908,-0.000465,-0.001487,0.3619,-0.001231,0,1
295,GMX_USDT_SWAP_019199,GMX_USDT_SWAP,19199,2025-12-20 15:30:00+00:00,0.6631,1,0.00492,0.9966,,,images/train/GMX_USDT_SWAP_019199.png,0,bull_stack,-3.7e-05,0.000296,0.003277,0.000744,-0.001485,0.5,-0.000338,1,0
296,FLOW_USDT_SWAP_026439,FLOW_USDT_SWAP,26439,2026-03-06 01:15:00+00:00,0.3684,1,0.004922,0.992,,,images/train/FLOW_USDT_SWAP_026439.png,0,ret12_pos,0.011956,0.012125,0.009357,0.016672,0.016672,0.8875,1e-05,0,0
297,TRB_USDT_SWAP_016859,TRB_USDT_SWAP,16859,2025-11-26 08:15:00+00:00,0.5174,1,0.004922,0.9992,,,images/train/TRB_USDT_SWAP_016859.png,1,pass,-0.004809,-0.00496,-0.001987,-0.007143,-0.002869,0.2581,3.7e-05,0,0
298,DYDX_USDT_SWAP_029799,DYDX_USDT_SWAP,29799,2026-04-10 00:45:00+00:00,0.7628,1,0.004926,0.9966,,,images/train/DYDX_USDT_SWAP_029799.png,1,pass,-0.012971,-0.020935,-0.023652,0.000832,-0.022743,0.1881,-0.005295,0,1
299,INIT_USDT_SWAP_013199,INIT_USDT_SWAP,13199,2025-10-19 03:45:00+00:00,0.362,1,0.004927,0.9981,,,images/train/INIT_USDT_SWAP_013199.png,0,bull_stack,0.012848,0.014505,0.0157,0.017153,0.02124,0.9583,0.00138,1,0
300,LAYER_USDT_SWAP_022919,LAYER_USDT_SWAP,22919,2026-01-28 09:45:00+00:00,0.5926,1,0.004936,0.997,,,images/train/LAYER_USDT_SWAP_022919.png,0,ret12_pos,0.0037,0.00525,0.002831,0.001429,0.006461,0.5926,0.001529,0,0
301,ARB_USDT_SWAP_026199,ARB_USDT_SWAP,26199,2026-03-02 12:30:00+00:00,0.4127,1,0.004939,0.9978,,,images/train/ARB_USDT_SWAP_026199.png,0,bull_stack,0.000964,0.001392,0.003806,-0.00179,-0.001293,0.764,0.000277,1,0
302,PENGU_USDT_SWAP_003099,PENGU_USDT_SWAP,3099,2025-07-04 22:15:00+00:00,0.4093,1,0.004939,0.9965,,,images/train/PENGU_USDT_SWAP_003099.png,0,bull_stack,0.025263,0.02817,0.033258,0.029282,0.040342,0.915,0.002325,1,0
303,PENGU_USDT_SWAP_024979,PENGU_USDT_SWAP,24979,2026-02-17 20:15:00+00:00,0.4761,1,0.004946,0.9974,,,images/train/PENGU_USDT_SWAP_024979.png,1,pass,-0.004597,-0.005746,-0.007888,-0.003787,-0.008793,0.357,-0.000475,0,1
304,BREV_USDT_SWAP_010199,BREV_USDT_SWAP,10199,2026-04-15 18:45:00+00:00,0.5169,1,0.004964,0.9966,,,images/train/BREV_USDT_SWAP_010199.png,0,bull_stack,0.000891,0.002896,0.004718,-0.000816,0.006579,0.7,0.001354,1,0
305,ADA_USDT_SWAP_014139,ADA_USDT_SWAP,14139,2025-10-27 21:30:00+00:00,0.8636,1,0.00497,0.9966,,,images/train/ADA_USDT_SWAP_014139.png,1,pass,-0.006546,-0.009889,-0.008186,-0.001938,-0.018616,0.267,-0.002617,0,0
306,MUBARAK_USDT_SWAP_026899,MUBARAK_USDT_SWAP,26899,2026-03-10 21:15:00+00:00,0.4606,1,0.004974,0.9979,,,images/train/MUBARAK_USDT_SWAP_026899.png,1,pass,-0.002571,-0.003198,-0.001011,-0.006102,-0.011463,0.3488,-0.001376,0,0
307,CRO_USDT_SWAP_016899,CRO_USDT_SWAP,16899,2025-11-26 15:45:00+00:00,0.6599,2,0.004976,0.9972,,,images/train/CRO_USDT_SWAP_016899.png,0,ret12_pos,-0.002061,-0.005124,-0.005269,0.004255,0.000461,0.3933,-0.001799,0,1
308,XLM_USDT_SWAP_006559,XLM_USDT_SWAP,6559,2025-08-09 23:45:00+00:00,0.6526,1,0.004977,0.9967,,,images/train/XLM_USDT_SWAP_006559.png,1,pass,-0.004783,-0.008812,-0.007548,0.000515,-0.009799,0.2394,-0.003071,0,0
309,TURBO_USDT_SWAP_023599,TURBO_USDT_SWAP,23599,2026-02-04 13:30:00+00:00,0.5422,1,0.004981,0.9982,,,images/train/TURBO_USDT_SWAP_023599.png,1,pass,-0.010533,-0.015325,-0.016174,-0.008143,-0.014563,0.0588,-0.003852,0,1
310,EGLD_USDT_SWAP_029239,EGLD_USDT_SWAP,29239,2026-04-04 05:00:00+00:00,0.4775,1,0.004992,0.9968,,,images/train/EGLD_USDT_SWAP_029239.png,0,ret12_pos,2e-06,-0.002359,-0.002072,0.001869,0.001334,0.4643,-0.001328,0,0
311,SOL_USDT_SWAP_015999,SOL_USDT_SWAP,15999,2025-11-16 07:30:00+00:00,0.5313,1,0.004997,0.9981,,,images/train/SOL_USDT_SWAP_015999.png,0,ret12_pos,0.003124,0.005308,0.002657,-0.001269,0.005678,0.9072,0.002401,0,0
312,FLOKI_USDT_SWAP_018719,FLOKI_USDT_SWAP,18719,2025-12-15 15:15:00+00:00,0.7322,1,0.004998,0.9976,,,images/train/FLOKI_USDT_SWAP_018719.png,1,pass,-0.035266,-0.040987,-0.044373,-0.045063,-0.042101,0.0598,-0.003796,0,1
313,ZETA_USDT_SWAP_010499,ZETA_USDT_SWAP,10499,2025-09-21 02:45:00+00:00,0.4562,1,0.004999,0.9997,,,images/train/ZETA_USDT_SWAP_010499.png,0,bull_stack,0.001732,0.00188,0.001882,0.004712,0.001043,0.7692,2.3e-05,1,0
314,AGLD_USDT_SWAP_027899,AGLD_USDT_SWAP,27899,2026-03-21 04:15:00+00:00,0.4035,2,0.005003,0.9969,,,images/train/AGLD_USDT_SWAP_027899.png,0,bull_stack,-0.002865,-0.000781,0.001536,-0.008104,-0.001631,0.2745,0.001351,1,0
315,AERO_USDT_SWAP_028879,AERO_USDT_SWAP,28879,2026-04-30 02:00:00+00:00,0.3538,1,0.005019,0.9973,,,images/train/AERO_USDT_SWAP_028879.png,0,bull_stack,-0.003935,-0.003531,-0.002403,-0.004679,-0.013699,0.4063,0.000419,1,0
316,METIS_USDT_SWAP_016639,METIS_USDT_SWAP,16639,2025-11-24 00:15:00+00:00,0.7838,1,0.005027,0.9968,,,images/train/METIS_USDT_SWAP_016639.png,1,pass,-0.007562,-0.012186,-0.013418,-0.003361,-0.016174,0.2596,-0.003052,0,1
317,CRWV_USDT_SWAP_000859,CRWV_USDT_SWAP,859,2026-04-19 10:45:00+00:00,0.5727,1,0.00503,0.997,,,images/train/CRWV_USDT_SWAP_000859.png,1,pass,0.000357,-0.001639,-0.005165,0.005614,-0.005293,0.2462,-0.001797,0,1
