timeframe,symbol,n,symbols,wins,losses,win_pct,mean_r,median_r,sum_r,gross_r,mean_bp,median_bp,sum_bp,gross_bp,avg_win_r,avg_loss_r,payoff_r,breakeven_win_pct_r,pf_r,avg_win_bp,avg_loss_bp,payoff_bp,pf_bp,mean_hold_h,median_hold_h,median_risk_pct,median_delay,mfe_ge1,mfe_ge2,loss_mfe_lt1,loss_mfe_ge1,loss_mfe_ge2,loss_mfe_ge3,loss_mfe_ge5,matched_n,matched_pct,paired_actual_r,random_r,excess_r,paired_actual_bp,random_bp,excess_bp,excess_blocks,excess_mean_ci_low,excess_mean_ci_high,excess_p_month_signflip
15m,XTZUSDT,9,1,2,7,22.22222222222222,-0.6582081182597488,-1.137142857142858,-5.923873064337739,-0.5252109468339323,-55.88691025857467,-159.925373134327,-502.9821923271721,-35.88691025857467,1.0112617607526826,1.1351995122633005,0.8908229344958778,52.88702510193611,0.25452083842739365,348.5026098303595,171.42677314112728,2.032953216376851,0.5808437761076718,11.36111111111111,8.25,1.438127090301,22.0,3,2,6,1,0,0,0,9,100.0,-0.6582081182597488,-0.13675956502057837,-0.5214485532391703,-55.88691025857467,-33.975031255537885,-21.911879003036777,7,-2.2601134958400713,0.4775931083288713,0.504247876061969
15m,ZECUSDT,10,1,2,8,20.0,-0.15889906561547845,-1.102125390399077,-1.5889906561547846,-0.061088147690233185,59.11457730639378,-201.51179179595852,591.1457730639378,79.11457730639377,3.6374996005207736,1.1079987321495415,3.2829456343004524,23.348416846372913,0.8207364085751131,1306.3389256798494,252.69150978697013,5.16969852600568,1.29242463150142,13.025,5.875,1.962305170186485,18.0,4,2,6,2,0,0,0,10,100.0,-0.15889906561547845,0.11534828002749915,-0.2742473456429777,59.11457730639378,8.537358094834302,50.57721921155951,10,-2.1501830132938697,1.4121582941227815,0.6466766616691654
15m,ZENUSDT,21,1,7,14,33.33333333333333,-0.029537011065168633,-0.9675535714285668,-0.6202772323685413,0.06947001302973349,-55.29937561773805,-141.04646622413,-1161.286887972499,-35.29937561773805,1.8163720968748753,0.9524915650351906,1.9069692200452903,34.40008903790251,0.9534846100226451,320.7735231280977,243.3358249906559,1.318233857018034,0.6591169285090172,12.464285714285714,10.5,2.12842712842711,2.0,9,8,12,2,1,0,0,21,100.0,-0.029537011065168633,-0.221161247509295,0.19162423644412646,-55.29937561773805,-22.135126779325294,-33.164248838412746,11,-0.6051555327895652,1.3705046660980311,0.4237881059470265
1h,1000PEPEUSDT,9,1,3,6,33.33333333333333,-0.34105241935044517,-1.0314213675213668,-3.0694717741540067,-0.2862481170782386,-230.88897568254853,-384.17541453804404,-2078.000781142937,-210.88897568254856,1.0748869981848135,1.0490221281180745,1.024656172041995,49.39110224287791,0.5123280860209976,382.34870551864634,537.507816283146,0.7113360846779471,0.35566804233897353,50.22222222222222,57.0,4.36606587942821,2.0,5,4,4,2,1,0,0,9,100.0,-0.34105241935044517,-1.0676500508141442,0.726597631463699,-230.88897568254853,-333.1367334144908,102.2477577319422,9,0.024732556458213307,1.4438807156151507,0.025987006496751622
1h,AAVEUSDT,3,1,1,2,33.33333333333333,0.7565236835928392,-0.375784053156147,2.2695710507785174,0.8268337168606482,229.7341208335677,-189.935566097853,689.2023625007031,249.7341208335677,3.763046770601332,0.7467378599114075,5.0393142930342085,16.558171200882985,2.5196571465171043,1149.706042460534,230.25183997991553,4.993254527567818,2.496627263783909,56.666666666666664,29.0,3.05525313010343,1.0,1,1,2,0,0,0,0,3,100.0,0.7565236835928392,-0.6746482192800456,1.4311719028728849,229.7341208335677,-118.70501589646533,348.4391367300331,3,-0.557638067754686,4.84512988748445,0.37181409295352325
1h,AEROUSDT,3,1,1,2,33.33333333333333,2.090899123883833,-1.049274576271186,6.272697371651498,2.1403508771929856,1084.274441269981,-366.891914056093,3252.8233238099433,1104.274441269981,8.379626794258382,1.0534647113034419,7.9543497796811335,11.16775672834628,3.9771748898405668,4045.604065604065,396.39037089706096,10.206110850898224,5.103055425449112,61.0,65.0,4.058888277380291,8.0,2,1,1,1,0,0,0,3,100.0,2.090899123883833,5.490417295531188,-3.399518171647355,1084.274441269981,1753.5502846756324,-669.2758434056514,3,-7.446026749048717,-0.45463249996698146,1.0
1h,API3USDT,4,1,2,2,50.0,-0.08010852293424259,-0.44048059727035427,-0.32043409173697035,0.00544853455400901,39.00257004705626,-47.21860355448099,156.01028018822504,59.00257004705626,0.9489234153474491,1.1091404612159343,0.855548461650347,53.89242160296843,0.855548461650347,307.8588310359775,229.853690941865,1.3393686643641571,1.3393686643641571,65.5,56.5,3.025914668857485,4.5,3,3,1,1,1,0,0,4,100.0,-0.08010852293424259,-0.6530989751696503,0.5729904522354079,39.00257004705626,-131.50858088814152,170.51115093519778,4,-0.0018004715447340613,1.1477813760155495,0.25737131434282856
1h,APTUSDT,5,1,1,4,20.0,-0.5283729594493589,-1.0755483415666924,-2.6418647972467943,-0.4296836982968403,-145.5670350413978,-205.97309909415202,-727.835175206989,-125.56703504139782,1.7337858880778452,1.09391267133116,1.5849399440341398,38.685618298712505,0.39623498600853496,294.371875903662,255.55176277766273,1.1519070449917963,0.2879767612479491,26.4,25.0,1.8597309909415198,8.0,2,1,3,1,0,0,0,5,100.0,-0.5283729594493589,-0.8589366314165755,0.3305636719672166,-145.5670350413978,-181.4971364029572,35.93010136155939,4,-0.514062978230828,2.1267905378130005,0.3743128435782109
1h,ARBUSDT,9,1,2,7,22.22222222222222,-0.3925366712869419,-1.0506026457618824,-3.532830041582477,-0.3351606275102012,-122.58103296054774,-328.605341246289,-1103.2292966449297,-102.58103296054777,1.9364559197728728,1.0579631258754603,1.8303623939354816,35.33116473504118,0.5229606839815661,926.5302289911226,422.32710780388214,2.1938687142511806,0.6268196326431944,36.888888888888886,22.0,3.69418960244647,7.0,5,3,4,3,1,0,0,9,100.0,-0.3925366712869419,-0.3161986366616661,-0.07633803462527577,-122.58103296054774,-87.51365435237166,-35.06737860817614,7,-1.4980099386557912,1.6847705352203681,0.5157421289355323
1h,ARUSDT,6,1,2,4,33.33333333333333,-0.31106652673540397,-1.042737009455276,-1.8663991604124237,-0.26477858713161145,-60.02257183148035,-351.3271039712885,-360.1354309888821,-40.02257183148034,1.1703854843121573,1.0517925322591846,1.1127531793729724,47.33160549765601,0.5563765896864862,662.4853139756356,421.2765147350383,1.5725664517337394,0.7862832258668697,45.333333333333336,39.0,4.712259254987875,51.0,4,2,2,2,0,0,0,6,100.0,-0.31106652673540397,0.03901923826079826,-0.3500857649962023,-60.02257183148035,59.99865140832,-120.02122323980036,6,-2.5184564464534653,1.4477436042641234,0.5112443778110944
1h,BOMEUSDT,6,1,2,4,33.33333333333333,0.4139972382448926,-0.7584603502016859,2.4839834294693555,0.4679863602725807,82.73775328576282,-278.6042551657595,496.4265197145769,102.73775328576284,3.0643366582938736,0.9111724717795979,3.3630698393564957,22.919642289005594,1.6815349196782479,981.2198147242475,366.5032774334795,2.6772470401778037,1.3386235200889018,51.5,37.5,4.34402299701199,20.0,3,2,3,1,0,0,0,6,100.0,0.4139972382448926,0.3984491708822007,0.015548067362691875,82.73775328576282,2.043466245090139,80.69428704067268,6,-0.7491426447620789,0.689879863564045,0.48825587206396803
1h,BTCUSDT,4,1,2,2,50.0,0.6309763099739858,0.5601539351720117,2.523905239895943,0.8392277773000948,72.2344084256865,60.29289318174151,288.937633702746,92.2344084256865,2.4891831903863997,1.227230570438428,2.02829301220645,33.021903625877606,2.02829301220645,276.7661102060385,132.2972933546655,2.092001303942612,2.092001303942612,38.25,36.0,1.092282466927395,11.5,2,2,2,0,0,0,0,4,100.0,0.6309763099739858,0.4034084381364821,0.22756787183750365,72.2344084256865,26.636325230384003,45.598083195302486,4,-0.4502394242625159,1.0055024733339566,0.367816091954023
1h,DASHUSDT,1,1,0,1,0.0,-1.047836956521738,-1.047836956521738,-1.047836956521738,-0.9999999999999988,-438.086798454895,-438.086798454895,-438.086798454895,-418.086798454895,,1.047836956521738,,,0.0,,438.086798454895,,0.0,16.0,16.0,4.18086798454895,5.0,0,0,1,0,0,0,0,1,100.0,-1.047836956521738,-1.0277965451055668,-0.02004041141617119,-438.086798454895,-739.5138792984391,301.42708084354405,1,,,
1h,ENAUSDT,5,1,2,3,40.0,0.4151693626815683,-1.0416280417149475,2.0758468134078414,0.46719988158501263,285.31147178815576,-294.848746758857,1426.5573589407788,305.31147178815576,2.6194357550032827,1.054341565532908,2.4844280455540146,28.699114658888092,1.6562853637026764,1326.5628303957849,408.8561006169303,3.2445714479840473,2.163047631989365,60.4,53.0,4.11274182788525,8.0,4,3,1,2,1,0,0,5,100.0,0.4151693626815683,-0.7651370748987958,1.1803064375803638,285.31147178815576,-273.6731449152014,558.9846167033571,5,-0.18673560746054982,3.075724084753066,0.1664167916041979
1h,ETHUSDT,2,1,0,2,0.0,-1.0246524251336737,-1.0246524251336737,-2.0493048502673474,-0.9680560966108299,-379.14136274336295,-379.14136274336295,-758.2827254867259,-359.141362743363,,1.0246524251336737,,,0.0,,379.14136274336295,,0.0,63.0,63.0,3.738813016864615,0.5,0,0,2,0,0,0,0,2,100.0,-1.0246524251336737,-1.0899612645348549,0.0653088394011811,-379.14136274336295,-280.0977551204475,-99.04360762291547,2,0.054397981780682336,0.07621969702167986,0.2543728135932034
