asset,phase,gate,threshold,events,mean_net_bp,profit_factor,win_rate,acceptance_rate,registered_result,evidence_role
XAU,selection,efficiency24_min,0.15,7,-9.301556038057859,0.6247727727374696,0.2857142857142857,0.20588235294117646,False,postmortem_sensitivity_not_validation
XAU,selection,efficiency24_min,0.2,5,0.9330424183698013,1.044966854614906,0.4,0.14705882352941177,False,postmortem_sensitivity_not_validation
XAU,selection,ma_side_flips24_max,2.0,10,-24.174818500441397,0.2538909403411774,0.2,0.29411764705882354,False,postmortem_sensitivity_not_validation
XAU,selection,ma_side_flips24_max,4.0,28,-22.232947559693642,0.23447721176187714,0.14285714285714285,0.8235294117647058,False,postmortem_sensitivity_not_validation
XAU,selection,ma_side_flips24_max,6.0,34,-22.517252897114588,0.1993976849457968,0.11764705882352941,1.0,False,postmortem_sensitivity_not_validation
XAU,audit,fee_to_risk_max,0.2,3,87.83803878760766,2.8078021791517065,0.6666666666666666,0.10714285714285714,False,postmortem_sensitivity_not_validation
XAU,audit,fee_to_risk_max,0.35,3,87.83803878760766,2.8078021791517065,0.6666666666666666,0.10714285714285714,False,postmortem_sensitivity_not_validation
XAU,audit,fee_to_risk_max,0.5,7,4.909322600270142,1.0916617670600337,0.2857142857142857,0.25,False,postmortem_sensitivity_not_validation
XAU,audit,fee_to_risk_max,0.8,20,-7.6813420804625,0.7828147820176901,0.25,0.7142857142857143,False,postmortem_sensitivity_not_validation
XAU,audit,regime_age_max,24.0,6,-8.927756643866001,0.6884364923683768,0.3333333333333333,0.21428571428571427,False,postmortem_sensitivity_not_validation
XAU,audit,regime_age_max,48.0,12,9.31826554588025,1.3454606105534275,0.3333333333333333,0.42857142857142855,False,postmortem_sensitivity_not_validation
XAU,audit,regime_age_max,96.0,15,4.750096968850331,1.1409708099882045,0.3333333333333333,0.5357142857142857,False,postmortem_sensitivity_not_validation
XAU,audit,efficiency24_min,0.1,14,-29.938781710650712,0.27342973082568217,0.21428571428571427,0.5,False,postmortem_sensitivity_not_validation
XAU,audit,efficiency24_min,0.15,7,-62.82481327049172,0.0,0.0,0.25,False,postmortem_sensitivity_not_validation
XAU,audit,efficiency24_min,0.2,4,-81.922449779218,0.0,0.0,0.14285714285714285,False,postmortem_sensitivity_not_validation
XAU,audit,ma_side_flips24_max,2.0,9,-34.99979764822845,0.298354958353171,0.3333333333333333,0.32142857142857145,False,postmortem_sensitivity_not_validation
XAU,audit,ma_side_flips24_max,4.0,22,-10.753990208746407,0.6776861913076294,0.2727272727272727,0.7857142857142857,False,postmortem_sensitivity_not_validation
XAU,audit,ma_side_flips24_max,6.0,28,-10.381415066756611,0.6872078787292708,0.25,1.0,False,postmortem_sensitivity_not_validation
XAU,confirmation,fee_to_risk_max,0.2,2,-29.102635381550506,0.6690300461321795,0.5,0.13333333333333333,False,postmortem_sensitivity_not_validation
XAU,confirmation,fee_to_risk_max,0.35,6,-63.88013404495751,0.23487412980416583,0.16666666666666666,0.4,False,postmortem_sensitivity_not_validation
XAU,confirmation,fee_to_risk_max,0.5,8,-61.3850987587625,0.19328083580375624,0.125,0.5333333333333333,False,postmortem_sensitivity_not_validation
XAU,confirmation,fee_to_risk_max,0.8,11,-58.50163574795119,0.15457334599170827,0.09090909090909091,0.7333333333333333,False,postmortem_sensitivity_not_validation
XAU,confirmation,regime_age_max,24.0,5,-53.8003672616198,0.0,0.0,0.3333333333333333,False,postmortem_sensitivity_not_validation
XAU,confirmation,regime_age_max,48.0,8,-59.511882603024006,0.0,0.0,0.5333333333333333,False,postmortem_sensitivity_not_validation
XAU,confirmation,regime_age_max,96.0,11,-56.864882480305916,0.0,0.0,0.7333333333333333,False,postmortem_sensitivity_not_validation
XAU,confirmation,efficiency24_min,0.1,9,-41.193257651214104,0.24090543624520577,0.1111111111111111,0.6,False,postmortem_sensitivity_not_validation
