event_id,mother_decision_time,before,after,difference
2023-11-22T18:00:00+00:00_L,2023-11-22 19:00:00+00:00,,,
2023-11-26T10:00:00+00:00_S,2023-11-26 11:00:00+00:00,0.0056061491210047665,0.0003387475996646794,-0.005267401521340087
2023-12-01T01:00:00+00:00_L,2023-12-01 02:00:00+00:00,0.004591981933290653,0.001351444391450888,-0.0032405375418397653
2023-12-07T08:00:00+00:00_S,2023-12-07 09:00:00+00:00,,,
2023-12-08T11:00:00+00:00_L,2023-12-08 12:00:00+00:00,-0.00025033199147435803,0.0015129366047120045,0.0017632685961863626
2023-12-16T15:00:00+00:00_L,2023-12-16 16:00:00+00:00,-0.0006749162171714547,0.0033475438862538,0.004022460103425255
2023-12-20T04:00:00+00:00_L,2023-12-20 05:00:00+00:00,-0.007804999882830823,-0.009087494416460652,-0.001282494533629829
2023-12-22T18:00:00+00:00_L,2023-12-22 19:00:00+00:00,-0.0032470019078154983,-0.00485628050077902,-0.0016092785929635216
2023-12-22T19:00:00+00:00_S,2023-12-22 20:00:00+00:00,-0.000814663334876601,-0.000814663334876601,0.0
2023-12-23T01:00:00+00:00_S,2023-12-23 02:00:00+00:00,,,
2023-12-24T05:00:00+00:00_S,2023-12-24 06:00:00+00:00,,,
2023-12-24T13:00:00+00:00_L,2023-12-24 14:00:00+00:00,-0.0008684982728098811,-0.0009874916801174325,-0.00011899340730755137
2023-12-25T21:00:00+00:00_L,2023-12-25 22:00:00+00:00,0.0013320870067992465,0.0013320870067992465,0.0
2023-12-26T05:00:00+00:00_S,2023-12-26 06:00:00+00:00,-6.902599855388792e-05,-0.0011680679904639464,-0.0010990419919100585
2024-01-03T11:00:00+00:00_S,2024-01-03 12:00:00+00:00,,,
2024-01-10T22:00:00+00:00_L,2024-01-10 23:00:00+00:00,-0.0038548903422525767,-0.0038548903422525767,0.0
2024-01-14T13:00:00+00:00_L,2024-01-14 14:00:00+00:00,,,
2024-01-14T19:00:00+00:00_S,2024-01-14 20:00:00+00:00,,,
2024-01-15T10:00:00+00:00_S,2024-01-15 11:00:00+00:00,,,
2024-01-15T14:00:00+00:00_S,2024-01-15 15:00:00+00:00,-0.004313894517517625,-0.0006789974611389749,0.00363489705637865
2024-01-20T01:00:00+00:00_L,2024-01-20 02:00:00+00:00,-0.0038738230217450673,-0.0015765546604223544,0.002297268361322713
2024-01-28T18:00:00+00:00_S,2024-01-28 19:00:00+00:00,,,
2024-01-29T15:00:00+00:00_L,2024-01-29 16:00:00+00:00,,,
2024-01-31T20:00:00+00:00_S,2024-01-31 21:00:00+00:00,-0.005414947641400232,-0.0017277897140106264,0.003687157927389606
2024-02-07T03:00:00+00:00_S,2024-02-07 04:00:00+00:00,-0.003559552710113545,-0.002172367748169498,0.001387184961944047
2024-02-12T09:00:00+00:00_S,2024-02-12 10:00:00+00:00,0.0007534097322742608,0.0011583418811172233,0.00040493214884296247
2024-02-12T14:00:00+00:00_L,2024-02-12 15:00:00+00:00,0.025100971801592098,0.025100971801592098,0.0
2024-02-16T10:00:00+00:00_L,2024-02-16 11:00:00+00:00,-0.001520719853367436,-0.0015341009764259228,-1.3381123058486821e-05
2024-02-18T14:00:00+00:00_L,2024-02-18 15:00:00+00:00,-0.0047665728430656236,-0.0031033751865745898,0.0016631976564910338
2024-02-19T17:00:00+00:00_L,2024-02-19 18:00:00+00:00,-0.007315979415808341,-0.0011989821723168426,0.0061169972434914986
2024-02-21T23:00:00+00:00_L,2024-02-22 00:00:00+00:00,,,
2024-02-25T17:00:00+00:00_L,2024-02-25 18:00:00+00:00,-0.008739782427478637,-0.008739782427478637,0.0
2024-02-29T19:00:00+00:00_L,2024-02-29 20:00:00+00:00,-0.006180145229195892,-0.005147744982295163,0.0010324002469007292
2024-03-02T20:00:00+00:00_S,2024-03-02 21:00:00+00:00,,,
2024-03-11T06:00:00+00:00_L,2024-03-11 07:00:00+00:00,0.03698409075813365,0.03562937711084613,-0.0013547136472875226
2024-03-12T16:00:00+00:00_S,2024-03-12 17:00:00+00:00,-0.014219777801933953,-0.0065732271780153395,0.007646550623918613
2024-03-14T13:00:00+00:00_S,2024-03-14 14:00:00+00:00,0.009099649399441264,-0.008360165776789698,-0.017459815176230964
2024-03-16T01:00:00+00:00_S,2024-03-16 02:00:00+00:00,0.005448355878571731,0.005902797722999731,0.0004544418444279996
2024-03-20T14:00:00+00:00_L,2024-03-20 15:00:00+00:00,-0.005284836488376003,-0.005284836488376003,0.0
2024-03-27T05:00:00+00:00_L,2024-03-27 06:00:00+00:00,0.0009558415628777945,0.0009558415628777945,0.0
2024-03-28T06:00:00+00:00_L,2024-03-28 07:00:00+00:00,-0.0008454604651724578,-0.0024062864779487896,-0.0015608260127763318
2024-03-29T07:00:00+00:00_S,2024-03-29 08:00:00+00:00,0.0019498303165548974,0.0015530901741867735,-0.0003967401423681238
2024-03-29T14:00:00+00:00_S,2024-03-29 15:00:00+00:00,,,
2024-04-01T05:00:00+00:00_S,2024-04-01 06:00:00+00:00,-0.0028986668626578282,-0.004458286025428748,-0.00155961916277092
2024-04-03T14:00:00+00:00_L,2024-04-03 15:00:00+00:00,,,
2024-04-03T19:00:00+00:00_S,2024-04-03 20:00:00+00:00,0.00136512116574609,0.00136512116574609,0.0
2024-04-05T11:00:00+00:00_S,2024-04-05 12:00:00+00:00,,,
2024-04-10T19:00:00+00:00_L,2024-04-10 20:00:00+00:00,-0.0020224397217067924,-0.0061649725943067795,-0.004142532872599987
2024-04-18T13:00:00+00:00_L,2024-04-18 14:00:00+00:00,,,
2024-04-19T01:00:00+00:00_S,2024-04-19 02:00:00+00:00,-0.00842905738605911,-0.00943567481542392,-0.001006617429364809
2024-04-21T22:00:00+00:00_L,2024-04-21 23:00:00+00:00,-0.0012356761959430402,0.0006728293411835855,0.0019085055371266257
2024-04-30T08:00:00+00:00_S,2024-04-30 09:00:00+00:00,0.010455406923307856,0.0034561388641185147,-0.006999268059189341
2024-05-06T12:00:00+00:00_S,2024-05-06 13:00:00+00:00,-0.00233444143673404,-0.0017401952920724773,0.0005942461446615628
2024-05-07T08:00:00+00:00_L,2024-05-07 09:00:00+00:00,,,
2024-05-07T11:00:00+00:00_S,2024-05-07 12:00:00+00:00,0.000640759321673734,-0.0008930837182495135,-0.0015338430399232474
2024-05-10T14:00:00+00:00_S,2024-05-10 15:00:00+00:00,0.00553608865735733,0.0020939599564323936,-0.003442128700924936
2024-05-12T08:00:00+00:00_L,2024-05-12 09:00:00+00:00,0.00623809365390319,0.004011867099721936,-0.0022262265541812543
2024-05-13T06:00:00+00:00_L,2024-05-13 07:00:00+00:00,0.01735674309676279,0.017516499406446322,0.00015975630968353277
2024-05-20T04:00:00+00:00_L,2024-05-20 05:00:00+00:00,-0.00663351730508525,0.0003452653842513551,0.0069787826893366045
2024-05-20T06:00:00+00:00_S,2024-05-20 07:00:00+00:00,-0.006591410880592674,-0.004377621578769716,0.002213789301822958
2024-05-23T11:00:00+00:00_L,2024-05-23 12:00:00+00:00,0.0003551038212654678,0.0003551038212654678,0.0
2024-05-26T13:00:00+00:00_L,2024-05-26 14:00:00+00:00,0.001150377802095,0.001150377802095,0.0
2024-05-30T06:00:00+00:00_S,2024-05-30 07:00:00+00:00,-0.0004284639191846444,0.0004857083631117549,0.0009141722822963994
2024-06-02T11:00:00+00:00_L,2024-06-02 12:00:00+00:00,-0.007405860008744472,-0.004284660575704721,0.0031211994330397515
2024-06-04T10:00:00+00:00_L,2024-06-04 11:00:00+00:00,0.024358109270215346,0.024358109270215346,0.0
2024-06-06T19:00:00+00:00_S,2024-06-06 20:00:00+00:00,-0.003062763024682965,-0.0028599240305098306,0.00020283899417313433
2024-06-10T12:00:00+00:00_S,2024-06-10 13:00:00+00:00,-0.0011398667490082706,-0.0015835659495125518,-0.00044369920050428124
2024-06-10T14:00:00+00:00_L,2024-06-10 15:00:00+00:00,0.00278241030404347,0.003161261397340557,0.000378851093297087
2024-06-18T00:00:00+00:00_S,2024-06-18 01:00:00+00:00,,,
2024-07-07T13:00:00+00:00_S,2024-07-07 14:00:00+00:00,0.0013385340905013678,0.0025853416696511125,0.0012468075791497446
2024-07-11T01:00:00+00:00_L,2024-07-11 02:00:00+00:00,-0.011027731409378258,-0.007031778257844698,0.00399595315153356
2024-07-12T13:00:00+00:00_L,2024-07-12 14:00:00+00:00,,,
2024-07-18T04:00:00+00:00_S,2024-07-18 05:00:00+00:00,,,
2024-07-21T14:00:00+00:00_L,2024-07-21 15:00:00+00:00,,,
2024-07-23T02:00:00+00:00_L,2024-07-23 03:00:00+00:00,-0.0018281527112991767,-0.0020956730783192232,-0.00026752036702004656
2024-07-24T18:00:00+00:00_S,2024-07-24 19:00:00+00:00,0.004308319640349612,0.0017959154513587836,-0.002512404188990828
2024-07-27T21:00:00+00:00_L,2024-07-27 22:00:00+00:00,-0.00977768791336231,-0.004063606325261149,0.005714081588101161
2024-07-28T23:00:00+00:00_L,2024-07-29 00:00:00+00:00,0.018909414229755672,0.01970939391889411,0.0007999796891384366
2024-07-31T19:00:00+00:00_S,2024-07-31 20:00:00+00:00,0.006484690200296443,0.010540170206426946,0.004055480006130503
2024-08-02T14:00:00+00:00_S,2024-08-02 15:00:00+00:00,-0.0014622061070411012,-0.004056596264211176,-0.002594390157170075
