dimension,group,arm,period,events,closed,censored,assets,gt5,gt10,gt20,gt10_rate,recorded_mfe_gt10,total_r,gross_r,mean_r,mean_gross_bp,mean_net_bp,total_nominal_return,win_rate,pf_r,event_drawdown_r,total_r_ex_top5,matched_pairs,unmatched,control_mean_r,paired_target_mean_r,paired_excess_r,paired_excess_bp,control_gt10,paired_target_gt10,random_p,random_blocks
timeframe_min,30,baseline,crossing,42,42,0,35,6,2,0,0.047619047619047616,6,88.38944133829402,92.22678390708144,2.1045105080546196,432.0711962161811,412.071196216181,1.7306990241079605,0.9047619047619048,41.65074922775627,1.0946534653465392,42.58724437933667,42,0,0.2640293890282389,2.10451050805462,1.8404811190263806,352.98934468314354,0,2,,1
timeframe_min,30,high_r_entry_v21,full,3143,3141,2,564,172,64,24,0.02037567653613499,161,960.0691826535558,1571.3550836882432,0.30565717371969303,63.54397614804469,43.54397614804467,13.677162908100831,0.32250875517351163,1.3960575040306706,373.1739655326895,745.9139653162897,3138,5,-0.14335820559045834,0.3072000483187424,0.45055825390920073,64.80604260114707,31,64,0.0057,21
timeframe_min,30,high_r_entry_v21,earlier,1157,1157,0,323,93,25,4,0.021607605877268798,71,788.2440106352217,968.4278681409818,0.6812826366769418,111.47046481207977,91.47046481207978,10.583132778757632,0.3993085566119274,2.041922332332922,159.4789182129125,633.3424189754469,1152,5,-0.07981166414080733,0.6870142909865979,0.7668259551274051,111.4576091751942,13,25,0.0234375,9
timeframe_min,30,high_r_entry_v21,later,1983,1981,2,486,77,37,20,0.01867743563856638,88,146.17689055770825,576.7192158292904,0.07378944500641507,34.356188980503944,14.356188980503937,2.84396103703783,0.2766279656739021,1.0876603814612853,349.22903266963044,-44.14722338985695,1978,5,-0.1881578818223383,0.07588546993345101,0.26404335175578936,37.755941074113984,18,37,0.076904296875,13
timeframe_min,30,high_r_entry_v21,crossing,3,3,0,3,2,2,0,0.6666666666666666,2,25.648281460625995,26.207999717970715,8.549427153541998,853.5636410178981,833.5636410178982,0.2500690923053695,1.0,,0.0,,3,0,0.8377679071629016,8.549427153541998,7.711659246379097,796.6788941791053,0,2,,1
timeframe_min,60,baseline,full,13072,13031,41,771,373,102,19,0.007827488297137595,335,39.03233323310013,826.3592238014206,0.002995344427373197,-10.753442636623967,-30.75344263662398,-40.07481109978471,0.2963701941524058,1.0044024993605762,1520.1724404492738,-177.5186546340875,13015,57,-0.0370526699831136,0.003506837965354317,0.04055950794846792,-9.501659062293056,122,102,0.2529,25
timeframe_min,60,baseline,earlier,5055,5055,0,481,143,33,2,0.006528189910979229,109,221.11338870401937,498.79112540848155,0.04374152100969721,-0.13506549853033212,-20.135065498530352,-10.178275609507093,0.32245301681503463,1.067714214022583,796.0145069211197,90.80901860670161,5004,51,-0.06962638868214938,0.05200590647463739,0.1216322951567868,10.750207386542844,34,33,0.1787109375,13
timeframe_min,60,baseline,later,7825,7784,41,734,208,60,15,0.007708119218910586,207,-732.2104174427527,-239.0909260847443,-0.09406608651628375,-35.32162176707167,-55.32162176707168,-43.0623503834886,0.2647738951695786,0.8688984472589777,1520.1724404492772,-942.9056279252331,7769,56,-0.06812313679078426,-0.09339278626818782,-0.02526964947740357,-28.174724470157326,80,60,0.6490478515625,13
timeframe_min,60,baseline,crossing,192,192,0,138,22,9,2,0.046875,19,550.129361971834,566.6590244776831,2.865257093603302,705.7195256880716,685.7195256880716,13.165814893210975,0.890625,36.504365994750266,2.7797608783630636,448.91555904423956,192,0,1.4439715229297407,2.865257093603302,1.421285570673561,414.53412771963787,8,9,,1
timeframe_min,60,high_r_entry_v21,full,1697,1694,3,436,96,28,5,0.01652892561983471,84,613.4884244251953,828.7790592843187,0.36215373342691576,80.15329283007296,60.15329283007294,10.189967805414357,0.3524203069657615,1.5175951849715799,212.41930573675756,431.01042201026434,1693,4,0.08043495931585405,0.3630258538564922,0.2825908945406382,49.564241036194915,23,28,0.0361,21
timeframe_min,60,high_r_entry_v21,earlier,632,632,0,245,43,7,0,0.011075949367088608,26,207.3765979517676,275.3109510416819,0.32812752840469556,80.43127020772208,60.43127020772206,3.819256277128034,0.37816455696202533,1.5022999590066382,133.15722602954685,135.87916389779042,614,18,-0.02299167995519675,0.3661919020588748,0.3891835820140715,86.62847822959247,5,7,0.05078125,9
timeframe_min,60,high_r_entry_v21,later,990,987,3,353,38,16,5,0.016210739614994935,45,151.89611543547224,290.5126582203352,0.15389677349085334,39.32676854487294,19.32676854487292,1.9075520553789571,0.2867274569402229,1.1966514817711607,212.419305736757,-30.581886979458687,986,4,-0.03874583957784027,0.15518302392425798,0.1939288635020983,21.78219350232395,12,16,0.323974609375,13
timeframe_min,60,high_r_entry_v21,crossing,75,75,0,55,15,5,0,0.06666666666666667,13,254.21571103795537,262.9554500223017,3.389542813839405,615.0879297209821,595.0879297209822,4.463159472907366,1.0,,0.0,197.35964700258035,75,0,1.6618529172649148,3.3895428138394053,1.7276898965744898,326.27940906552715,5,5,,1
timeframe_min,240,baseline,full,4128,4079,49,599,157,48,15,0.01176759009561167,157,762.6185728890307,890.7925037989501,0.186962140938718,176.79052844390947,156.7905284439094,63.95485655227065,0.31919588134346655,1.2849010124352258,1021.8596539712698,515.1663228001551,4057,71,0.4469763064151783,0.18963760201953597,-0.2573387043956424,-55.58346738585892,65,48,0.9958,25
timeframe_min,240,baseline,earlier,1604,1604,0,366,97,26,11,0.016209476309226933,84,1070.9155413089106,1115.2534130997153,0.6676530806165278,546.1485594316582,526.1485594316584,84.394228932838,0.40648379052369077,2.172174948639406,167.98569472669033,854.2214126374004,1589,15,0.8291541604355187,0.6832520747489205,-0.14590208568659813,126.09834268405146,32,26,0.868896484375,13
timeframe_min,240,baseline,later,2432,2383,49,549,57,22,4,0.009232060428031893,69,-343.059977352189,-262.5532852033049,-0.14396138369793915,-70.64172079934119,-90.6417207993412,-21.59992206648301,0.25388166177087707,0.8005540564664354,891.8606842682885,-500.2524373790343,2361,71,0.14838262325083337,-0.14244760645826451,-0.2908302297090979,-158.21843424634105,30,22,0.9962158203125,13
