group,arm,period,events,closed,censored,win_rate,mean_r,total_r,pf_r,pf_nominal,realized_ge10,event_drawdown_r,total_r_without_best,control_receipts,matched_pairs,unmatched_or_cross_period,paired_target_mean_r,control_mean_r,paired_excess_r,control_win_rate,paired_excess_nominal,blocks,mean_ci_low,mean_ci_high,p_month_signflip
240,v9,later,2996,2830,166,0.29823321554770316,6.120470030604557e-05,0.17320930186610894,1.000090312972621,1.1000141771771197,10,474.5497180381768,-17.917620973363253,2996,2788,208,0.006132080992122543,0.0864168199321632,-0.08028473894004062,0.31384505021520803,0.0007588717509343913,8,-0.21397663272507772,0.056767116788381006,0.8690654672663668
240,v10_now,full,877,848,29,0.35495283018867924,0.22904622283521628,194.2311969642634,1.374671479587773,1.3568983837091555,3,103.26802708310093,126.11298465003823,877,845,32,0.23005873643118543,0.3011661733166309,-0.0711074368854455,0.3526627218934911,0.006736117959674284,20,-0.3335298792188761,0.17534776804108532,0.7051474262868566
240,v10_now,earlier,395,395,0,0.43291139240506327,0.46912920006985426,185.30603402759243,1.843664486304175,1.6741071089330881,1,59.85007202086598,117.18782171336726,395,392,3,0.4804981466567781,0.5482396040664491,-0.06774145740967111,0.3596938775510204,0.012895876534895783,13,-0.6327615643364235,0.33749614365056746,0.5937031484257871
240,v10_now,later,445,416,29,0.2932692307692308,0.06089330001723215,25.331612807168575,1.0930173014810955,1.1788761198020126,2,84.3427289870193,14.138109268790782,445,413,32,0.06174345793524671,0.11383403609336584,-0.052090578158119176,0.35108958837772397,0.003747740414987594,8,-0.26171402396684595,0.23045783100919526,0.712143928035982
240,v10_a12,full,2554,2492,62,0.34069020866773675,0.16346400871479805,407.35230971727674,1.258448501712862,1.2315597548177177,13,298.867746796708,339.2340974030516,2554,2474,80,0.16538767485432906,0.29641572143330763,-0.13102804657897862,0.3379143088116411,0.0023301699288474096,20,-0.3191707250284844,0.056473045806288424,0.8940529735132434
240,v10_a12,earlier,1199,1199,0,0.41451209341117595,0.443745149284681,532.0504339923325,1.7847702205708773,1.609449972033079,9,136.3265453549677,463.93222167810734,1199,1190,9,0.45484998114632963,0.5519321864977217,-0.097082205351392,0.3563025210084034,0.012273136891214969,13,-0.38751723611281935,0.16352350824149608,0.7521239380309845
240,v10_a12,later,1268,1206,62,0.2645107794361526,-0.10349239784926154,-124.81183180620941,0.8525777085747208,0.9253483996391288,4,256.25813546342533,-140.06946644440632,1268,1188,80,-0.10353117334501358,0.018220305875757823,-0.1217514792207714,0.30808080808080807,-0.004178213516725702,8,-0.4163397817514478,0.1597358769444059,0.7251374312843578
240,v10_a48,full,3845,3746,99,0.31179925253603846,0.07277107865464212,272.6004606402894,1.1098212014048037,1.1199278362096956,25,592.8561899296054,204.48224832606422,3845,3718,127,0.0754792285106341,0.23777255343568562,-0.16229332492505152,0.3329747175901022,-0.0029365724869844447,20,-0.29194799444329866,-0.02856908527572121,0.9810094952523738
240,v10_a48,earlier,1826,1826,0,0.3729463307776561,0.3180968219462859,580.8447968739181,1.5260505455346813,1.465995947414661,16,229.26825846288023,512.7265845596929,1826,1805,21,0.33380177240802283,0.4693938696850114,-0.13559209727698857,0.35678670360110804,0.005476978745431304,13,-0.3273234077896125,0.05601748691855742,0.9075462268865567
240,v10_a48,later,1862,1763,99,0.24560408394781622,-0.1660708091798073,-292.7828365840003,0.7721267402338918,0.8242783384597686,9,384.59103325306774,-310.8736668592296,1862,1735,127,-0.1641219167848716,-0.005717666116688983,-0.15840425066818264,0.29913544668587894,-0.009060591812064263,8,-0.3674643607918302,0.039037339669295755,0.8835582208895553
240,v10_a200,full,5621,5473,148,0.3159144893111639,0.09662128235542834,528.8082783312593,1.1479920587688435,1.167374079276597,30,845.931279459217,460.69006601703416,5621,5435,186,0.10034780143968904,0.2050682882596107,-0.10472048681992165,0.3249310027598896,9.365381879878e-05,20,-0.208105627950158,0.023322499501839823,0.9375312343828086
240,v10_a200,earlier,2685,2685,0,0.34413407821229053,0.2252285376435434,604.738623572914,1.360047898352407,1.3059058139209294,20,409.5238546070718,536.6204112586888,2685,2641,44,0.24531549861588228,0.34097207034470284,-0.09565657172882062,0.3381294964028777,0.003048200684233568,13,-0.25108878438352994,0.12500041361591632,0.815592203898051
240,v10_a200,later,2715,2567,148,0.28827425009738994,-0.01971479229425901,-50.607871819362884,0.9712686628175357,1.0598633135113709,10,445.7425811673599,-68.69870209459225,2715,2529,186,-0.013454270196090268,0.05453394712660017,-0.06798821732269042,0.3036773428232503,0.0005532890325715219,8,-0.2133604787058782,0.09616144688165451,0.7931034482758621
