symbol,side,ma,candidates,unknown,passed,known_reject,common_ready
ONEUSDT,1,none,182,0,182,0,182
ONEUSDT,1,sma20,182,0,180,2,182
ONEUSDT,1,ema20,182,0,182,0,182
ONEUSDT,1,sma60,182,0,173,9,182
ONEUSDT,1,ema60,182,0,174,8,182
ONEUSDT,1,sma120,182,0,136,46,182
ONEUSDT,1,ema120,182,0,151,31,182
OPUSDT,-1,none,225,0,225,0,225
OPUSDT,-1,sma20,225,0,225,0,225
OPUSDT,-1,ema20,225,0,225,0,225
OPUSDT,-1,sma60,225,0,220,5,225
OPUSDT,-1,ema60,225,0,217,8,225
OPUSDT,-1,sma120,225,0,180,45,225
OPUSDT,-1,ema120,225,0,192,33,225
OPUSDT,1,none,215,0,215,0,215
OPUSDT,1,sma20,215,0,215,0,215
OPUSDT,1,ema20,215,0,215,0,215
OPUSDT,1,sma60,215,0,206,9,215
OPUSDT,1,ema60,215,0,206,9,215
OPUSDT,1,sma120,215,0,168,47,215
OPUSDT,1,ema120,215,0,169,46,215
PENDLEUSDT,-1,none,222,0,222,0,222
PENDLEUSDT,-1,sma20,222,0,222,0,222
PENDLEUSDT,-1,ema20,222,0,222,0,222
PENDLEUSDT,-1,sma60,222,0,216,6,222
PENDLEUSDT,-1,ema60,222,0,215,7,222
PENDLEUSDT,-1,sma120,222,0,175,47,222
PENDLEUSDT,-1,ema120,222,0,179,43,222
PENDLEUSDT,1,none,234,0,234,0,234
PENDLEUSDT,1,sma20,234,0,234,0,234
PENDLEUSDT,1,ema20,234,0,234,0,234
PENDLEUSDT,1,sma60,234,0,227,7,234
PENDLEUSDT,1,ema60,234,0,229,5,234
PENDLEUSDT,1,sma120,234,0,182,52,234
PENDLEUSDT,1,ema120,234,0,186,48,234
PIEVERSEUSDT,-1,none,62,0,62,0,54
PIEVERSEUSDT,-1,sma20,62,0,62,0,54
PIEVERSEUSDT,-1,ema20,62,0,62,0,54
PIEVERSEUSDT,-1,sma60,62,0,59,3,54
PIEVERSEUSDT,-1,ema60,62,3,59,0,54
PIEVERSEUSDT,-1,sma120,62,0,56,6,54
PIEVERSEUSDT,-1,ema120,62,8,52,2,54
PIEVERSEUSDT,1,none,61,0,61,0,61
PIEVERSEUSDT,1,sma20,61,0,61,0,61
PIEVERSEUSDT,1,ema20,61,0,61,0,61
PIEVERSEUSDT,1,sma60,61,0,57,4,61
PIEVERSEUSDT,1,ema60,61,0,57,4,61
PIEVERSEUSDT,1,sma120,61,0,47,14,61
PIEVERSEUSDT,1,ema120,61,0,49,12,61
PUMPUSDT,-1,none,113,0,113,0,107
PUMPUSDT,-1,sma20,113,0,113,0,107
PUMPUSDT,-1,ema20,113,0,113,0,107
PUMPUSDT,-1,sma60,113,0,109,4,107
PUMPUSDT,-1,ema60,113,0,111,2,107
PUMPUSDT,-1,sma120,113,0,91,22,107
PUMPUSDT,-1,ema120,113,6,92,15,107
PUMPUSDT,1,none,118,0,118,0,115
PUMPUSDT,1,sma20,118,0,118,0,115
PUMPUSDT,1,ema20,118,0,118,0,115
PUMPUSDT,1,sma60,118,0,112,6,115
PUMPUSDT,1,ema60,118,2,108,8,115
PUMPUSDT,1,sma120,118,0,84,34,115
PUMPUSDT,1,ema120,118,3,87,28,115
SOLUSDT,-1,none,262,0,262,0,262
SOLUSDT,-1,sma20,262,0,262,0,262
SOLUSDT,-1,ema20,262,0,262,0,262
SOLUSDT,-1,sma60,262,0,256,6,262
SOLUSDT,-1,ema60,262,0,251,11,262
SOLUSDT,-1,sma120,262,0,197,65,262
SOLUSDT,-1,ema120,262,0,209,53,262
SOLUSDT,1,none,210,0,210,0,210
SOLUSDT,1,sma20,210,0,210,0,210
SOLUSDT,1,ema20,210,0,210,0,210
SOLUSDT,1,sma60,210,0,201,9,210
SOLUSDT,1,ema60,210,0,201,9,210
SOLUSDT,1,sma120,210,0,151,59,210
SOLUSDT,1,ema120,210,0,163,47,210
UNIUSDT,-1,none,221,0,221,0,221
UNIUSDT,-1,sma20,221,0,221,0,221
UNIUSDT,-1,ema20,221,0,221,0,221
UNIUSDT,-1,sma60,221,0,214,7,221
UNIUSDT,-1,ema60,221,0,213,8,221
UNIUSDT,-1,sma120,221,0,178,43,221
UNIUSDT,-1,ema120,221,0,193,28,221
UNIUSDT,1,none,216,0,216,0,216
UNIUSDT,1,sma20,216,0,216,0,216
UNIUSDT,1,ema20,216,0,216,0,216
UNIUSDT,1,sma60,216,0,208,8,216
UNIUSDT,1,ema60,216,0,211,5,216
UNIUSDT,1,sma120,216,0,156,60,216
UNIUSDT,1,ema120,216,0,167,49,216
USELESSUSDT,-1,none,111,0,111,0,107
USELESSUSDT,-1,sma20,111,0,111,0,107
USELESSUSDT,-1,ema20,111,0,111,0,107
USELESSUSDT,-1,sma60,111,0,109,2,107
USELESSUSDT,-1,ema60,111,1,104,6,107
USELESSUSDT,-1,sma120,111,0,81,30,107
USELESSUSDT,-1,ema120,111,4,87,20,107
USELESSUSDT,1,none,102,0,102,0,100
USELESSUSDT,1,sma20,102,0,102,0,100
USELESSUSDT,1,ema20,102,0,102,0,100
USELESSUSDT,1,sma60,102,0,97,5,100
USELESSUSDT,1,ema60,102,1,95,6,100
USELESSUSDT,1,sma120,102,0,81,21,100
USELESSUSDT,1,ema120,102,2,79,21,100
WIFUSDT,-1,none,232,0,232,0,232
WIFUSDT,-1,sma20,232,0,232,0,232
WIFUSDT,-1,ema20,232,0,232,0,232
WIFUSDT,-1,sma60,232,0,223,9,232
WIFUSDT,-1,ema60,232,0,226,6,232
WIFUSDT,-1,sma120,232,0,181,51,232
WIFUSDT,-1,ema120,232,0,200,32,232
WIFUSDT,1,none,220,0,220,0,220
WIFUSDT,1,sma20,220,0,220,0,220
WIFUSDT,1,ema20,220,0,220,0,220
WIFUSDT,1,sma60,220,0,213,7,220
WIFUSDT,1,ema60,220,0,211,9,220
WIFUSDT,1,sma120,220,0,160,60,220
WIFUSDT,1,ema120,220,0,174,46,220
XTZUSDT,-1,none,167,0,167,0,167
XTZUSDT,-1,sma20,167,0,167,0,167
XTZUSDT,-1,ema20,167,0,167,0,167
XTZUSDT,-1,sma60,167,0,164,3,167
XTZUSDT,-1,ema60,167,0,162,5,167
XTZUSDT,-1,sma120,167,0,138,29,167
XTZUSDT,-1,ema120,167,0,140,27,167
XTZUSDT,1,none,176,0,176,0,176
XTZUSDT,1,sma20,176,0,176,0,176
XTZUSDT,1,ema20,176,0,176,0,176
XTZUSDT,1,sma60,176,0,168,8,176
XTZUSDT,1,ema60,176,0,167,9,176
XTZUSDT,1,sma120,176,0,138,38,176
XTZUSDT,1,ema120,176,0,145,31,176
ZECUSDT,-1,none,246,0,246,0,246
ZECUSDT,-1,sma20,246,0,245,1,246
ZECUSDT,-1,ema20,246,0,246,0,246
ZECUSDT,-1,sma60,246,0,240,6,246
ZECUSDT,-1,ema60,246,0,240,6,246
ZECUSDT,-1,sma120,246,0,204,42,246
ZECUSDT,-1,ema120,246,0,205,41,246
ZECUSDT,1,none,213,0,213,0,213
ZECUSDT,1,sma20,213,0,213,0,213
ZECUSDT,1,ema20,213,0,213,0,213
ZECUSDT,1,sma60,213,0,205,8,213
ZECUSDT,1,ema60,213,0,203,10,213
ZECUSDT,1,sma120,213,0,158,55,213
ZECUSDT,1,ema120,213,0,155,58,213
ZENUSDT,-1,none,220,0,220,0,220
ZENUSDT,-1,sma20,220,0,220,0,220
ZENUSDT,-1,ema20,220,0,220,0,220
ZENUSDT,-1,sma60,220,0,216,4,220
ZENUSDT,-1,ema60,220,0,217,3,220
ZENUSDT,-1,sma120,220,0,176,44,220
ZENUSDT,-1,ema120,220,0,187,33,220
ZENUSDT,1,none,198,0,198,0,198
ZENUSDT,1,sma20,198,0,197,1,198
ZENUSDT,1,ema20,198,0,198,0,198
ZENUSDT,1,sma60,198,0,196,2,198
ZENUSDT,1,ema60,198,0,193,5,198
ZENUSDT,1,sma120,198,0,156,42,198
ZENUSDT,1,ema120,198,0,157,41,198
