direction,qty,signal_i,signal_time,entry_i,entry_time,entry_price,entry_equity,entry_fee,leverage,score,stop,initial_stop,exit_i,exit_time,exit_price,exit_reason,gross_pnl,net_pnl,gross_return,net_return,fees,holding_bars,n_controls,matched,control_mean,paired_excess
-1,0.19822600625555079,10001,2024-07-24 20:00:00+00:00,10002,2024-07-25 00:00:00+00:00,3334.23,660.9330790975076,0.6609310968374451,0.9999970008157781,0.21729325511419903,3330.89577,3434.2672,10026,2024-07-29 00:00:00+00:00,3330.89577,stop,0.660931096837432,-0.6602701657406208,0.00099999999999998,-0.0009990000000000198,1.321201262578053,24,3,True,-0.011341651676555329,0.01034265167655531
-1,0.26884290952359835,10205,2024-08-27 20:00:00+00:00,10206,2024-08-28 00:00:00+00:00,2455.98,660.272808931767,0.6602728089317671,1.0,1.4366383463515098,2453.52402,2529.6594,10207,2024-08-28 04:00:00+00:00,2476.76,stop_gap,-5.586555659900427,-6.9126878334238615,-0.008460980952613703,-0.010469441933566316,1.3261321735234346,1,3,True,0.06870106589706586,-0.07917050783063218
1,0.26788032845360527,10341,2024-09-19 12:00:00+00:00,10342,2024-09-19 16:00:00+00:00,2439.0,653.3601210983433,0.6533601210983433,1.0,0.6489122570249333,2441.439,2365.83,10344,2024-09-20 00:00:00+00:00,2441.439,stop,0.6533601210983033,-0.6540134812194816,0.0009999999999999389,-0.001001000000000061,1.3073736023177849,2,3,True,-0.00100100000000013,6.895525817007808e-17
1,0.2487067930258816,10582,2024-10-29 16:00:00+00:00,10583,2024-10-29 20:00:00+00:00,2624.43,652.7061076171237,0.6527135688209145,1.0000114311842707,1.0962211790012049,2627.0544299999997,2545.668,10592,2024-10-31 08:00:00+00:00,2627.0544299999997,stop,0.6527135688208765,-0.6533662823897732,0.000999999999999942,-0.001001000000000058,1.3060798512106497,9,3,True,-0.011324000000000084,0.010323000000000027
1,0.23950601887784123,10631,2024-11-06 20:00:00+00:00,10632,2024-11-07 00:00:00+00:00,2722.5,652.0527413347339,0.6520551363949229,1.000003673108074,1.991316263619641,3257.6674000000003,2640.8152999999998,10750,2024-11-26 16:00:00+00:00,3257.6674000000003,stop,128.17581340720528,126.74352732100823,0.19657204775022968,0.19437547570247943,1.4322860861970508,118,3,True,-0.0019087038801038029,0.19628417958258323
1,0.2012086706821808,10846,2024-12-12 16:00:00+00:00,10847,2024-12-12 20:00:00+00:00,3870.58,778.7962686557422,0.7787942565690353,0.9999974164145516,0.84798353631591,3874.4505799999997,3754.4723000000004,10849,2024-12-13 04:00:00+00:00,3874.4505799999997,stop,0.7787942565689933,-0.7795730508256464,0.000999999999999946,-0.0010010000000000541,1.5583673073946396,2,3,True,0.0015976971210539621,-0.0025986971210540163
-1,0.2121578266573906,10884,2024-12-19 00:00:00+00:00,10885,2024-12-19 04:00:00+00:00,3667.16,778.0166956049165,0.7780166956049166,1.0,1.2980530810984938,3663.49284,3777.1748,10983,2025-01-04 12:00:00+00:00,3663.49284,stop,0.7780166956049096,-0.7772386789093186,0.0009999999999999911,-0.000999000000000009,1.5552553745142284,98,3,True,0.004026343542395437,-0.005025343542395446
-1,0.2322891383520643,11007,2025-01-08 12:00:00+00:00,11008,2025-01-08 16:00:00+00:00,3346.0,777.2394569260072,0.7772394569260072,1.0,1.7354063126927315,3342.654,3446.38,11010,2025-01-09 00:00:00+00:00,3342.654,stop,0.777239456926008,-0.7764622174690803,0.001000000000000001,-0.0009989999999999988,1.5537016743950884,2,3,True,-0.0009989999999999964,-2.3852447794681098e-18
1,0.22662446105420803,11145,2025-01-31 12:00:00+00:00,11146,2025-01-31 16:00:00+00:00,3426.21,776.4629947085381,0.7764629947085381,1.0,0.9872882353731266,3323.4237,3323.4237,11147,2025-01-31 20:00:00+00:00,3323.4237,stop,-23.29388984125619,-24.82352194083201,-0.030000000000000058,-0.03197000000000006,1.52963209957582,1,3,True,-0.011324000000000082,-0.020645999999999977
-1,0.30139964342706044,11292,2025-02-25 00:00:00+00:00,11293,2025-02-25 04:00:00+00:00,2493.84,751.6394727677061,0.7516424867641405,1.0000040098964245,2.169098364217733,2491.34616,2568.6449,11297,2025-02-25 20:00:00+00:00,2491.34616,stop,0.7516424867641679,-0.7508908442773489,0.0010000000000000365,-0.0009989999999999635,1.5025333310415168,4,3,True,-0.021687662322763628,0.020688662322763667
1,0.36666809022224495,11427,2025-03-19 12:00:00+00:00,11428,2025-03-19 16:00:00+00:00,2047.88,750.8885819234288,0.750892248604331,1.000004883122464,0.39495272262555886,1986.4339,1986.4339,11432,2025-03-20 08:00:00+00:00,1986.4339,stop,-22.530324138605128,-24.009578311675185,-0.030004736605660543,-0.03197473186905488,1.479254173070057,4,3,True,-0.021643830828426174,-0.010330901040628709
-1,0.38075629825030044,11479,2025-03-28 04:00:00+00:00,11480,2025-03-28 08:00:00+00:00,1909.04,726.8790036117535,0.7268790036117536,1.0,0.5283313316656059,1907.13096,1966.3111999999999,11481,2025-03-28 12:00:00+00:00,1907.13096,stop,0.7268790036117553,-0.7261521246081402,0.0010000000000000024,-0.0009989999999999977,1.4530311282198953,1,3,True,-0.000998999999999959,-3.881443777498106e-17
1,0.3766743705193202,11725,2025-05-08 04:00:00+00:00,11726,2025-05-08 08:00:00+00:00,1927.81,726.1528514871454,0.7261566182308506,1.0000051872600892,0.3443540178049515,2595.6,1869.966,11864,2025-05-31 08:00:00+00:00,2520.0,reverse,223.06279547783623,221.3874194458967,0.30718276178669063,0.3048755790249039,1.6753760319395377,138,3,True,-0.002491443385344053,0.307367022410248
-1,0.37638471839156773,11863,2025-05-31 04:00:00+00:00,11864,2025-05-31 08:00:00+00:00,2520.0,947.540270933042,0.9484894903467507,1.0010017721070303,0.4202802471035094,2517.48,2595.6,11871,2025-06-01 12:00:00+00:00,2517.48,stop,0.9484894903467438,-0.9475410008564108,0.0009999999999999926,-0.0009990000000000073,1.8960304912031547,7,3,True,-0.0009989999999999565,-5.074066167232161e-17
-1,0.27426897165214154,12858,2025-11-13 00:00:00+00:00,12859,2025-11-13 04:00:00+00:00,3451.32,946.5927299321856,0.9465899872424692,0.9999971025662572,0.6565201767167234,2821.7673999999997,3554.8698999999997,12972,2025-12-02 00:00:00+00:00,2821.7673999999997,stop,172.6667442029321,170.94623097265008,0.18240922313781405,0.18059163236095183,1.7205132302820063,113,3,True,-0.0009989999999999982,0.18159063236095183
1,0.36669356016840593,13094,2025-12-22 08:00:00+00:00,13095,2025-12-22 12:00:00+00:00,3047.61,1117.5389609048357,1.1175389609048356,1.0,0.3017310901447669,2956.1817,2956.1817,13099,2025-12-23 04:00:00+00:00,2956.1817,stop,-33.52616882714508,-35.72772058012761,-0.030000000000000006,-0.03197000000000001,2.2015517529825264,4,3,True,-0.012072489254287042,-0.01989751074571297
