period,timeframe_min,arm,policy,side,year,closed,wins,win_rate,mean_gross_bp,mean_net_bp,mean_net_r,pf_net_r,net_ge3r,net_ge3r_rate,net_ge5r,net_ge5r_rate,net_ge10r,net_ge10r_rate
later,60,v9_both,baseline,1,2025,3904,1182,0.30276639344262296,-30.695138592533514,-50.69513859253353,0.019268661177429126,1.0289568018605872,251,0.06429303278688525,116,0.02971311475409836,28,0.007172131147540984
later,60,v9_both,baseline,1,2026,3595,1026,0.28539638386648125,11.831835828396976,-8.16816417160304,0.009147995842512429,1.0131609584761527,233,0.06481223922114047,110,0.030598052851182198,35,0.009735744089012517
later,60,v9_both,twap_near,-1,2025,2125,737,0.3468235294117647,57.1941233403128,37.19412334031279,0.07479147752814766,1.1176879154730979,149,0.07011764705882353,36,0.016941176470588234,2,0.0009411764705882353
later,60,v9_both,twap_near,-1,2026,1554,484,0.31145431145431146,16.94666164161409,-3.053338358385928,0.0159714083050641,1.0232990445590162,122,0.07850707850707851,41,0.026383526383526385,9,0.005791505791505791
later,60,v9_both,twap_near,1,2025,2028,612,0.30177514792899407,15.0268791920727,-4.973120807927306,0.08892934485929616,1.1276573741864668,162,0.07988165680473373,76,0.03747534516765286,21,0.010355029585798817
later,60,v9_both,twap_near,1,2026,2128,610,0.2866541353383459,32.37976063563104,12.379760635631033,0.04140769301141667,1.0588539571993811,151,0.07095864661654136,76,0.03571428571428571,24,0.011278195488721804
later,60,v9_both,vwap_near,-1,2025,2078,711,0.3421559191530318,60.889174071333485,40.889174071333485,0.08192582498476668,1.1277609435097122,156,0.07507218479307026,40,0.019249278152069296,2,0.0009624639076034649
later,60,v9_both,vwap_near,-1,2026,1472,469,0.3186141304347826,24.83775808969232,4.8377580896923105,0.04879032111254069,1.0718358994141604,120,0.08152173913043478,40,0.02717391304347826,9,0.006114130434782609
later,60,v9_both,vwap_near,1,2025,2076,637,0.30684007707129096,20.154464591677097,0.154464591677092,0.10856601765377197,1.1575305421352087,166,0.07996146435452794,81,0.03901734104046243,21,0.010115606936416185
later,60,v9_both,vwap_near,1,2026,2244,648,0.2887700534759358,42.9105999989847,22.910599998984694,0.05706643921017945,1.08138154823115,164,0.07308377896613191,80,0.035650623885918005,25,0.011140819964349376
