symbol,period,arm,entries,complete,net_profit_sum_independent_accounts,win_rate,mean_final_balance,max_adds
PUMPUSDT,earlier,continuous,3.0,3.0,116.02887131000003,1.0,138.67629043666668,0.0
PUMPUSDT,earlier,continuous_unprotected,3.0,3.0,116.02887131000003,1.0,138.67629043666668,0.0
PUMPUSDT,earlier,none,3.0,3.0,116.02887131000003,1.0,138.67629043666668,0.0
PUMPUSDT,earlier,two,3.0,3.0,116.02887131000003,1.0,138.67629043666668,0.0
PUMPUSDT,later,continuous,6.0,6.0,77.03849496996875,0.6666666666666666,112.83974916166146,4.0
PUMPUSDT,later,continuous_unprotected,6.0,5.0,-35.52521856203139,0.6,92.89495628759373,4.0
PUMPUSDT,later,none,6.0,6.0,172.7806067299686,0.6666666666666666,128.7967677883281,0.0
PUMPUSDT,later,two,6.0,6.0,129.29915837796847,0.6666666666666666,121.54985972966142,2.0
SOLUSDT,earlier,continuous,7.0,7.0,-16.14081813000027,0.42857142857142855,97.6941688385714,1.0
SOLUSDT,earlier,continuous_unprotected,7.0,7.0,-16.14081813000027,0.42857142857142855,97.6941688385714,1.0
SOLUSDT,earlier,none,7.0,7.0,24.58572067,0.42857142857142855,103.51224581,0.0
SOLUSDT,earlier,two,7.0,7.0,-16.14081813000027,0.42857142857142855,97.6941688385714,1.0
SOLUSDT,later,continuous,6.0,6.0,-15.308368699999392,0.5,97.44860521666676,2.0
SOLUSDT,later,continuous_unprotected,6.0,5.0,-38.30687149999996,0.4,92.33862570000001,2.0
SOLUSDT,later,none,6.0,6.0,36.23994550000053,0.5,106.03999091666675,0.0
SOLUSDT,later,two,6.0,6.0,-15.308368699999392,0.5,97.44860521666676,2.0
UNIUSDT,earlier,continuous,14.0,14.0,122.857948,0.35714285714285715,108.7755677142857,3.0
UNIUSDT,earlier,continuous_unprotected,14.0,11.0,-186.55525100000014,0.18181818181818182,83.0404317272727,3.0
UNIUSDT,earlier,none,14.0,14.0,228.16985099999968,0.35714285714285715,116.29784649999998,0.0
UNIUSDT,earlier,two,14.0,14.0,147.3320899999999,0.35714285714285715,110.52372071428569,2.0
UNIUSDT,later,continuous,7.0,7.0,-109.64489800000004,0.14285714285714285,84.33644314285712,0.0
UNIUSDT,later,continuous_unprotected,7.0,7.0,-109.64489800000004,0.14285714285714285,84.33644314285712,0.0
UNIUSDT,later,none,7.0,7.0,-109.64489800000004,0.14285714285714285,84.33644314285712,0.0
UNIUSDT,later,two,7.0,7.0,-109.64489800000004,0.14285714285714285,84.33644314285712,0.0
USELESSUSDT,later,continuous,11.0,11.0,-157.75718517999974,0.45454545454545453,85.65843771090911,2.0
USELESSUSDT,later,continuous_unprotected,11.0,11.0,-157.75718517999974,0.45454545454545453,85.65843771090911,2.0
USELESSUSDT,later,none,11.0,11.0,-42.429879549999875,0.45454545454545453,96.14273822272729,0.0
USELESSUSDT,later,two,11.0,11.0,-157.75718517999974,0.45454545454545453,85.65843771090911,2.0
WIFUSDT,earlier,continuous,16.0,16.0,24.65342926000102,0.5,101.54083932875005,4.0
WIFUSDT,earlier,continuous_unprotected,16.0,14.0,-212.7582456799994,0.42857142857142855,84.80298245142862,4.0
WIFUSDT,earlier,none,16.0,16.0,125.50731961000068,0.5,107.84420747562504,0.0
WIFUSDT,earlier,two,16.0,16.0,83.58063254000021,0.5,105.22378953375001,2.0
WIFUSDT,later,continuous,1.0,1.0,-6.298863599999962,0.0,93.70113640000004,0.0
