stream_key,symbol,timeframe,asset,tick,bars,bars_in_window,first_bar,last_bar,gaps,ready_in_window,v9_long_in_window,v9_any_in_window,breaks_in_window,lines_born_in_window,joint_in_window,pivot_ties,store_codes,pair_refusals,serial,partial_buckets
binance_um:DODOXUSDT:1h,DODOXUSDT,1h,DODOX,1e-06,15852,14352,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,14352,15,38,68,69,4,16,"{'0': 65, '1': 104, '2': 1128, '3': 106, '4': 0, '5': 3}",{},"{'joint': {'candidates': 4, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 15, 'skipped_in_position': 2, 'invalid_initial': 0}}",0
binance_um:DODOXUSDT:4h,DODOXUSDT,4h,DODOX,1e-06,5088,3588,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,3588,8,15,18,17,2,0,"{'0': 13, '1': 23, '2': 371, '3': 48, '4': 0, '5': 0}",{},"{'joint': {'candidates': 2, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 8, 'skipped_in_position': 0, 'invalid_initial': 0}}",0
binance_um:DODOXUSDT:1d,DODOXUSDT,1d,DODOX,1e-06,997,598,2023-08-08 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,598,0,0,3,2,0,0,"{'0': 0, '1': 3, '2': 14, '3': 6, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:DOGSUSDT:5m,DOGSUSDT,5m,DOGS,1e-08,173724,172224,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,0,172224,200,399,336,326,14,13455,"{'0': 262, '1': 444, '2': 5212, '3': 363, '4': 0, '5': 9}",{'momentum': 3},"{'joint': {'candidates': 14, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 200, 'skipped_in_position': 32, 'invalid_initial': 0}}",0
binance_um:DOGSUSDT:15m,DOGSUSDT,15m,DOGS,1e-08,58798,57408,2024-08-26 12:30:00+00:00,2026-04-30 23:45:00+00:00,0,57408,51,115,119,124,8,2522,"{'0': 117, '1': 168, '2': 2274, '3': 223, '4': 0, '5': 6}",{},"{'joint': {'candidates': 8, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 51, 'skipped_in_position': 7, 'invalid_initial': 0}}",0
binance_um:DOGSUSDT:30m,DOGSUSDT,30m,DOGS,1e-08,29399,28704,2024-08-26 12:30:00+00:00,2026-04-30 23:30:00+00:00,0,28704,33,65,102,99,6,669,"{'0': 82, '1': 136, '2': 1479, '3': 124, '4': 0, '5': 3}",{'gate': 1},"{'joint': {'candidates': 6, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 33, 'skipped_in_position': 8, 'invalid_initial': 0}}",0
binance_um:DOGSUSDT:1h,DOGSUSDT,1h,DOGS,1e-08,14700,14352,2024-08-26 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,14352,18,37,56,53,2,224,"{'0': 59, '1': 75, '2': 863, '3': 115, '4': 0, '5': 1}",{},"{'joint': {'candidates': 2, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 18, 'skipped_in_position': 3, 'invalid_initial': 0}}",1
binance_um:DOGSUSDT:4h,DOGSUSDT,4h,DOGS,1e-08,3675,3588,2024-08-26 12:00:00+00:00,2026-04-30 20:00:00+00:00,0,3334,3,5,17,18,1,28,"{'0': 8, '1': 25, '2': 166, '3': 62, '4': 0, '5': 1}",{},"{'joint': {'candidates': 1, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 3, 'skipped_in_position': 1, 'invalid_initial': 0}}",1
binance_um:DOGSUSDT:1d,DOGSUSDT,1d,DOGS,1e-08,613,598,2024-08-26 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,272,0,0,0,0,0,0,"{'0': 0, '1': 0, '2': 2, '3': 0, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:DOGEUSDT:5m,DOGEUSDT,5m,DOGE,1e-05,173724,172224,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,0,172224,243,507,562,556,42,991,"{'0': 695, '1': 785, '2': 10609, '3': 640, '4': 0, '5': 29}",{'gate': 1},"{'joint': {'candidates': 42, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 243, 'skipped_in_position': 28, 'invalid_initial': 0}}",0
binance_um:DOGEUSDT:15m,DOGEUSDT,15m,DOGE,1e-05,58908,57408,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,57408,71,140,217,211,13,179,"{'0': 251, '1': 305, '2': 4055, '3': 432, '4': 0, '5': 10}",{},"{'joint': {'candidates': 13, 'skipped_in_position': 1, 'invalid_initial': 0}, 'v9_long': {'candidates': 71, 'skipped_in_position': 14, 'invalid_initial': 0}}",0
binance_um:DOGEUSDT:30m,DOGEUSDT,30m,DOGE,1e-05,30204,28704,2024-08-09 18:00:00+00:00,2026-04-30 23:30:00+00:00,0,28704,39,80,109,108,8,62,"{'0': 101, '1': 165, '2': 2105, '3': 229, '4': 0, '5': 2}",{'momentum': 1},"{'joint': {'candidates': 8, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 39, 'skipped_in_position': 9, 'invalid_initial': 0}}",0
binance_um:DOGEUSDT:1h,DOGEUSDT,1h,DOGE,1e-05,15852,14352,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,14352,17,36,53,55,2,16,"{'0': 62, '1': 92, '2': 1111, '3': 87, '4': 0, '5': 1}",{},"{'joint': {'candidates': 2, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 17, 'skipped_in_position': 2, 'invalid_initial': 0}}",0
binance_um:DOGEUSDT:4h,DOGEUSDT,4h,DOGE,1e-05,5088,3588,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,3588,9,17,23,20,4,0,"{'0': 12, '1': 34, '2': 308, '3': 15, '4': 0, '5': 0}",{},"{'joint': {'candidates': 4, 'skipped_in_position': 1, 'invalid_initial': 0}, 'v9_long': {'candidates': 9, 'skipped_in_position': 2, 'invalid_initial': 0}}",0
binance_um:DOGEUSDT:1d,DOGEUSDT,1d,DOGE,1e-05,2098,598,2020-08-02 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,598,0,0,2,2,0,0,"{'0': 2, '1': 6, '2': 26, '3': 16, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",0
binance_um:EDGEUSDT:5m,EDGEUSDT,5m,EDGE,0.0001,12216,12215,2026-03-19 14:00:00+00:00,2026-04-30 23:55:00+00:00,0,11875,23,38,37,39,2,58,"{'0': 26, '1': 55, '2': 629, '3': 42, '4': 0, '5': 0}",{'gate': 1},"{'joint': {'candidates': 2, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 23, 'skipped_in_position': 5, 'invalid_initial': 0}}",0
binance_um:EDGEUSDT:15m,EDGEUSDT,15m,EDGE,0.0001,4072,4071,2026-03-19 14:00:00+00:00,2026-04-30 23:45:00+00:00,0,3731,6,7,13,15,0,22,"{'0': 14, '1': 21, '2': 213, '3': 11, '4': 0, '5': 1}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 6, 'skipped_in_position': 2, 'invalid_initial': 0}}",0
binance_um:EDGEUSDT:30m,EDGEUSDT,30m,EDGE,0.0001,2036,2035,2026-03-19 14:00:00+00:00,2026-04-30 23:30:00+00:00,0,1695,1,3,1,2,0,8,"{'0': 1, '1': 3, '2': 53, '3': 3, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 1, 'skipped_in_position': 0, 'invalid_initial': 0}}",0
binance_um:EDGEUSDT:1h,EDGEUSDT,1h,EDGE,0.0001,1018,1017,2026-03-19 14:00:00+00:00,2026-04-30 23:00:00+00:00,0,677,1,2,0,0,0,0,"{'0': 0, '1': 0, '2': 3, '3': 0, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 1, 'skipped_in_position': 0, 'invalid_initial': 0}}",0
binance_um:EDGEUSDT:4h,EDGEUSDT,4h,EDGE,0.0001,255,254,2026-03-19 12:00:00+00:00,2026-04-30 20:00:00+00:00,0,0,0,0,0,0,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:EDGEUSDT:1d,EDGEUSDT,1d,EDGE,0.0001,43,42,2026-03-19 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,0,0,0,0,0,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:DRIFTUSDT:5m,DRIFTUSDT,5m,DRIFT,1e-05,155043,155042,2024-11-08 15:45:00+00:00,2026-04-30 23:55:00+00:00,0,154702,191,399,445,439,24,2186,"{'0': 441, '1': 593, '2': 7952, '3': 587, '4': 0, '5': 10}",{'gate': 2},"{'joint': {'candidates': 24, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 191, 'skipped_in_position': 29, 'invalid_initial': 0}}",0
binance_um:DRIFTUSDT:15m,DRIFTUSDT,15m,DRIFT,1e-05,51681,51680,2024-11-08 15:45:00+00:00,2026-04-30 23:45:00+00:00,0,51340,54,118,161,144,9,451,"{'0': 113, '1': 203, '2': 2533, '3': 191, '4': 0, '5': 1}",{'momentum': 1},"{'joint': {'candidates': 9, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 54, 'skipped_in_position': 9, 'invalid_initial': 0}}",0
binance_um:DRIFTUSDT:30m,DRIFTUSDT,30m,DRIFT,1e-05,25841,25840,2024-11-08 15:30:00+00:00,2026-04-30 23:30:00+00:00,0,25500,37,68,94,84,7,150,"{'0': 52, '1': 122, '2': 1396, '3': 158, '4': 0, '5': 3}",{},"{'joint': {'candidates': 7, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 37, 'skipped_in_position': 7, 'invalid_initial': 0}}",1
binance_um:DRIFTUSDT:1h,DRIFTUSDT,1h,DRIFT,1e-05,12921,12920,2024-11-08 15:00:00+00:00,2026-04-30 23:00:00+00:00,0,12580,23,39,55,50,5,44,"{'0': 35, '1': 71, '2': 752, '3': 128, '4': 0, '5': 1}",{},"{'joint': {'candidates': 5, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 23, 'skipped_in_position': 5, 'invalid_initial': 0}}",1
binance_um:DRIFTUSDT:4h,DRIFTUSDT,4h,DRIFT,1e-05,3231,3230,2024-11-08 12:00:00+00:00,2026-04-30 20:00:00+00:00,0,2890,6,9,16,18,0,4,"{'0': 24, '1': 21, '2': 169, '3': 32, '4': 0, '5': 1}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 6, 'skipped_in_position': 1, 'invalid_initial': 0}}",1
binance_um:DRIFTUSDT:1d,DRIFTUSDT,1d,DRIFT,1e-05,539,538,2024-11-08 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,198,0,0,1,1,0,0,"{'0': 0, '1': 1, '2': 0, '3': 0, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:DOTUSDT:5m,DOTUSDT,5m,DOT,0.0001,173724,172224,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,0,172224,231,457,422,406,24,4902,"{'0': 492, '1': 571, '2': 7833, '3': 495, '4': 0, '5': 13}","{'gate': 3, 'momentum': 2}","{'joint': {'candidates': 24, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 231, 'skipped_in_position': 40, 'invalid_initial': 0}}",0
binance_um:DOTUSDT:15m,DOTUSDT,15m,DOT,0.0001,58908,57408,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,57408,58,123,176,168,7,936,"{'0': 255, '1': 273, '2': 3144, '3': 258, '4': 0, '5': 8}",{'momentum': 4},"{'joint': {'candidates': 7, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 58, 'skipped_in_position': 6, 'invalid_initial': 0}}",0
binance_um:DOTUSDT:30m,DOTUSDT,30m,DOT,0.0001,30204,28704,2024-08-09 18:00:00+00:00,2026-04-30 23:30:00+00:00,0,28704,33,66,103,103,7,317,"{'0': 136, '1': 168, '2': 1917, '3': 167, '4': 0, '5': 5}",{},"{'joint': {'candidates': 7, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 33, 'skipped_in_position': 5, 'invalid_initial': 0}}",0
binance_um:DOTUSDT:1h,DOTUSDT,1h,DOT,0.0001,15852,14352,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,14352,20,37,49,48,2,106,"{'0': 61, '1': 77, '2': 1132, '3': 69, '4': 0, '5': 2}",{},"{'joint': {'candidates': 2, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 20, 'skipped_in_position': 4, 'invalid_initial': 0}}",0
binance_um:DOTUSDT:4h,DOTUSDT,4h,DOT,0.0001,5088,3588,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,3588,3,9,14,15,1,16,"{'0': 22, '1': 29, '2': 308, '3': 24, '4': 0, '5': 0}",{},"{'joint': {'candidates': 1, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 3, 'skipped_in_position': 0, 'invalid_initial': 0}}",0
binance_um:DOTUSDT:1d,DOTUSDT,1d,DOT,0.0001,2078,598,2020-08-22 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,598,0,0,1,1,0,0,"{'0': 1, '1': 3, '2': 46, '3': 0, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:EDENUSDT:5m,EDENUSDT,5m,EDEN,1e-05,61212,61211,2025-09-30 11:00:00+00:00,2026-04-30 23:55:00+00:00,0,60871,97,192,206,203,20,837,"{'0': 206, '1': 303, '2': 3239, '3': 246, '4': 0, '5': 17}",{'momentum': 5},"{'joint': {'candidates': 20, 'skipped_in_position': 1, 'invalid_initial': 0}, 'v9_long': {'candidates': 97, 'skipped_in_position': 18, 'invalid_initial': 0}}",0
binance_um:EDENUSDT:15m,EDENUSDT,15m,EDEN,1e-05,20404,20403,2025-09-30 11:00:00+00:00,2026-04-30 23:45:00+00:00,0,20063,33,66,73,76,7,123,"{'0': 72, '1': 110, '2': 1387, '3': 151, '4': 0, '5': 1}",{},"{'joint': {'candidates': 7, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 33, 'skipped_in_position': 4, 'invalid_initial': 0}}",0
binance_um:EDENUSDT:30m,EDENUSDT,30m,EDEN,1e-05,10202,10201,2025-09-30 11:00:00+00:00,2026-04-30 23:30:00+00:00,0,9861,12,26,48,45,1,36,"{'0': 63, '1': 70, '2': 649, '3': 59, '4': 0, '5': 6}",{},"{'joint': {'candidates': 1, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 12, 'skipped_in_position': 2, 'invalid_initial': 0}}",0
binance_um:EDENUSDT:1h,EDENUSDT,1h,EDEN,1e-05,5101,5100,2025-09-30 11:00:00+00:00,2026-04-30 23:00:00+00:00,0,4760,7,13,19,19,3,6,"{'0': 14, '1': 24, '2': 352, '3': 53, '4': 0, '5': 0}",{'momentum': 1},"{'joint': {'candidates': 3, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 7, 'skipped_in_position': 1, 'invalid_initial': 0}}",0
binance_um:EDENUSDT:4h,EDENUSDT,4h,EDEN,1e-05,1276,1275,2025-09-30 08:00:00+00:00,2026-04-30 20:00:00+00:00,0,935,0,0,4,3,0,1,"{'0': 1, '1': 4, '2': 26, '3': 10, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:EDENUSDT:1d,EDENUSDT,1d,EDEN,1e-05,213,212,2025-09-30 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,0,0,0,0,0,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:ELSAUSDT:5m,ELSAUSDT,5m,ELSA,1e-05,28423,28422,2026-01-22 07:25:00+00:00,2026-04-30 23:55:00+00:00,0,28082,36,84,105,93,5,188,"{'0': 69, '1': 134, '2': 1614, '3': 128, '4': 0, '5': 4}",{},"{'joint': {'candidates': 5, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 36, 'skipped_in_position': 2, 'invalid_initial': 0}}",0
binance_um:ELSAUSDT:15m,ELSAUSDT,15m,ELSA,1e-05,9475,9474,2026-01-22 07:15:00+00:00,2026-04-30 23:45:00+00:00,0,9134,12,24,33,31,1,38,"{'0': 31, '1': 45, '2': 464, '3': 71, '4': 0, '5': 1}",{},"{'joint': {'candidates': 1, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 12, 'skipped_in_position': 2, 'invalid_initial': 0}}",1
binance_um:ELSAUSDT:30m,ELSAUSDT,30m,ELSA,1e-05,4738,4737,2026-01-22 07:00:00+00:00,2026-04-30 23:30:00+00:00,0,4397,2,6,17,18,1,16,"{'0': 6, '1': 22, '2': 224, '3': 65, '4': 0, '5': 0}",{},"{'joint': {'candidates': 1, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 2, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:ELSAUSDT:1h,ELSAUSDT,1h,ELSA,1e-05,2369,2368,2026-01-22 07:00:00+00:00,2026-04-30 23:00:00+00:00,0,2028,2,2,5,6,1,6,"{'0': 2, '1': 7, '2': 99, '3': 30, '4': 0, '5': 0}",{},"{'joint': {'candidates': 1, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 2, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:ELSAUSDT:4h,ELSAUSDT,4h,ELSA,1e-05,593,592,2026-01-22 04:00:00+00:00,2026-04-30 20:00:00+00:00,0,252,0,0,0,0,0,0,"{'0': 0, '1': 0, '2': 21, '3': 1, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:ELSAUSDT:1d,ELSAUSDT,1d,ELSA,1e-05,99,98,2026-01-22 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,0,0,0,0,0,0,0,"{'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:DUSDT:5m,DUSDT,5m,D,1e-06,137256,137255,2025-01-09 10:00:00+00:00,2026-04-30 23:55:00+00:00,0,136915,169,381,422,394,27,2922,"{'0': 347, '1': 540, '2': 7024, '3': 701, '4': 0, '5': 8}","{'momentum': 2, 'parent_not_recovered': 1}","{'joint': {'candidates': 27, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 169, 'skipped_in_position': 18, 'invalid_initial': 0}}",0
binance_um:DUSDT:15m,DUSDT,15m,D,1e-06,45752,45751,2025-01-09 10:00:00+00:00,2026-04-30 23:45:00+00:00,0,45411,43,88,172,171,6,553,"{'0': 134, '1': 235, '2': 2768, '3': 368, '4': 0, '5': 3}",{},"{'joint': {'candidates': 6, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 43, 'skipped_in_position': 7, 'invalid_initial': 0}}",0
binance_um:DUSDT:30m,DUSDT,30m,D,1e-06,22876,22875,2025-01-09 10:00:00+00:00,2026-04-30 23:30:00+00:00,0,22535,18,50,91,85,2,159,"{'0': 61, '1': 115, '2': 1423, '3': 242, '4': 0, '5': 0}",{},"{'joint': {'candidates': 2, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 18, 'skipped_in_position': 2, 'invalid_initial': 0}}",0
binance_um:DUSDT:1h,DUSDT,1h,D,1e-06,11438,11437,2025-01-09 10:00:00+00:00,2026-04-30 23:00:00+00:00,0,11097,10,29,51,51,2,44,"{'0': 53, '1': 73, '2': 1031, '3': 175, '4': 0, '5': 3}",{},"{'joint': {'candidates': 2, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 10, 'skipped_in_position': 2, 'invalid_initial': 0}}",0
binance_um:DUSDT:4h,DUSDT,4h,D,1e-06,2860,2859,2025-01-09 08:00:00+00:00,2026-04-30 20:00:00+00:00,0,2519,2,7,15,12,1,0,"{'0': 4, '1': 15, '2': 181, '3': 45, '4': 0, '5': 1}",{},"{'joint': {'candidates': 1, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 2, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:DUSDT:1d,DUSDT,1d,D,1e-06,477,476,2025-01-09 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,136,0,0,0,0,0,0,"{'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:DYDXUSDT:5m,DYDXUSDT,5m,DYDX,0.0001,173724,172224,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,0,172224,148,300,180,169,6,32679,"{'0': 135, '1': 223, '2': 2051, '3': 199, '4': 0, '5': 2}",{'momentum': 1},"{'joint': {'candidates': 6, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 148, 'skipped_in_position': 18, 'invalid_initial': 0}}",0
binance_um:DYDXUSDT:15m,DYDXUSDT,15m,DYDX,0.0001,58908,57408,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,57408,39,85,94,88,7,6199,"{'0': 100, '1': 146, '2': 1120, '3': 124, '4': 0, '5': 3}",{'momentum': 1},"{'joint': {'candidates': 7, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 39, 'skipped_in_position': 4, 'invalid_initial': 0}}",0
binance_um:DYDXUSDT:30m,DYDXUSDT,30m,DYDX,0.0001,30204,28704,2024-08-09 18:00:00+00:00,2026-04-30 23:30:00+00:00,0,28704,34,69,47,44,5,2158,"{'0': 58, '1': 69, '2': 726, '3': 93, '4': 0, '5': 0}",{},"{'joint': {'candidates': 5, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 34, 'skipped_in_position': 3, 'invalid_initial': 0}}",0
binance_um:DYDXUSDT:1h,DYDXUSDT,1h,DYDX,0.0001,15852,14352,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,14352,22,38,29,27,3,771,"{'0': 32, '1': 44, '2': 587, '3': 45, '4': 0, '5': 2}",{},"{'joint': {'candidates': 3, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 22, 'skipped_in_position': 4, 'invalid_initial': 0}}",0
binance_um:DYDXUSDT:4h,DYDXUSDT,4h,DYDX,0.0001,5088,3588,2024-01-04 00:00:00+00:00,2026-04-30 20:00:00+00:00,0,3588,4,8,9,8,1,67,"{'0': 12, '1': 17, '2': 180, '3': 13, '4': 0, '5': 0}",{},"{'joint': {'candidates': 1, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 4, 'skipped_in_position': 1, 'invalid_initial': 0}}",0
binance_um:DYDXUSDT:1d,DYDXUSDT,1d,DYDX,0.0001,1694,598,2021-09-10 00:00:00+00:00,2026-04-30 00:00:00+00:00,0,598,0,0,0,1,0,4,"{'0': 2, '1': 6, '2': 36, '3': 12, '4': 0, '5': 0}",{},"{'joint': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 0, 'skipped_in_position': 0, 'invalid_initial': 0}}",1
binance_um:DUSKUSDT:5m,DUSKUSDT,5m,DUSK,1e-05,173724,172224,2024-09-04 19:00:00+00:00,2026-04-30 23:55:00+00:00,0,172224,219,437,525,523,32,1264,"{'0': 592, '1': 712, '2': 9418, '3': 582, '4': 0, '5': 18}","{'momentum': 3, 'gate': 1}","{'joint': {'candidates': 32, 'skipped_in_position': 1, 'invalid_initial': 0}, 'v9_long': {'candidates': 219, 'skipped_in_position': 35, 'invalid_initial': 0}}",0
binance_um:DUSKUSDT:15m,DUSKUSDT,15m,DUSK,1e-05,58908,57408,2024-08-25 09:00:00+00:00,2026-04-30 23:45:00+00:00,0,57408,65,140,182,183,14,247,"{'0': 241, '1': 262, '2': 2983, '3': 262, '4': 0, '5': 6}",{},"{'joint': {'candidates': 14, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 65, 'skipped_in_position': 8, 'invalid_initial': 0}}",0
binance_um:DUSKUSDT:30m,DUSKUSDT,30m,DUSK,1e-05,30204,28704,2024-08-09 18:00:00+00:00,2026-04-30 23:30:00+00:00,0,28704,36,67,90,84,10,92,"{'0': 95, '1': 122, '2': 1548, '3': 134, '4': 0, '5': 1}",{},"{'joint': {'candidates': 10, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 36, 'skipped_in_position': 6, 'invalid_initial': 0}}",0
binance_um:DUSKUSDT:1h,DUSKUSDT,1h,DUSK,1e-05,15852,14352,2024-07-09 12:00:00+00:00,2026-04-30 23:00:00+00:00,0,14352,18,35,37,34,1,13,"{'0': 33, '1': 53, '2': 869, '3': 50, '4': 0, '5': 2}",{'momentum': 1},"{'joint': {'candidates': 1, 'skipped_in_position': 0, 'invalid_initial': 0}, 'v9_long': {'candidates': 18, 'skipped_in_position': 5, 'invalid_initial': 0}}",0
