entry_day,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
2024-01-30,1,-16.2129521654286,-16.2129521654286,-16.2129521654286,0.0,False,0.0,1,0
2024-01-31,1,-95.06581738985663,-95.06581738985663,-95.06581738985663,0.0,False,0.0,1,0
2024-02-04,1,-19.906808349039444,-19.906808349039444,-19.906808349039444,0.0,False,0.0,1,0
2024-02-05,1,12.069738807192216,12.069738807192216,12.069738807192216,inf,True,1.0,0,0
2024-02-06,1,-64.48406838845065,-64.48406838845065,-64.48406838845065,0.0,False,0.0,1,0
2024-02-07,1,-76.36401859335338,-76.36401859335338,-76.36401859335338,0.0,False,0.0,1,0
2024-02-08,1,105.65229639632803,105.65229639632803,105.65229639632803,inf,True,1.0,0,0
2024-02-09,1,219.2190493883417,219.2190493883417,219.2190493883417,inf,True,1.0,0,0
2024-02-11,1,-75.02029183060198,-75.02029183060198,-75.02029183060198,0.0,False,0.0,1,0
2024-02-15,2,-97.51149576780081,-97.51149576780081,-195.02299153560162,0.0,False,0.0,2,0
2024-02-18,1,-50.05829894135781,-50.05829894135781,-50.05829894135781,0.0,False,0.0,1,0
2024-02-19,1,-21.815355201282287,-21.815355201282287,-21.815355201282287,0.0,False,0.0,1,0
2024-02-20,1,-89.58273381294956,-89.58273381294956,-89.58273381294956,0.0,False,0.0,1,0
2024-02-22,1,-122.41729423775325,-122.41729423775325,-122.41729423775325,0.0,False,0.0,1,0
2024-02-25,1,-47.398954279685974,-47.398954279685974,-47.398954279685974,0.0,False,0.0,1,0
2024-02-26,2,448.88954729181194,448.88954729181194,897.7790945836239,115.22195041863718,False,0.5,1,0
2024-02-27,1,99.38988455096666,99.38988455096666,99.38988455096666,inf,True,1.0,0,0
2024-02-28,1,326.1787998311072,326.1787998311072,326.1787998311072,inf,True,1.0,0,0
2024-02-29,1,-208.03856872857685,-208.03856872857685,-208.03856872857685,0.0,False,0.0,1,0
2024-03-01,1,-120.85573114044011,-120.85573114044011,-120.85573114044011,0.0,False,0.0,1,0
2024-03-04,1,300.9220021001902,300.9220021001902,300.9220021001902,inf,True,1.0,0,0
2024-03-13,1,80.39396858801508,80.39396858801508,80.39396858801508,inf,True,1.0,0,0
2024-03-17,1,-228.19738737518637,-228.19738737518637,-228.19738737518637,0.0,False,0.0,1,0
2024-03-18,2,-107.78480633338528,-107.78480633338528,-215.56961266677055,0.0,False,0.0,2,0
2024-03-19,2,119.42450394235581,119.42450394235581,238.84900788471163,17.645039314768905,False,0.5,1,0
2024-03-24,1,-80.22481274541525,-80.22481274541525,-80.22481274541525,0.0,False,0.0,1,0
2024-03-25,1,254.84177959721467,254.84177959721467,254.84177959721467,inf,True,1.0,0,0
2024-03-27,1,-66.79571110088877,-66.79571110088877,-66.79571110088877,0.0,False,0.0,1,0
2024-04-01,2,-75.92905903542666,-75.92905903542666,-151.85811807085332,0.0,False,0.0,2,0
2024-04-06,2,-25.06608977866585,-25.06608977866585,-50.1321795573317,0.10751227178288678,False,0.5,1,0
2024-04-08,1,259.65799019755485,259.65799019755485,259.65799019755485,inf,True,1.0,0,0
2024-04-09,1,62.51830244795366,62.51830244795366,62.51830244795366,inf,True,1.0,0,0
2024-04-12,1,-23.014861995753737,-23.014861995753737,-23.014861995753737,0.0,False,0.0,1,0
2024-04-13,1,-179.0952887461894,-179.0952887461894,-179.0952887461894,0.0,False,0.0,1,0
2024-04-14,1,-79.62218875870894,-79.62218875870894,-79.62218875870894,0.0,False,0.0,1,0
2024-04-15,1,77.47647522077352,77.47647522077352,77.47647522077352,inf,True,1.0,0,0
2024-04-17,1,282.28777530795224,282.28777530795224,282.28777530795224,inf,True,1.0,0,0
2024-04-19,1,-309.64274008521863,-309.64274008521863,-309.64274008521863,0.0,False,0.0,1,0
2024-04-28,1,-56.54303227420552,-56.54303227420552,-56.54303227420552,0.0,False,0.0,1,0
2024-04-29,1,-46.11186251889497,-46.11186251889497,-46.11186251889497,0.0,False,0.0,1,0
2024-04-30,1,161.5189513602211,161.5189513602211,161.5189513602211,inf,True,1.0,0,0
2024-05-01,2,100.95774375322553,100.95774375322553,201.91548750645106,2.5407702009219437,False,0.5,1,0
2024-05-04,1,-165.68049945825837,-165.68049945825837,-165.68049945825837,0.0,False,0.0,1,0
2024-05-05,1,-44.36064990845366,-44.36064990845366,-44.36064990845366,0.0,False,0.0,1,0
2024-05-06,1,-81.58608572783164,-81.58608572783164,-81.58608572783164,0.0,False,0.0,1,0
2024-05-07,1,-100.89852092066697,-100.89852092066697,-100.89852092066697,0.0,False,0.0,1,0
2024-05-08,1,-37.20049376299438,-37.20049376299438,-37.20049376299438,0.0,False,0.0,1,0
2024-05-09,1,-111.94087212665015,-111.94087212665015,-111.94087212665015,0.0,False,0.0,1,0
2024-05-10,1,-95.33147111240201,-95.33147111240201,-95.33147111240201,0.0,False,0.0,1,0
2024-05-19,1,-44.41967919594945,-44.41967919594945,-44.41967919594945,0.0,False,0.0,1,0
2024-05-20,1,496.79000149811304,496.79000149811304,496.79000149811304,inf,True,1.0,0,0
2024-05-27,1,-29.921191233117632,-29.921191233117632,-29.921191233117632,0.0,False,0.0,1,0
2024-05-28,1,24.483946875706337,24.483946875706337,24.483946875706337,inf,True,1.0,0,0
2024-05-29,1,19.41578131965495,19.41578131965495,19.41578131965495,inf,True,1.0,0,0
2024-06-02,1,-41.37195898822553,-41.37195898822553,-41.37195898822553,0.0,False,0.0,1,0
2024-06-03,1,20.67153284671665,20.67153284671665,20.67153284671665,inf,True,1.0,0,0
2024-06-05,1,-9.094612710427423,-9.094612710427423,-9.094612710427423,0.0,False,0.0,1,0
2024-06-07,2,-11.727133102981107,-11.727133102981107,-23.454266205962213,0.5726837542136997,False,0.5,1,0
2024-06-09,1,-68.5939044563799,-68.5939044563799,-68.5939044563799,0.0,False,0.0,1,0
2024-06-10,1,-45.70472717252193,-45.70472717252193,-45.70472717252193,0.0,False,0.0,1,0
2024-06-12,1,154.11587548810337,154.11587548810337,154.11587548810337,inf,True,1.0,0,0
2024-06-15,1,-33.763366782395536,-33.763366782395536,-33.763366782395536,0.0,False,0.0,1,0
2024-06-18,1,-18.965696094133104,-18.965696094133104,-18.965696094133104,0.0,False,0.0,1,0
2024-06-23,1,-35.84559332339142,-35.84559332339142,-35.84559332339142,0.0,False,0.0,1,0
2024-06-25,1,-84.53544567859848,-84.53544567859848,-84.53544567859848,0.0,False,0.0,1,0
2024-07-01,1,-51.01804989901647,-51.01804989901647,-51.01804989901647,0.0,False,0.0,1,0
2024-07-03,1,-117.48493559390114,-117.48493559390114,-117.48493559390114,0.0,False,0.0,1,0
2024-07-04,1,-3.292552049795044,-3.292552049795044,-3.292552049795044,0.0,False,0.0,1,0
2024-07-09,1,-11.3567010885318,-11.3567010885318,-11.3567010885318,0.0,False,0.0,1,0
2024-07-10,1,-63.820584367237906,-63.820584367237906,-63.820584367237906,0.0,False,0.0,1,0
2024-07-12,2,-54.84519001379527,-54.84519001379527,-109.69038002759054,0.0,False,0.0,2,0
2024-07-14,1,170.63760097088652,170.63760097088652,170.63760097088652,inf,True,1.0,0,0
2024-07-16,1,-97.83372558448521,-97.83372558448521,-97.83372558448521,0.0,False,0.0,1,0
2024-07-19,1,-99.26317425773432,-99.26317425773432,-99.26317425773432,0.0,False,0.0,1,0
2024-07-21,1,-55.593055232927554,-55.593055232927554,-55.593055232927554,0.0,False,0.0,1,0
2024-07-22,1,-16.40780703271559,-16.40780703271559,-16.40780703271559,0.0,False,0.0,1,0
2024-07-23,1,-1.4621452824059404,-1.4621452824059404,-1.4621452824059404,0.0,False,0.0,1,0
2024-07-25,1,342.8621679163202,342.8621679163202,342.8621679163202,inf,True,1.0,0,0
2024-07-29,1,-77.11666153328187,-77.11666153328187,-77.11666153328187,0.0,False,0.0,1,0
2024-07-30,2,-14.562192765391595,-14.562192765391595,-29.12438553078319,0.09978304448335162,False,0.5,1,0
2024-07-31,1,-78.45392517057846,-78.45392517057846,-78.45392517057846,0.0,False,0.0,1,0
2024-08-05,2,86.3143508039832,86.3143508039832,172.6287016079664,1.4668410290770468,False,0.5,1,0
2024-08-06,1,-215.64697526171295,-215.64697526171295,-215.64697526171295,0.0,False,0.0,1,0
2024-08-08,1,-96.32340202984311,-96.32340202984311,-96.32340202984311,0.0,False,0.0,1,0
2024-08-12,1,-164.85085889674568,-164.85085889674568,-164.85085889674568,0.0,False,0.0,1,0
2024-08-19,1,-117.33123477583261,-117.33123477583261,-117.33123477583261,0.0,False,0.0,1,0
2024-08-22,1,-37.141293706178786,-37.141293706178786,-37.141293706178786,0.0,False,0.0,1,0
2024-08-27,1,455.63285910673824,455.63285910673824,455.63285910673824,inf,True,1.0,0,0
2024-08-28,1,-136.6360358423302,-136.6360358423302,-136.6360358423302,0.0,False,0.0,1,0
2024-09-01,1,-69.7837926480882,-69.7837926480882,-69.7837926480882,0.0,False,0.0,1,0
2024-09-05,2,10.99000670182428,10.99000670182428,21.98001340364856,2.0489196269842704,False,0.5,1,0
2024-09-06,1,-192.1154961968963,-192.1154961968963,-192.1154961968963,0.0,False,0.0,1,0
2024-09-08,1,-48.99193060983851,-48.99193060983851,-48.99193060983851,0.0,False,0.0,1,0
2024-09-09,1,-72.94692636304444,-72.94692636304444,-72.94692636304444,0.0,False,0.0,1,0
2024-09-11,2,-40.445460677824826,-40.445460677824826,-80.89092135564965,0.0,False,0.0,2,0
2024-09-12,1,-31.247549272521695,-31.247549272521695,-31.247549272521695,0.0,False,0.0,1,0
2024-09-19,2,56.318226771179276,56.318226771179276,112.63645354235855,inf,True,1.0,0,0
2024-09-20,2,-89.9529121145448,-89.9529121145448,-179.9058242290896,0.0,False,0.0,2,0
2024-09-22,1,-32.69377542542527,-32.69377542542527,-32.69377542542527,0.0,False,0.0,1,0
2024-09-24,1,-66.88195283198749,-66.88195283198749,-66.88195283198749,0.0,False,0.0,1,0
2024-09-25,1,-38.17612033845118,-38.17612033845118,-38.17612033845118,0.0,False,0.0,1,0
2024-09-27,2,-60.62578533355732,-60.62578533355732,-121.25157066711463,0.0,False,0.0,2,0
2024-10-04,1,-81.18512610581716,-81.18512610581716,-81.18512610581716,0.0,False,0.0,1,0
2024-10-07,2,-51.31246002673005,-51.31246002673005,-102.6249200534601,0.0,False,0.0,2,0
2024-10-08,1,-131.37200152303572,-131.37200152303572,-131.37200152303572,0.0,False,0.0,1,0
2024-10-14,2,66.23600726004543,66.23600726004543,132.47201452009085,2.320155667341791,False,0.5,1,0
2024-10-15,1,-303.2450993574165,-303.2450993574165,-303.2450993574165,0.0,False,0.0,1,0
2024-10-18,1,-62.42290748898592,-62.42290748898592,-62.42290748898592,0.0,False,0.0,1,0
2024-10-24,1,-65.7066226290237,-65.7066226290237,-65.7066226290237,0.0,False,0.0,1,0
2024-10-30,1,-114.85405432113735,-114.85405432113735,-114.85405432113735,0.0,False,0.0,1,0
2024-10-31,1,-69.20594491522378,-69.20594491522378,-69.20594491522378,0.0,False,0.0,1,0
2024-11-01,2,-70.58374083278028,-70.58374083278028,-141.16748166556056,0.0,False,0.0,2,0
2024-11-03,1,-63.34396173774513,-63.34396173774513,-63.34396173774513,0.0,False,0.0,1,0
2024-11-04,1,-81.68003428111413,-81.68003428111413,-81.68003428111413,0.0,False,0.0,1,0
2024-11-05,1,-190.7783140554442,-190.7783140554442,-190.7783140554442,0.0,False,0.0,1,0
2024-11-06,1,403.1930612652479,403.1930612652479,403.1930612652479,inf,True,1.0,0,0
2024-11-07,1,-74.45700762555794,-74.45700762555794,-74.45700762555794,0.0,False,0.0,1,0
2024-11-12,2,-111.21325789488543,-111.21325789488543,-222.42651578977086,0.0,False,0.0,2,0
2024-11-13,1,154.46261187058943,154.46261187058943,154.46261187058943,inf,True,1.0,0,0
2024-11-14,1,-135.44052863436073,-135.44052863436073,-135.44052863436073,0.0,False,0.0,1,0
2024-11-15,1,-99.28251121076202,-99.28251121076202,-99.28251121076202,0.0,False,0.0,1,0
2024-11-18,1,-148.16492948379278,-148.16492948379278,-148.16492948379278,0.0,False,0.0,1,0
2024-11-23,1,-50.463204721037364,-50.463204721037364,-50.463204721037364,0.0,False,0.0,1,0
2024-11-26,1,-116.59231742547459,-116.59231742547459,-116.59231742547459,0.0,False,0.0,1,0
2024-11-28,2,1.3809180898127944,1.3809180898127944,2.761836179625589,1.9525049290006036,False,0.5,1,0
2024-11-29,1,-103.60768684702703,-103.60768684702703,-103.60768684702703,0.0,False,0.0,1,0
2024-11-30,1,-77.73945072858666,-77.73945072858666,-77.73945072858666,0.0,False,0.0,1,0
2024-12-01,1,-75.12988035425437,-75.12988035425437,-75.12988035425437,0.0,False,0.0,1,0
2024-12-05,1,320.0194584396532,320.0194584396532,320.0194584396532,inf,True,1.0,0,0
2024-12-09,1,-121.51762321419788,-121.51762321419788,-121.51762321419788,0.0,False,0.0,1,0
2024-12-13,1,-88.61065191697158,-88.61065191697158,-88.61065191697158,0.0,False,0.0,1,0
2024-12-14,1,-82.46123463651054,-82.46123463651054,-82.46123463651054,0.0,False,0.0,1,0
2024-12-16,1,-124.66391340125946,-124.66391340125946,-124.66391340125946,0.0,False,0.0,1,0
2024-12-20,1,-68.39108288792416,-68.39108288792416,-68.39108288792416,0.0,False,0.0,1,0
2024-12-21,1,-99.59406419209559,-99.59406419209559,-99.59406419209559,0.0,False,0.0,1,0
2024-12-22,1,-36.092609560791615,-36.092609560791615,-36.092609560791615,0.0,False,0.0,1,0
