candidates,chart_bars_total,chart_gaps,first,higher_bars,joint_candidates,last,minutes,partial_chart_buckets,partial_higher_buckets,symbol,v9_candidates,valid_ready_window_bars,window_bars_actual,window_bars_expected,window_gap_count,zero_activity,timeframe_min,stream_key,asset,current_status,delivery_ms,inherited,onboard_ms,tick,tail_status,recent_rows,recent_positive_volume_rows,window_missing_5m,gap_count,ready_signal_bars,coverage_status
3,7536,0,2025-11-15 00:00:00+00:00,1884,0,2026-09-24 23:00:00+00:00,60,0,0,HEMIUSDT,3,1488,1488,1488,0,False,60,HEMIUSDT_60m,HEMI,TRADING,4133404800000,True,1756441800000,1e-06,ok,17856,17856,0,0,1488,complete_raw_window_bars
12,90432,0,2025-11-15 00:00:00+00:00,30144,4,2026-09-24 23:55:00+00:00,5,0,0,HFTUSDT,8,17856,17856,17856,0,False,5,HFTUSDT_5m,HFT,SETTLING,1786093200000,True,1680652800000,1e-05,ok,17856,3853,0,0,17856,complete_raw_window_bars
1,30144,0,2025-11-15 00:00:00+00:00,7536,0,2026-09-24 23:45:00+00:00,15,0,0,HFTUSDT,1,5952,5952,5952,0,False,15,HFTUSDT_15m,HFT,SETTLING,1786093200000,True,1680652800000,1e-05,ok,17856,3853,0,0,5952,complete_raw_window_bars
0,7536,0,2025-11-15 00:00:00+00:00,1884,0,2026-09-24 23:00:00+00:00,60,0,0,HFTUSDT,0,1488,1488,1488,0,False,60,HFTUSDT_60m,HFT,SETTLING,1786093200000,True,1680652800000,1e-05,ok,17856,3853,0,0,1488,complete_raw_window_bars
0,90432,0,2025-11-15 00:00:00+00:00,30144,0,2026-09-24 23:55:00+00:00,5,0,0,HIFIUSDT,0,0,17856,17856,0,True,5,HIFIUSDT_5m,HIFI,SETTLING,1759482000000,True,1694874600000,1e-05,ok,17856,0,0,0,0,complete_raw_window_bars
0,30144,0,2025-11-15 00:00:00+00:00,7536,0,2026-09-24 23:45:00+00:00,15,0,0,HIFIUSDT,0,0,5952,5952,0,True,15,HIFIUSDT_15m,HIFI,SETTLING,1759482000000,True,1694874600000,1e-05,ok,17856,0,0,0,0,complete_raw_window_bars
0,7536,0,2025-11-15 00:00:00+00:00,1884,0,2026-09-24 23:00:00+00:00,60,0,0,HIFIUSDT,0,0,1488,1488,0,True,60,HIFIUSDT_60m,HIFI,SETTLING,1759482000000,True,1694874600000,1e-05,ok,17856,0,0,0,0,complete_raw_window_bars
0,90432,0,2025-11-15 00:00:00+00:00,30144,0,2026-09-24 23:55:00+00:00,5,0,0,HIGHUSDT,0,17856,17856,17856,0,False,5,HIGHUSDT_5m,HIGH,SETTLING,1781168400000,True,1675407600000,0.0001,ok,17856,0,0,0,17856,complete_raw_window_bars
0,30144,0,2025-11-15 00:00:00+00:00,7536,0,2026-09-24 23:45:00+00:00,15,0,0,HIGHUSDT,0,5952,5952,5952,0,False,15,HIGHUSDT_15m,HIGH,SETTLING,1781168400000,True,1675407600000,0.0001,ok,17856,0,0,0,5952,complete_raw_window_bars
0,7536,0,2025-11-15 00:00:00+00:00,1884,0,2026-09-24 23:00:00+00:00,60,0,0,HIGHUSDT,0,1488,1488,1488,0,False,60,HIGHUSDT_60m,HIGH,SETTLING,1781168400000,True,1675407600000,0.0001,ok,17856,0,0,0,1488,complete_raw_window_bars
0,90432,0,2025-11-15 00:00:00+00:00,30144,0,2026-09-24 23:55:00+00:00,5,0,0,HIPPOUSDT,0,17856,17856,17856,0,False,5,HIPPOUSDT_5m,HIPPO,SETTLING,1775638800000,True,1731501000000,1e-07,ok,17856,0,0,0,17856,complete_raw_window_bars
0,30144,0,2025-11-15 00:00:00+00:00,7536,0,2026-09-24 23:45:00+00:00,15,0,0,HIPPOUSDT,0,5952,5952,5952,0,False,15,HIPPOUSDT_15m,HIPPO,SETTLING,1775638800000,True,1731501000000,1e-07,ok,17856,0,0,0,5952,complete_raw_window_bars
