trade_id,candidate_id,side,signal_i,signal_time,entry_time,exit_time,exit_reason,pre_cross_path_efficiency_32,project_net_return,net_positive,training_eligible
v9_path_efficiency_lineage|development_continuous_2023_2024|55938|55939|long,pine-v9|long|55938|2023-08-09T08:00:00+00:00,long,55938,2023-08-09 08:00:00+00:00,2023-08-09 08:15:00+00:00,2023-08-09 15:00:00+00:00,stop,0.14151386929948556,-0.007302875790332506,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|56164|56165|short,pine-v9|short|56164|2023-08-11T16:30:00+00:00,short,56164,2023-08-11 16:30:00+00:00,2023-08-11 16:45:00+00:00,2023-08-13 18:45:00+00:00,stop,0.10851063829787198,-0.009340565310399505,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|57076|57077|short,pine-v9|short|57076|2023-08-21T04:30:00+00:00,short,57076,2023-08-21 04:30:00+00:00,2023-08-21 04:45:00+00:00,2023-08-21 05:30:00+00:00,stop,0.16966993755575652,-0.00917243683839941,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|57156|57157|short,pine-v9|short|57156|2023-08-22T00:30:00+00:00,short,57156,2023-08-22 00:30:00+00:00,2023-08-22 00:45:00+00:00,2023-08-23 16:15:00+00:00,stop,0.10406469461587682,-0.0009999999999999992,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|57505|57506|short,pine-v9|short|57505|2023-08-25T15:45:00+00:00,short,57505,2023-08-25 15:45:00+00:00,2023-08-25 16:00:00+00:00,2023-08-28 12:00:00+00:00,stop,0.015284728797512576,-0.0009999999999998881,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|58372|58373|short,pine-v9|short|58372|2023-09-03T16:30:00+00:00,short,58372,2023-09-03 16:30:00+00:00,2023-09-03 16:45:00+00:00,2023-09-03 18:15:00+00:00,stop,0.02374821173104874,-0.009104610321027716,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|58445|58446|short,pine-v9|short|58445|2023-09-04T10:45:00+00:00,short,58445,2023-09-04 10:45:00+00:00,2023-09-04 11:00:00+00:00,2023-09-05 09:45:00+00:00,stop,0.03205331640749033,-0.0009999999999998881,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|59076|59077|short,pine-v9|short|59076|2023-09-11T00:30:00+00:00,short,59076,2023-09-11 00:30:00+00:00,2023-09-11 00:45:00+00:00,2023-09-12 10:15:00+00:00,stop,0.00794590025359298,-0.0009999999999999992,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|59251|59252|long,pine-v9|long|59251|2023-09-12T20:15:00+00:00,long,59251,2023-09-12 20:15:00+00:00,2023-09-12 20:30:00+00:00,2023-09-18 00:30:00+00:00,stop,0.130434782608695,-0.0010000000000001102,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|60198|60199|short,pine-v9|short|60198|2023-09-22T17:00:00+00:00,short,60198,2023-09-22 17:00:00+00:00,2023-09-22 17:15:00+00:00,2023-09-25 01:00:00+00:00,stop,0.16029751218260996,-0.0009999999999999992,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|60715|60716|long,pine-v9|long|60715|2023-09-28T02:15:00+00:00,long,60715,2023-09-28 02:15:00+00:00,2023-09-28 02:30:00+00:00,2023-10-03 10:00:00+00:00,reverse,0.3291449586270364,0.030530847681212503,True,False
v9_path_efficiency_lineage|development_continuous_2023_2024|61225|61226|short,pine-v9|short|61225|2023-10-03T09:45:00+00:00,short,61225,2023-10-03 09:45:00+00:00,2023-10-03 10:00:00+00:00,2023-10-06 21:30:00+00:00,stop,0.11509657075285917,-0.0009999999999999992,False,False
v9_path_efficiency_lineage|development_continuous_2023_2024|61631|61632|long,pine-v9|long|61631|2023-10-07T15:15:00+00:00,long,61631,2023-10-07 15:15:00+00:00,2023-10-07 15:30:00+00:00,2023-10-07 18:45:00+00:00,stop,0.06546854942233356,-0.006678391072070465,False,False
