candidate_id,side,signal_i,signal_time,features_available_at,earliest_entry_time,candidate_policy,pre_cross_path_efficiency_32,feature_contract,training_eligible
pine-v9|long|52137|2023-06-30T17:45:00+00:00,long,52137,2023-06-30 17:45:00+00:00,2023-06-30 18:00:00+00:00,2023-06-30 18:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.2562511243029332,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|52344|2023-07-02T21:30:00+00:00,long,52344,2023-07-02 21:30:00+00:00,2023-07-02 21:45:00+00:00,2023-07-02 21:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.16071964017990967,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|52495|2023-07-04T11:15:00+00:00,long,52495,2023-07-04 11:15:00+00:00,2023-07-04 11:30:00+00:00,2023-07-04 11:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.007374027038101723,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|52646|2023-07-06T01:00:00+00:00,short,52646,2023-07-06 01:00:00+00:00,2023-07-06 01:15:00+00:00,2023-07-06 01:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.06073929327471095,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|52849|2023-07-08T03:45:00+00:00,short,52849,2023-07-08 03:45:00+00:00,2023-07-08 04:00:00+00:00,2023-07-08 04:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.06636500754147993,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|53016|2023-07-09T21:30:00+00:00,long,53016,2023-07-09 21:30:00+00:00,2023-07-09 21:45:00+00:00,2023-07-09 21:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.02884781482121374,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|53019|2023-07-09T22:15:00+00:00,short,53019,2023-07-09 22:15:00+00:00,2023-07-09 22:30:00+00:00,2023-07-09 22:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.017476406850751407,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|long|53150|2023-07-11T07:00:00+00:00,long,53150,2023-07-11 07:00:00+00:00,2023-07-11 07:15:00+00:00,2023-07-11 07:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.23683566005387888,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|53683|2023-07-16T20:15:00+00:00,short,53683,2023-07-16 20:15:00+00:00,2023-07-16 20:30:00+00:00,2023-07-16 20:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.06706586826347026,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|53735|2023-07-17T09:15:00+00:00,short,53735,2023-07-17 09:15:00+00:00,2023-07-17 09:30:00+00:00,2023-07-17 09:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.02709630172098126,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|53823|2023-07-18T07:15:00+00:00,short,53823,2023-07-18 07:15:00+00:00,2023-07-18 07:30:00+00:00,2023-07-18 07:30:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.14022988505747364,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|53974|2023-07-19T21:00:00+00:00,short,53974,2023-07-19 21:00:00+00:00,2023-07-19 21:15:00+00:00,2023-07-19 21:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.10447400241837969,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|54048|2023-07-20T15:30:00+00:00,short,54048,2023-07-20 15:30:00+00:00,2023-07-20 15:45:00+00:00,2023-07-20 15:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.2468117029257308,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|54113|2023-07-21T07:45:00+00:00,short,54113,2023-07-21 07:45:00+00:00,2023-07-21 08:00:00+00:00,2023-07-21 08:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.09743356802180406,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|54193|2023-07-22T03:45:00+00:00,short,54193,2023-07-22 03:45:00+00:00,2023-07-22 04:00:00+00:00,2023-07-22 04:00:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.01449275362319036,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|54380|2023-07-24T02:30:00+00:00,short,54380,2023-07-24 02:30:00+00:00,2023-07-24 02:45:00+00:00,2023-07-24 02:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.2637392241379308,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|55026|2023-07-30T20:00:00+00:00,short,55026,2023-07-30 20:00:00+00:00,2023-07-30 20:15:00+00:00,2023-07-30 20:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.24779411764706288,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|55060|2023-07-31T04:30:00+00:00,short,55060,2023-07-31 04:30:00+00:00,2023-07-31 04:45:00+00:00,2023-07-31 04:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.16434108527131822,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|55348|2023-08-03T04:30:00+00:00,short,55348,2023-08-03 04:30:00+00:00,2023-08-03 04:45:00+00:00,2023-08-03 04:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.08419063615368307,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|55422|2023-08-03T23:00:00+00:00,short,55422,2023-08-03 23:00:00+00:00,2023-08-03 23:15:00+00:00,2023-08-03 23:15:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.10927785748445767,pine_pre_cross_path_efficiency_32_v1,False
pine-v9|short|55712|2023-08-06T23:30:00+00:00,short,55712,2023-08-06 23:30:00+00:00,2023-08-06 23:45:00+00:00,2023-08-06 23:45:00+00:00,pine_eth_15m_v9_raw_guarded_signal_v1,0.004083855159266661,pine_pre_cross_path_efficiency_32_v1,False
