pair_id,winner_event_key,control_event_key,eligible_count
P0315,okx_240m_2907048cd63583ec:1793:1,,0
P0316,okx_240m_5f66e3e1e6845e66:782:1,,0
P0317,okx_240m_70ef73bf59b6f387:6510:1,,0
P0318,okx_240m_88a8d999962508b8:2638:1,,0
P0319,okx_240m_92fcab41e7863ee1:1709:1,,0
P0320,okx_240m_ab016d7ea5581304:2605:1,,0
P0321,okx_240m_c72eeebd37218632:4079:1,okx_240m_c72eeebd37218632:4039:1,1
P0322,okx_240m_cd891c7419eb0dc1:1138:1,,0
P0323,okx_240m_da576a36835de2f3:4079:1,okx_240m_da576a36835de2f3:4502:1,1
P0324,okx_30m_0017f1878074c036:23149:1,okx_30m_0017f1878074c036:24575:1,2
P0325,okx_30m_0017f1878074c036:23173:1,okx_30m_0017f1878074c036:25972:1,1
P0326,okx_30m_00d54ed71b9c8447:19119:1,okx_30m_00d54ed71b9c8447:18904:1,3
P0327,okx_30m_02455d67e452427c:33203:1,okx_30m_02455d67e452427c:32425:1,4
P0328,okx_30m_0c175c3edfd97a50:2294:1,okx_30m_0c175c3edfd97a50:1920:1,2
P0329,okx_30m_0db44c8f251494fe:10399:1,okx_30m_0db44c8f251494fe:10115:1,5
P0330,okx_30m_10bed864d555e246:46494:1,okx_30m_10bed864d555e246:47059:1,5
P0331,okx_30m_110cba586a3e451e:15177:1,okx_30m_110cba586a3e451e:16214:1,2
P0332,okx_30m_12fa0e76f9dd2f40:9423:1,okx_30m_12fa0e76f9dd2f40:8738:1,1
P0333,okx_30m_13b2b8a2a31bafd3:20834:1,okx_30m_13b2b8a2a31bafd3:23163:1,1
P0334,okx_30m_15c1cc5164d950cb:29618:1,okx_30m_15c1cc5164d950cb:32096:1,2
P0335,okx_30m_1e5226623d5424a1:47668:1,okx_30m_1e5226623d5424a1:45405:1,4
P0336,okx_30m_26592d800309177b:5106:1,okx_30m_26592d800309177b:4244:1,6
P0337,okx_30m_26722c51347e04df:10802:1,okx_30m_26722c51347e04df:11681:1,2
P0338,okx_30m_2d38917e9f4b41c4:52063:1,okx_30m_2d38917e9f4b41c4:50667:1,3
P0339,okx_30m_2d38917e9f4b41c4:52087:1,okx_30m_2d38917e9f4b41c4:52018:1,2
P0340,okx_30m_2d38917e9f4b41c4:52101:1,okx_30m_2d38917e9f4b41c4:51214:1,2
P0341,okx_30m_2dd978367f2a96e5:32580:1,okx_30m_2dd978367f2a96e5:33515:1,4
P0342,okx_30m_2dd978367f2a96e5:32603:1,okx_30m_2dd978367f2a96e5:36617:1,3
P0343,okx_30m_2dd978367f2a96e5:32613:1,okx_30m_2dd978367f2a96e5:35540:1,2
P0344,okx_30m_3795050e6ed73152:46049:1,,0
P0345,okx_30m_3cea0ab12e672e3d:52053:1,okx_30m_3cea0ab12e672e3d:50757:1,4
P0346,okx_30m_3cea0ab12e672e3d:52083:1,,0
P0347,okx_30m_3cea0ab12e672e3d:52109:1,okx_30m_3cea0ab12e672e3d:50742:1,3
P0348,okx_30m_3df0d3e073171f37:11754:1,okx_30m_3df0d3e073171f37:9169:1,2
P0349,okx_30m_461cc4849746e63a:21881:1,okx_30m_461cc4849746e63a:20257:1,4
P0350,okx_30m_494cb06ee77e0df6:25135:1,,0
P0351,okx_30m_494cb06ee77e0df6:25186:1,,0
P0352,okx_30m_4966b47735832ad3:33972:1,okx_30m_4966b47735832ad3:35200:1,3
P0353,okx_30m_4966b47735832ad3:34000:1,okx_30m_4966b47735832ad3:35244:1,2
P0354,okx_30m_4f2ed49dc38d666d:37686:1,okx_30m_4f2ed49dc38d666d:39566:1,5
P0355,okx_30m_51c24c6f9aa98404:16141:1,okx_30m_51c24c6f9aa98404:14696:1,1
P0356,okx_30m_58b4cb151aeddcb3:4129:1,,0
P0357,okx_30m_5b3217876ee2c465:5433:1,okx_30m_5b3217876ee2c465:8084:1,2
P0358,okx_30m_5d1114fbbd53d08e:52102:1,,0
P0359,okx_30m_6d3a7286a9b9cc51:37118:1,okx_30m_6d3a7286a9b9cc51:38353:1,7
P0360,okx_30m_6d3a7286a9b9cc51:43532:1,okx_30m_6d3a7286a9b9cc51:40367:1,4
P0361,okx_30m_6f6e6d2b9fcc0a47:32567:1,okx_30m_6f6e6d2b9fcc0a47:35453:1,2
P0362,okx_30m_6f6e6d2b9fcc0a47:33999:1,okx_30m_6f6e6d2b9fcc0a47:35537:1,1
P0363,okx_30m_715db50e7f187b21:41098:1,okx_30m_715db50e7f187b21:39756:1,5
P0364,okx_30m_7254e2784a6a9b76:51990:1,okx_30m_7254e2784a6a9b76:53102:1,1
P0365,okx_30m_74de72a25ac3d4f9:7389:1,okx_30m_74de72a25ac3d4f9:5130:1,5
P0366,okx_30m_75f712c660c26bda:21253:1,okx_30m_75f712c660c26bda:22806:1,4
P0367,okx_30m_75f712c660c26bda:24204:1,okx_30m_75f712c660c26bda:25622:1,3
P0368,okx_30m_786103fc88505cb7:5224:1,okx_30m_786103fc88505cb7:5816:1,1
P0369,okx_30m_786103fc88505cb7:8216:1,okx_30m_786103fc88505cb7:9608:1,1
P0370,okx_30m_7882bf1e71caf0fb:23309:1,,0
P0371,okx_30m_7be0d25a9677420f:52013:1,,0
P0372,okx_30m_843d0b813938bedd:9029:1,okx_30m_843d0b813938bedd:6425:1,4
P0373,okx_30m_87cd3ceb632a17b6:19907:1,okx_30m_87cd3ceb632a17b6:19559:1,1
P0374,okx_30m_8c107afe5adb1cfd:47816:1,okx_30m_8c107afe5adb1cfd:46560:1,2
P0375,okx_30m_8e37f0bf44dd301b:43643:1,okx_30m_8e37f0bf44dd301b:41767:1,1
P0376,okx_30m_91cf2f1b1a275efe:21691:1,okx_30m_91cf2f1b1a275efe:18784:1,1
P0377,okx_30m_91cf2f1b1a275efe:21700:1,,0
P0378,okx_30m_94323d07766170b2:21870:1,okx_30m_94323d07766170b2:22870:1,4
P0379,okx_30m_990a2226f2bbca1a:18947:1,,0
P0380,okx_30m_9a579cc9b39ad17b:28453:1,okx_30m_9a579cc9b39ad17b:26604:1,4
P0381,okx_30m_a0e2786a46a4a7e8:8713:1,okx_30m_a0e2786a46a4a7e8:9200:1,1
P0382,okx_30m_a22dd0d9e0d39f22:8708:1,okx_30m_a22dd0d9e0d39f22:10360:1,3
P0383,okx_30m_ac881a8651d7274c:23562:1,okx_30m_ac881a8651d7274c:25516:1,2
P0384,okx_30m_ad2c54d0d1649939:2412:1,,0
P0385,okx_30m_ad52af7d34d1ef40:25371:1,okx_30m_ad52af7d34d1ef40:25789:1,3
P0386,okx_30m_ad5e885f122768f2:52105:1,,0
P0387,okx_30m_b35bc57e9deeef65:29254:1,okx_30m_b35bc57e9deeef65:28533:1,4
P0388,okx_30m_bd1d24b8c405e66b:35746:1,okx_30m_bd1d24b8c405e66b:35194:1,2
P0389,okx_30m_c6ae034ae3427cc7:52073:1,okx_30m_c6ae034ae3427cc7:50688:1,2
P0390,okx_30m_c6ae034ae3427cc7:52086:1,okx_30m_c6ae034ae3427cc7:51234:1,1
P0391,okx_30m_ccdc1fd2333c8583:32603:1,okx_30m_ccdc1fd2333c8583:35279:1,5
P0392,okx_30m_cef578456eea6108:33968:1,okx_30m_cef578456eea6108:34721:1,3
P0393,okx_30m_cef578456eea6108:52097:1,okx_30m_cef578456eea6108:51579:1,2
P0394,okx_30m_d00ce53785a8265c:21911:1,okx_30m_d00ce53785a8265c:23130:1,3
P0395,okx_30m_d27afaef6a0e0767:5032:1,okx_30m_d27afaef6a0e0767:7006:1,4
P0396,okx_30m_dc2994fc31e5bcc1:25658:1,okx_30m_dc2994fc31e5bcc1:26530:1,3
P0397,okx_30m_e2d8f0a215536bde:52105:1,,0
P0398,okx_30m_e4bfdd4fb3c35ca9:32605:1,okx_30m_e4bfdd4fb3c35ca9:36476:1,7
P0399,okx_30m_e4bfdd4fb3c35ca9:52052:1,okx_30m_e4bfdd4fb3c35ca9:50000:1,4
P0400,okx_30m_e72d6c739fd14b79:14022:1,okx_30m_e72d6c739fd14b79:16804:1,3
P0401,okx_30m_eb8c0ec85e91866e:19104:1,okx_30m_eb8c0ec85e91866e:17647:1,4
P0402,okx_30m_ee679658302b506d:15908:1,okx_30m_ee679658302b506d:14598:1,6
P0403,okx_30m_ee8bb255209efe90:14056:1,okx_30m_ee8bb255209efe90:15564:1,3
P0404,okx_30m_ee8bb255209efe90:14057:1,okx_30m_ee8bb255209efe90:14896:1,2
P0405,okx_30m_f03a04dcc0ad804f:7941:1,okx_30m_f03a04dcc0ad804f:9603:1,4
P0406,okx_30m_f0dfce3a84e9ab5d:32567:1,okx_30m_f0dfce3a84e9ab5d:35748:1,3
P0407,okx_30m_f384a8ac1c57808c:10415:1,okx_30m_f384a8ac1c57808c:11407:1,2
P0408,okx_30m_f3f5ba59154b5eec:18782:1,,0
P0409,okx_30m_f4f23059a43906f2:32566:1,okx_30m_f4f23059a43906f2:32616:1,3
P0410,okx_30m_f4f23059a43906f2:32605:1,okx_30m_f4f23059a43906f2:35460:1,2
P0411,okx_30m_f82e9d723efcf451:1511:1,okx_30m_f82e9d723efcf451:2284:1,3
P0412,okx_30m_fcc8e422421288c5:52093:1,,0
P0413,okx_30m_fcc8e422421288c5:52102:1,,0
P0414,okx_30m_fec1879a86749116:52109:1,okx_30m_fec1879a86749116:51550:1,4
P0415,okx_60m_0903ac44e519cb1a:17873:1,okx_60m_0903ac44e519cb1a:17164:1,1
P0416,okx_60m_0903ac44e519cb1a:17886:1,,0
P0417,okx_60m_0903ac44e519cb1a:17904:1,,0
P0418,okx_60m_0c32a966d70108e0:10977:1,,0
P0419,okx_60m_0c32a966d70108e0:26038:1,okx_60m_0c32a966d70108e0:25674:1,1
P0420,okx_60m_0e294b095604af43:26052:1,okx_60m_0e294b095604af43:25189:1,2
P0421,okx_60m_1d9f74bf9a63af3c:2235:1,okx_60m_1d9f74bf9a63af3c:3414:1,2
P0422,okx_60m_21162989b3366200:17763:1,,0
P0423,okx_60m_2682cb31561617f9:9995:1,okx_60m_2682cb31561617f9:8613:1,1
P0424,okx_60m_4958fc163d02b374:7492:1,okx_60m_4958fc163d02b374:7464:1,1
P0425,okx_60m_4e524063f1583250:3020:1,okx_60m_4e524063f1583250:4192:1,3
P0426,okx_60m_56c2e62157ec0595:23026:1,okx_60m_56c2e62157ec0595:23526:1,1
P0427,okx_60m_6694eff8d3486b5b:11056:1,,0
P0428,okx_60m_67fd44e526e1d40f:4235:1,okx_60m_67fd44e526e1d40f:4046:1,2
P0429,okx_60m_67fd44e526e1d40f:6873:1,,0
P0430,okx_60m_6aacb611dab1a4ee:8154:1,,0
P0431,okx_60m_8248d272437179f5:14338:1,,0
P0432,okx_60m_8248d272437179f5:14352:1,,0
P0433,okx_60m_83c2412cf7063a57:1520:1,,0
P0434,okx_60m_a18f2f8c057af2ea:3309:1,okx_60m_a18f2f8c057af2ea:4470:1,2
P0435,okx_60m_ab11b41e664d131d:26031:1,,0
P0436,okx_60m_b2cf36fdb684455c:17768:1,okx_60m_b2cf36fdb684455c:17695:1,1
P0437,okx_60m_c0331cf651301ec7:10698:1,,0
P0438,okx_60m_c08bf579add21c9d:4559:1,okx_60m_c08bf579add21c9d:5152:1,2
P0439,okx_60m_c63896bfba200aae:11171:1,okx_60m_c63896bfba200aae:12712:1,1
P0440,okx_60m_c63896bfba200aae:14227:1,,0
P0441,okx_60m_c66cb4904061c5fa:12987:1,,0
P0442,okx_60m_cbd56e44ade52d22:4227:1,okx_60m_cbd56e44ade52d22:5430:1,1
P0443,okx_60m_cedbbc8ab93889eb:4470:1,okx_60m_cedbbc8ab93889eb:4258:1,5
P0444,okx_60m_d567226c051c9c20:20551:1,,0
P0445,okx_60m_ebcdbbff2e7aadc0:26052:1,,0
P0446,okx_60m_ed8aa5c46e99ac6f:17696:1,okx_60m_ed8aa5c46e99ac6f:16139:1,1
P0447,okx_60m_ed8aa5c46e99ac6f:17730:1,,0
P0448,okx_60m_f8b1af9c52db86b0:7009:1,,0
