signal_i,signal_time,side,pre_pairwise_cross_count,pre_pairwise_cross_breadth,pre_bandwidth_atr_mean,pre_bandwidth_atr_max,atr_release_ratio,oscillator_score,pre_cross_imbalance,current_alignment,directional_order_entropy,breakout_distance_atr,slope_coherence,signed_mean_slope_atr,dense_start_score,pre_directional_cross_count,pre_opposite_cross_count,training_eligible,passes_dense_l0,passes_dense_l1,passes_dense_l2,passes_dense_l3,selected_profile,selected_gate_pass,outcome_label_included
123017,2025-07-08 01:45:00+00:00,short,6.0,3.0,2.0166843544137243,2.1348485150411887,0.9381886075215038,0.14554165507282135,1.0,12.0,0.0,1.3588020774434881,1.0,0.05414262843598242,0.8043883405468661,1.0,0.0,False,True,True,True,False,dense_l1,True,False
123129,2025-07-09 05:45:00+00:00,long,1.0,1.0,3.9154193180749086,4.635622773055927,1.3480852989499241,0.5989987702758331,0.0,12.0,0.0,1.898691011640353,1.0,0.0876031816974346,0.43503828118121485,0.0,0.0,False,False,False,False,False,dense_l1,False,False
123270,2025-07-10 17:00:00+00:00,long,5.0,3.0,3.4947924129441756,4.882923191583254,1.16090242146952,0.38017979679687725,0.0,12.0,0.0,2.105002883662965,1.0,0.09990903814474202,0.7129096263860653,1.0,1.0,False,True,False,False,False,dense_l1,False,False
123598,2025-07-14 03:00:00+00:00,long,3.0,3.0,1.2788591797507511,1.3820400079249744,1.0960765205196368,0.931904649919891,0.0,10.0,0.6500224216483541,1.617878907254253,1.0,0.08818524109167052,0.7506156999457321,1.0,1.0,False,True,True,True,True,dense_l1,True,False
123897,2025-07-17 05:45:00+00:00,long,2.0,2.0,5.812085651893856,6.22497076933371,0.9208920156244285,0.13970983864147454,0.0,12.0,0.0,1.1954176423286893,0.8333333333333334,0.07273002692890843,0.4289289776052181,0.0,0.0,False,False,False,False,False,dense_l1,False,False
123951,2025-07-17 19:15:00+00:00,long,4.0,3.0,2.716566013001776,3.056426021631477,0.8970741184572112,0.3623667321668423,-2.0,10.0,0.6500224216483541,0.9578126344512959,1.0,0.0752935709585449,0.6216076037120855,0.0,2.0,False,False,False,False,False,dense_l1,False,False
123960,2025-07-17 21:30:00+00:00,long,3.0,1.0,2.75513647352794,3.1017248204271177,1.1898143568772033,0.2108155710637777,-1.0,11.0,0.41381685030363385,1.1708731905874636,1.0,0.09580330184487858,0.6673395273196159,1.0,2.0,False,True,True,False,False,dense_l1,True,False
124082,2025-07-19 04:00:00+00:00,long,4.0,3.0,1.4668333304083052,1.6882869555060287,0.9203702085706792,0.5091716305395282,0.0,6.0,1.0,1.0392684474632765,0.8333333333333334,0.07323489400786153,0.7124859040268963,1.0,1.0,False,True,True,False,False,dense_l1,True,False
124276,2025-07-21 04:30:00+00:00,long,1.0,1.0,2.448360305626489,2.5064921027495957,0.915262885174113,0.6337192178860906,0.0,10.0,0.6500224216483541,1.1177575965036086,1.0,0.061152631793961985,0.4448743682446925,0.0,0.0,False,True,False,False,False,dense_l1,False,False
124570,2025-07-24 06:00:00+00:00,short,1.0,1.0,2.592697709288982,3.0479283918238727,1.1056640379486276,2.1054876873052137,1.0,9.0,0.8112781244591328,1.9765404653787042,1.0,0.1064977133308675,0.6044663990989116,1.0,0.0,False,True,False,False,False,dense_l1,False,False
124682,2025-07-25 10:00:00+00:00,long,3.0,2.0,1.7870645240299747,2.3773522456113367,1.0894633897683617,0.9564142152848117,1.0,6.0,1.0,1.6620861545682875,0.8333333333333334,0.0728788024891657,0.6770030401218283,2.0,1.0,False,True,True,False,False,dense_l1,True,False
124728,2025-07-25 21:30:00+00:00,long,4.0,4.0,1.791221544900598,2.107046583920587,1.0213460591679977,0.7700950609546133,3.0,5.0,0.9798687566511528,1.5994953909981564,0.8333333333333334,0.1078898260307972,0.776800641855379,3.0,0.0,False,False,False,False,False,dense_l1,False,False
125088,2025-07-29 15:30:00+00:00,short,4.0,4.0,1.3222108909320711,2.119005867120183,1.049606349538041,1.358716392327672,1.0,5.0,0.9798687566511528,2.377916125870257,1.0,0.10649001387092545,0.7792794780987311,2.0,1.0,False,False,False,False,False,dense_l1,False,False
