event_id,fold,case_state,control_ids,control_total,control_accepted,control_abstain,control_unknown,all_known
2023-10-30T08:00:00+00:00_L,2023H2,abstain,2023-10-30T08:00:00+00:00_L::control0|2023-10-30T08:00:00+00:00_L::control1|2023-10-30T08:00:00+00:00_L::control2,3,0,3,0,True
2023-10-31T12:00:00+00:00_S,2023H2,abstain,2023-10-31T12:00:00+00:00_S::control0|2023-10-31T12:00:00+00:00_S::control1|2023-10-31T12:00:00+00:00_S::control2,3,0,3,0,True
2023-11-01T05:00:00+00:00_S,2023H2,abstain,2023-11-01T05:00:00+00:00_S::control0|2023-11-01T05:00:00+00:00_S::control1|2023-11-01T05:00:00+00:00_S::control2,3,1,2,0,True
2023-11-15T11:00:00+00:00_L,2023H2,abstain,2023-11-15T11:00:00+00:00_L::control0|2023-11-15T11:00:00+00:00_L::control1|2023-11-15T11:00:00+00:00_L::control2,3,2,1,0,True
2023-11-26T10:00:00+00:00_S,2023H2,abstain,2023-11-26T10:00:00+00:00_S::control0|2023-11-26T10:00:00+00:00_S::control1|2023-11-26T10:00:00+00:00_S::control2,3,1,2,0,True
2023-12-01T01:00:00+00:00_L,2023H2,abstain,2023-12-01T01:00:00+00:00_L::control0|2023-12-01T01:00:00+00:00_L::control1|2023-12-01T01:00:00+00:00_L::control2,3,1,2,0,True
2023-12-08T11:00:00+00:00_L,2023H2,abstain,2023-12-08T11:00:00+00:00_L::control0|2023-12-08T11:00:00+00:00_L::control1|2023-12-08T11:00:00+00:00_L::control2,3,0,3,0,True
2023-12-16T15:00:00+00:00_L,2023H2,accepted,2023-12-16T15:00:00+00:00_L::control0|2023-12-16T15:00:00+00:00_L::control1|2023-12-16T15:00:00+00:00_L::control2,3,1,2,0,True
2023-12-20T04:00:00+00:00_L,2023H2,abstain,2023-12-20T04:00:00+00:00_L::control0|2023-12-20T04:00:00+00:00_L::control1|2023-12-20T04:00:00+00:00_L::control2,3,0,3,0,True
2023-12-22T18:00:00+00:00_L,2023H2,abstain,2023-12-22T18:00:00+00:00_L::control0|2023-12-22T18:00:00+00:00_L::control1|2023-12-22T18:00:00+00:00_L::control2,3,0,3,0,True
2023-12-22T19:00:00+00:00_S,2023H2,abstain,2023-12-22T19:00:00+00:00_S::control0|2023-12-22T19:00:00+00:00_S::control1|2023-12-22T19:00:00+00:00_S::control2,3,0,3,0,True
2023-12-24T13:00:00+00:00_L,2023H2,abstain,2023-12-24T13:00:00+00:00_L::control0|2023-12-24T13:00:00+00:00_L::control1|2023-12-24T13:00:00+00:00_L::control2,3,0,3,0,True
2023-12-25T21:00:00+00:00_L,2023H2,abstain,2023-12-25T21:00:00+00:00_L::control0|2023-12-25T21:00:00+00:00_L::control1|2023-12-25T21:00:00+00:00_L::control2,3,0,3,0,True
2023-12-26T05:00:00+00:00_S,2023H2,accepted,2023-12-26T05:00:00+00:00_S::control0|2023-12-26T05:00:00+00:00_S::control1|2023-12-26T05:00:00+00:00_S::control2,3,0,3,0,True
2024-01-10T22:00:00+00:00_L,2024H1,accepted,2024-01-10T22:00:00+00:00_L::control0|2024-01-10T22:00:00+00:00_L::control1|2024-01-10T22:00:00+00:00_L::control2,3,0,3,0,True
2024-01-15T14:00:00+00:00_S,2024H1,abstain,2024-01-15T14:00:00+00:00_S::control0|2024-01-15T14:00:00+00:00_S::control1|2024-01-15T14:00:00+00:00_S::control2,3,0,3,0,True
2024-01-20T01:00:00+00:00_L,2024H1,abstain,2024-01-20T01:00:00+00:00_L::control0|2024-01-20T01:00:00+00:00_L::control1|2024-01-20T01:00:00+00:00_L::control2,3,0,3,0,True
2024-01-31T20:00:00+00:00_S,2024H1,abstain,2024-01-31T20:00:00+00:00_S::control0|2024-01-31T20:00:00+00:00_S::control1|2024-01-31T20:00:00+00:00_S::control2,3,0,3,0,True
2024-02-07T03:00:00+00:00_S,2024H1,abstain,2024-02-07T03:00:00+00:00_S::control0|2024-02-07T03:00:00+00:00_S::control1|2024-02-07T03:00:00+00:00_S::control2,3,0,3,0,True
2024-02-12T09:00:00+00:00_S,2024H1,abstain,2024-02-12T09:00:00+00:00_S::control0|2024-02-12T09:00:00+00:00_S::control1|2024-02-12T09:00:00+00:00_S::control2,3,0,3,0,True
2024-02-12T14:00:00+00:00_L,2024H1,abstain,2024-02-12T14:00:00+00:00_L::control0|2024-02-12T14:00:00+00:00_L::control1|2024-02-12T14:00:00+00:00_L::control2,3,2,1,0,True
2024-02-16T10:00:00+00:00_L,2024H1,abstain,2024-02-16T10:00:00+00:00_L::control0|2024-02-16T10:00:00+00:00_L::control1|2024-02-16T10:00:00+00:00_L::control2,3,0,3,0,True
2024-02-18T14:00:00+00:00_L,2024H1,abstain,2024-02-18T14:00:00+00:00_L::control0|2024-02-18T14:00:00+00:00_L::control1|2024-02-18T14:00:00+00:00_L::control2,3,1,2,0,True
2024-02-19T17:00:00+00:00_L,2024H1,abstain,2024-02-19T17:00:00+00:00_L::control0|2024-02-19T17:00:00+00:00_L::control1|2024-02-19T17:00:00+00:00_L::control2,3,0,3,0,True
2024-02-25T17:00:00+00:00_L,2024H1,abstain,2024-02-25T17:00:00+00:00_L::control0|2024-02-25T17:00:00+00:00_L::control1|2024-02-25T17:00:00+00:00_L::control2,3,1,2,0,True
2024-02-29T19:00:00+00:00_L,2024H1,abstain,2024-02-29T19:00:00+00:00_L::control0|2024-02-29T19:00:00+00:00_L::control1|2024-02-29T19:00:00+00:00_L::control2,3,0,3,0,True
