stream_key,symbol,timeframe_min,window_bars_expected,window_bars_actual,window_gap_count,chart_gaps,partial_chart_buckets,partial_higher_buckets,valid_ready_window_bars,first,last,coverage_status
AUCTIONUSDT_60m,AUCTIONUSDT,60,1492,1492,0,0,0,0,1492,2025-11-15 00:00:00+00:00,2026-09-23 03:00:00+00:00,complete
AUSDT_15m,AUSDT,15,5968,5968,0,0,0,0,5968,2025-11-15 00:00:00+00:00,2026-09-23 03:45:00+00:00,complete
AUSDT_60m,AUSDT,60,1492,1492,0,0,0,0,1492,2025-11-15 00:00:00+00:00,2026-09-23 03:00:00+00:00,complete
AVAAIUSDT_15m,AVAAIUSDT,15,5968,5968,0,0,0,0,5968,2025-11-15 00:00:00+00:00,2026-09-23 03:45:00+00:00,complete
AVAAIUSDT_60m,AVAAIUSDT,60,1492,1492,0,0,0,0,1492,2025-11-15 00:00:00+00:00,2026-09-23 03:00:00+00:00,complete
AVAUSDT_15m,AVAUSDT,15,5968,5968,0,0,0,0,5968,2025-11-15 00:00:00+00:00,2026-09-23 03:45:00+00:00,complete
AVAUSDT_60m,AVAUSDT,60,1492,1492,0,0,0,0,1492,2025-11-15 00:00:00+00:00,2026-09-23 03:00:00+00:00,complete
AVAXUSDT_15m,AVAXUSDT,15,5968,5968,0,0,0,0,5968,2025-11-15 00:00:00+00:00,2026-09-23 03:45:00+00:00,complete
AVAXUSDT_60m,AVAXUSDT,60,1492,1492,0,0,0,0,1492,2025-11-15 00:00:00+00:00,2026-09-23 03:00:00+00:00,complete
AVNTUSDT_15m,AVNTUSDT,15,5968,5968,0,0,0,0,5968,2025-11-15 00:00:00+00:00,2026-09-23 03:45:00+00:00,complete
AVNTUSDT_60m,AVNTUSDT,60,1492,1492,0,0,0,0,1492,2025-11-15 00:00:00+00:00,2026-09-23 03:00:00+00:00,complete
AWEUSDT_15m,AWEUSDT,15,5968,5968,0,0,0,0,5968,2025-11-15 00:00:00+00:00,2026-09-23 03:45:00+00:00,complete
AWEUSDT_60m,AWEUSDT,60,1492,1492,0,0,0,0,1492,2025-11-15 00:00:00+00:00,2026-09-23 03:00:00+00:00,complete
AXLUSDT_15m,AXLUSDT,15,5968,5968,0,0,0,0,5968,2025-11-15 00:00:00+00:00,2026-09-23 03:45:00+00:00,complete
AXLUSDT_60m,AXLUSDT,60,1492,1492,0,0,0,0,1492,2025-11-15 00:00:00+00:00,2026-09-23 03:00:00+00:00,complete
AXSUSDT_15m,AXSUSDT,15,5968,5968,0,0,0,0,5968,2025-11-15 00:00:00+00:00,2026-09-23 03:45:00+00:00,complete
AXSUSDT_60m,AXSUSDT,60,1492,1492,0,0,0,0,1492,2025-11-15 00:00:00+00:00,2026-09-23 03:00:00+00:00,complete
AZTECUSDT_15m,AZTECUSDT,15,5968,5968,0,0,1,1,5968,2026-02-11 04:30:00+00:00,2026-09-23 03:45:00+00:00,complete
AZTECUSDT_60m,AZTECUSDT,60,1492,1492,0,0,1,1,1492,2026-02-11 05:00:00+00:00,2026-09-23 03:00:00+00:00,complete
B2USDT_15m,B2USDT,15,5968,5968,0,0,0,0,5968,2025-11-15 00:00:00+00:00,2026-09-23 03:45:00+00:00,complete
B2USDT_60m,B2USDT,60,1492,1492,0,0,0,0,1492,2025-11-15 00:00:00+00:00,2026-09-23 03:00:00+00:00,complete
B3USDT_15m,B3USDT,15,5968,5968,0,0,0,0,5968,2025-11-15 00:00:00+00:00,2026-09-23 03:45:00+00:00,complete
B3USDT_60m,B3USDT,60,1492,1492,0,0,0,0,1492,2025-11-15 00:00:00+00:00,2026-09-23 03:00:00+00:00,complete
BABYUSDT_15m,BABYUSDT,15,5968,5968,0,0,0,0,5968,2025-11-15 00:00:00+00:00,2026-09-23 03:45:00+00:00,complete
BABYUSDT_60m,BABYUSDT,60,1492,1492,0,0,0,0,1492,2025-11-15 00:00:00+00:00,2026-09-23 03:00:00+00:00,complete
BADGERUSDT_15m,BADGERUSDT,15,5968,5968,0,0,0,0,0,2025-11-15 00:00:00+00:00,2026-09-23 03:45:00+00:00,partial
BADGERUSDT_60m,BADGERUSDT,60,1492,1492,0,0,0,0,0,2025-11-15 00:00:00+00:00,2026-09-23 03:00:00+00:00,partial
BAKEUSDT_15m,BAKEUSDT,15,5968,5968,0,0,0,0,0,2025-11-15 00:00:00+00:00,2026-09-23 03:45:00+00:00,partial
BAKEUSDT_60m,BAKEUSDT,60,1492,1492,0,0,0,0,0,2025-11-15 00:00:00+00:00,2026-09-23 03:00:00+00:00,partial
BALUSDT_15m,BALUSDT,15,5968,5968,0,0,0,0,0,2025-11-15 00:00:00+00:00,2026-09-23 03:45:00+00:00,partial
BALUSDT_60m,BALUSDT,60,1492,1492,0,0,0,0,0,2025-11-15 00:00:00+00:00,2026-09-23 03:00:00+00:00,partial
