symbol,cohort,paths,path_receipts,source_rows_read,source_days_seen,complete_days,discarded_days,discarded_wrong_count,discarded_duplicate,discarded_off_grid,first_daily_bar,last_daily_bar,daily_prefix_sha256,phase_source_status,holdout_rows_read
LDO,current_only,"[""data/kline_fetched/okx_LDO_USDT_SWAP_15m_41906.csv""]","[{""path"":""data/kline_fetched/okx_LDO_USDT_SWAP_15m_41906.csv"",""prefix_sha256"":""4320bdaecf271d6edcba94b5e1d88a9808ffc56b4d39d8ba57fe4c7c099c2caf"",""rows"":31807,""status"":""loaded_preholdout_prefix""}]",31807,332.0,331,1,1.0,0.0,0.0,2025-06-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,f2990463405dfa47d125f59edc542705cde4c700269a431fe4bb4b254d05fb63,eligible,0
LINEA,current_only,"[""data/kline_fetched/okx_LINEA_USDT_SWAP_15m_33275.csv""]","[{""path"":""data/kline_fetched/okx_LINEA_USDT_SWAP_15m_33275.csv"",""prefix_sha256"":""ac16f6d8490946e0d3e9c6adecb50d0d490f9f4f9cd2a9189329ad7c3bf4eae3"",""rows"":23176,""status"":""loaded_preholdout_prefix""}]",23176,242.0,241,1,1.0,0.0,0.0,2025-09-02 00:00:00+00:00,2026-04-30 00:00:00+00:00,b79f5b8d647b1649e46f1990968ac16b65806cc919221b590ec1be4b7be33566,eligible,0
LIT,current_only,"[""data/kline_fetched/okx_LIT_USDT_SWAP_15m_22373.csv""]","[{""filename_rows"":22373,""path"":""data/kline_fetched/okx_LIT_USDT_SWAP_15m_22373.csv"",""prefix_sha256"":null,""rows"":0,""status"":""skipped_before_open_filename_history_below_30000""}]",0,,0,0,,,,,,,not_listed_yet,0
LPT,legacy_and_current,"[""data/kline_preholdout_archive15m_202109_202306/okx_LPT_USDT_SWAP_15m_64117.csv"",""data/kline_fetched/okx_LPT_USDT_SWAP_15m_41906.csv""]","[{""path"":""data/kline_preholdout_archive15m_202109_202306/okx_LPT_USDT_SWAP_15m_64117.csv"",""prefix_sha256"":""80f1dd892d1e3cc929b99c0ff3083f207382df29f4b7f3f213edc77098e4c55b"",""rows"":64117,""status"":""loaded_preholdout_prefix""},{""path"":""data/kline_fetched/okx_LPT_USDT_SWAP_15m_41906.csv"",""prefix_sha256"":""11aafc7ddf4d0d554e00f24d50afe9734092fb3b2a47fb051a2b383c15d5639b"",""rows"":31807,""status"":""loaded_preholdout_prefix""}]",95924,1001.0,995,6,6.0,0.0,0.0,2021-09-01 00:00:00+00:00,2026-04-30 00:00:00+00:00,31dfcc0bee7f329a9f6a0a5ffd79ab96c64701d14c68d60e911e16e8b6066d49,eligible,0
LUNA,legacy_and_current,"[""data/kline_preholdout_archive15m_202109_202306/okx_LUNA_USDT_SWAP_15m_38214.csv"",""data/kline_fetched/okx_LUNA_USDT_SWAP_15m_41906.csv""]","[{""path"":""data/kline_preholdout_archive15m_202109_202306/okx_LUNA_USDT_SWAP_15m_38214.csv"",""prefix_sha256"":""0cc35a2298e7c9819d1bb1ad60595c130b902630812a47ed37643b59dfb93441"",""rows"":38214,""status"":""loaded_preholdout_prefix""},{""path"":""data/kline_fetched/okx_LUNA_USDT_SWAP_15m_41906.csv"",""prefix_sha256"":""a836dccb01c9308b0b32894b483f7e2872a3bcd10d455e679739c71d81ebd413"",""rows"":31807,""status"":""loaded_preholdout_prefix""}]",70021,731.0,726,5,5.0,0.0,0.0,2022-05-29 00:00:00+00:00,2026-04-30 00:00:00+00:00,4b1d72429eb5815428572639a766cc400626b0d6e0a830fa16a4173ea37af1ca,eligible,0
MANA,legacy_and_current,"[""data/kline_preholdout_archive15m_202109_202306/okx_MANA_USDT_SWAP_15m_64122.csv"",""data/kline_fetched/okx_MANA_USDT_SWAP_15m_41806.csv""]","[{""path"":""data/kline_preholdout_archive15m_202109_202306/okx_MANA_USDT_SWAP_15m_64122.csv"",""prefix_sha256"":""a2d63bf174cd7b6aed1875f142426463ff6bcc35583db46031b90886e1acfc53"",""rows"":64122,""status"":""loaded_preholdout_prefix""},{""path"":""data/kline_fetched/okx_MANA_USDT_SWAP_15m_41806.csv"",""prefix_sha256"":""c37d1f90ab88f8cb950188920fc7312850683873c38a4d783605f52a2b74c124"",""rows"":31707,""status"":""loaded_preholdout_prefix""}]",95829,1000.0,994,6,6.0,0.0,0.0,2021-09-01 00:00:00+00:00,2026-04-30 00:00:00+00:00,08b00ff950270e631d8bdc4ae3d3d8eeb549dd86880be65854f6872b2c89337f,eligible,0
METIS,current_only,"[""data/kline_fetched/okx_METIS_USDT_SWAP_15m_41905.csv""]","[{""path"":""data/kline_fetched/okx_METIS_USDT_SWAP_15m_41905.csv"",""prefix_sha256"":""168c97b4387c9263d3e5937dbc761b52b4a48e7349ffc2c432c905afcd4308c3"",""rows"":31806,""status"":""loaded_preholdout_prefix""}]",31806,332.0,331,1,1.0,0.0,0.0,2025-06-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,43362be759327849c8bf0a60fc2939a63be43b8f341297d4eae3865762d6e0c4,eligible,0
MEW,current_only,"[""data/kline_fetched/okx_MEW_USDT_SWAP_15m_41905.csv""]","[{""path"":""data/kline_fetched/okx_MEW_USDT_SWAP_15m_41905.csv"",""prefix_sha256"":""acbb38f1feaaac4ed5e62358bea3ed0eb1e955c16e0e07c9904ed0832a368e8b"",""rows"":31806,""status"":""loaded_preholdout_prefix""}]",31806,332.0,331,1,1.0,0.0,0.0,2025-06-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,77e4560c6102e547c82b97eb36b3bb214c2e1ce4aefa29665d3149dc8a6c9b90,eligible,0
MMT,current_only,"[""data/kline_fetched/okx_MMT_USDT_SWAP_15m_27137.csv""]","[{""filename_rows"":27137,""path"":""data/kline_fetched/okx_MMT_USDT_SWAP_15m_27137.csv"",""prefix_sha256"":null,""rows"":0,""status"":""skipped_before_open_filename_history_below_30000""}]",0,,0,0,,,,,,,not_listed_yet,0
NEIRO,current_only,"[""data/kline_fetched/okx_NEIRO_USDT_SWAP_15m_41905.csv""]","[{""path"":""data/kline_fetched/okx_NEIRO_USDT_SWAP_15m_41905.csv"",""prefix_sha256"":""b2c69d6c24d7b68a54549afb8fe512e887f9d486e1fa9abfb14868102c6b8a47"",""rows"":31806,""status"":""loaded_preholdout_prefix""}]",31806,332.0,331,1,1.0,0.0,0.0,2025-06-04 00:00:00+00:00,2026-04-30 00:00:00+00:00,a6c6e0ad654a3bfd68a3f8a6d7c092b3d9f63597da7e5c739ce6c3067634d3f5,eligible,0
