entry_day,n,mean_net_bp,median_net_bp,sum_event_net_bp,profit_factor,profit_factor_infinite,win_rate,loss_n,flat_n
2023-05-08,1,-30.75956729091443,-30.75956729091443,-30.75956729091443,0.0,False,0.0,1,0
2023-05-16,1,-75.00977992418332,-75.00977992418332,-75.00977992418332,0.0,False,0.0,1,0
2023-05-27,1,-34.592570918392504,-34.592570918392504,-34.592570918392504,0.0,False,0.0,1,0
2023-05-28,1,-37.783807568201304,-37.783807568201304,-37.783807568201304,0.0,False,0.0,1,0
2023-05-31,1,17.19735876742569,17.19735876742569,17.19735876742569,inf,True,1.0,0,0
2023-06-02,2,-18.494865902974873,-18.494865902974873,-36.989731805949745,0.33869830817941493,False,0.5,1,0
2023-06-03,1,-56.0099640999334,-56.0099640999334,-56.0099640999334,0.0,False,0.0,1,0
2023-06-05,1,87.20410082422194,87.20410082422194,87.20410082422194,inf,True,1.0,0,0
2023-06-07,1,-119.36575052854168,-119.36575052854168,-119.36575052854168,0.0,False,0.0,1,0
2023-06-10,1,-271.6151099735209,-271.6151099735209,-271.6151099735209,0.0,False,0.0,1,0
2023-06-12,1,-13.599975325206941,-13.599975325206941,-13.599975325206941,0.0,False,0.0,1,0
2023-06-17,1,-36.63278506745414,-36.63278506745414,-36.63278506745414,0.0,False,0.0,1,0
2023-06-21,1,265.8215321617474,265.8215321617474,265.8215321617474,inf,True,1.0,0,0
2023-06-22,1,-89.5745777118495,-89.5745777118495,-89.5745777118495,0.0,False,0.0,1,0
2023-06-24,2,-75.9077242481898,-75.9077242481898,-151.8154484963796,0.0,False,0.0,2,0
2023-06-25,1,-7.6422764227634765,-7.6422764227634765,-7.6422764227634765,0.0,False,0.0,1,0
2023-07-04,1,-55.765821815847424,-55.765821815847424,-55.765821815847424,0.0,False,0.0,1,0
2023-07-07,1,-86.43740298667211,-86.43740298667211,-86.43740298667211,0.0,False,0.0,1,0
2023-07-11,1,-58.85067303077694,-58.85067303077694,-58.85067303077694,0.0,False,0.0,1,0
2023-07-12,1,-17.64116945576653,-17.64116945576653,-17.64116945576653,0.0,False,0.0,1,0
2023-07-19,1,-13.079147271086704,-13.079147271086704,-13.079147271086704,0.0,False,0.0,1,0
2023-07-22,1,-40.943525849247415,-40.943525849247415,-40.943525849247415,0.0,False,0.0,1,0
2023-07-24,2,-34.75314189122445,-34.75314189122445,-69.5062837824489,0.0,False,0.0,2,0
2023-08-09,1,-29.690897263074927,-29.690897263074927,-29.690897263074927,0.0,False,0.0,1,0
2023-08-11,1,-37.66489790778314,-37.66489790778314,-37.66489790778314,0.0,False,0.0,1,0
2023-08-13,1,-21.734994846043225,-21.734994846043225,-21.734994846043225,0.0,False,0.0,1,0
2023-08-19,1,-66.59238342364259,-66.59238342364259,-66.59238342364259,0.0,False,0.0,1,0
2023-08-23,1,-28.356020377908724,-28.356020377908724,-28.356020377908724,0.0,False,0.0,1,0
2023-08-29,1,-8.19825395666161,-8.19825395666161,-8.19825395666161,0.0,False,0.0,1,0
2023-08-30,1,-58.94666961717031,-58.94666961717031,-58.94666961717031,0.0,False,0.0,1,0
2023-09-03,1,-29.304078031224794,-29.304078031224794,-29.304078031224794,0.0,False,0.0,1,0
2023-09-04,1,-63.62899770168571,-63.62899770168571,-63.62899770168571,0.0,False,0.0,1,0
2023-09-08,1,61.995531704172066,61.995531704172066,61.995531704172066,inf,True,1.0,0,0
2023-09-11,1,-50.347373176164986,-50.347373176164986,-50.347373176164986,0.0,False,0.0,1,0
2023-09-12,1,-27.829427017723713,-27.829427017723713,-27.829427017723713,0.0,False,0.0,1,0
2023-09-14,1,-149.60966304503495,-149.60966304503495,-149.60966304503495,0.0,False,0.0,1,0
2023-09-18,1,-56.43742852658338,-56.43742852658338,-56.43742852658338,0.0,False,0.0,1,0
