stream_key,venue,symbol,asset,timeframe_min,arm,events,closed,censored,net_r,realized_ge10,candidates
binance_240m_2d2f31182acd606d,binance,PUMPUSDT,PUMP,240,v9,3,3,0,1.2585232969783648,0,3
binance_240m_2de5b344978e90ac,binance,YALAUSDT,YALA,240,v8,1,1,0,-1.008005405405405,0,1
binance_240m_2de5b344978e90ac,binance,YALAUSDT,YALA,240,v9,1,1,0,-1.008005405405405,0,1
binance_240m_2e7515988193790b,binance,FARTCOINUSDT,FARTCOIN,240,v8,10,10,0,2.126554123193255,0,13
binance_240m_2e7515988193790b,binance,FARTCOINUSDT,FARTCOIN,240,v9,10,10,0,2.126554123193255,0,13
binance_240m_2e794015e41f52f9,binance,CHZUSDT,CHZ,240,v8,8,8,0,1.7308556230839809,0,11
binance_240m_2e794015e41f52f9,binance,CHZUSDT,CHZ,240,v9,8,8,0,1.7308556230839809,0,10
binance_240m_2e97cc1fe7536f44,binance,BICOUSDT,BICO,240,v8,9,9,0,5.06477848606835,0,10
binance_240m_2e97cc1fe7536f44,binance,BICOUSDT,BICO,240,v9,8,8,0,6.106114891598304,0,9
binance_240m_2ece36ead25003c4,binance,OCEANUSDT,OCEAN,240,v8,0,0,0,0.0,0,0
binance_240m_2ece36ead25003c4,binance,OCEANUSDT,OCEAN,240,v9,0,0,0,0.0,0,0
binance_240m_2f89f537e3232428,binance,SKATEUSDT,SKATE,240,v8,0,0,0,0.0,0,0
binance_240m_2f89f537e3232428,binance,SKATEUSDT,SKATE,240,v9,0,0,0,0.0,0,0
binance_240m_2f8bea1730ff6d9f,binance,ACEUSDT,ACE,240,v8,14,14,0,1.9839499362465849,0,17
binance_240m_2f8bea1730ff6d9f,binance,ACEUSDT,ACE,240,v9,13,13,0,-0.6255271352617886,0,15
binance_240m_30152fa54b3e8635,binance,PIEVERSEUSDT,PIEVERSE,240,v8,2,2,0,-2.044806739027525,0,2
binance_240m_30152fa54b3e8635,binance,PIEVERSEUSDT,PIEVERSE,240,v9,2,2,0,-2.044806739027525,0,2
binance_240m_30472d02f557c33d,binance,DAMUSDT,DAM,240,v8,2,2,0,-1.3477425476109022,0,3
binance_240m_30472d02f557c33d,binance,DAMUSDT,DAM,240,v9,2,2,0,-1.3477425476109022,0,3
binance_240m_30569ffe9ff8322a,binance,DENTUSDT,DENT,240,v8,13,13,0,-0.7377810152121829,0,14
binance_240m_30569ffe9ff8322a,binance,DENTUSDT,DENT,240,v9,12,12,0,0.29480231812114943,0,13
binance_240m_30ab919891790474,binance,JUPUSDT,JUP,240,v8,9,9,0,-5.877882155892191,0,10
binance_240m_30ab919891790474,binance,JUPUSDT,JUP,240,v9,9,9,0,-5.877882155892191,0,10
binance_240m_311239427fa9fd55,binance,REIUSDT,REI,240,v8,1,1,0,2.361383783783783,0,1
binance_240m_311239427fa9fd55,binance,REIUSDT,REI,240,v9,1,1,0,2.361383783783783,0,1
binance_240m_31c687bf9208dc58,binance,FLOWUSDT,FLOW,240,v8,9,9,0,-1.7367409949507628,0,10
binance_240m_31c687bf9208dc58,binance,FLOWUSDT,FLOW,240,v9,8,8,0,-0.7174046105114034,0,9
binance_240m_31cd6f4b21e93791,binance,RENUSDT,REN,240,v8,2,2,0,2.1441861482136817,0,2
binance_240m_31cd6f4b21e93791,binance,RENUSDT,REN,240,v9,2,2,0,2.1441861482136817,0,2
binance_240m_31cf0a3c87b0455b,binance,FOGOUSDT,FOGO,240,v8,2,2,0,-2.0605027915383998,0,2
binance_240m_31cf0a3c87b0455b,binance,FOGOUSDT,FOGO,240,v9,1,1,0,-1.023700296735905,0,1
binance_240m_33bebef9fdd29317,binance,SPORTFUNUSDT,SPORTFUN,240,v8,2,2,0,0.6061762615494057,0,2
